Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
550.2753682,C01921,M+HCOOK[1+],0.00224637976998565
549.2486572,C00486,M-H4O2+H[1+],0.000899266769920359
552.906189,C01284,M-CO+H[1+],0.0011276327699079
259.1135559,C00670,M(C13)+H[1+],5.55442300083087e-05
260.1166077,C15522,M(S34)+H[1+],0.0011272402300051
260.1166077,C15522,M(Cl37)+H[1+],0.000272759770041375
260.1166077,C16543,M+2H[2+],0.00106387722996715
261.1272278,C00831,M-H2O+H[1+],0.000523441230029675
261.1272278,C19559,M-HCOOH+H[1+],0.000243106769971746
267.1752014,C05284,M-H4O2+H[1+],0.00093023522998692
267.1752014,C05302,M-H4O2+H[1+],0.00093023522998692
267.1752014,C05290,M-H4O2+H[1+],0.00093023522998692
267.1752014,C05295,M-H4O2+H[1+],0.00093023522998692
267.1752014,C05140,M-H4O2+H[1+],0.00093023522998692
134.0162048,C00036,M(C13)+H[1+],0.000344904770003041
134.0162048,C02985,M+H+Na[2+],0.000526381230002926
741.8876609,C04494,M+NaCl[1+],0.00153616777004117
893.34729,C05787,M-CO2+H[1+],0.00215268323006512
975.8093872,G13036,M+H[1+],0.00211073322998345
907.822937,G13036,M-HCOONa+H[1+],0.00306053323004107
809.3718872,C15670,M-CO2+H[1+],0.000516943769980571
785.4102783,G00018,M(C13)+3H[3+],0.00193516656338488
871.0142738,C04392,M+H[1+],0.000872107229952235
848.9557495,C06198,M+NaCl[1+],0.00395617277001747
841.5645752,C17432,M-H2O+H[1+],0.00132933277006941
1214.430611,C05467,M+H[1+],0.00490171423007268
1225.419839,C06506,M+K[1+],0.00489838177009005
1233.006226,G13034,M(C13)+H[1+],0.00445046677009486
1270.088379,G13058,M+HCOONa[1+],0.00629746676986542
1270.088379,G00089,M+HCOONa[1+],0.00629746676986542
1270.088379,G00071,M+HCOONa[1+],0.00629746676986542
1270.088379,G00057,M+HCOONa[1+],0.00629746676986542
1270.088379,G00076,M+HCOONa[1+],0.00629746676986542
1541.368347,G00020,M+K[1+],0.00557053322995671
1541.368347,G00019,M+K[1+],0.00557053322995671
1428.390908,G00016,M-H2O+H[1+],0.00576846676995046
1043.799561,G13036,M+HCOONa[1+],0.00488453323009708
999.9222412,G00062,M+H2O+H[1+],0.00436473323009068
999.9222412,G00047,M+H2O+H[1+],0.00436473323009068
999.9222412,G00110,M+H2O+H[1+],0.00436473323009068
999.9222412,G00125,M+H2O+H[1+],0.00436473323009068
988.3385849,C00154,M-H2O+H[1+],0.00296551377005017
1022.332275,C05259,M(S34)+H[1+],0.00506002822999108
1022.332275,C05259,M(Cl37)+H[1+],0.00366002823000144
1156.632202,C06508,M-HCOOK+H[1+],0.00247772922989498
1156.632813,C06508,M-HCOOK+H[1+],0.00308872922983028
1159.476926,C06506,M-CO+H[1+],0.00268861822996769
1116.012817,G00098,M-CO+H[1+],0.000540533229923312
1116.012936,G00098,M-CO+H[1+],0.000659533229963927
1116.014222,G00098,M-CO+H[1+],0.00194553322990032
1126.000366,G00098,M-H2O+H[1+],0.00368953323004462
1126.000724,G00098,M-H2O+H[1+],0.00404753323005025
1126.001544,G00098,M-H2O+H[1+],0.00486753323002631
1126.00157,G00098,M-H2O+H[1+],0.00489353322996067
524.2723999,C01921,M+NaCl[1+],0.00251467977000175
525.2762451,C18043,M+NaCl[1+],0.00131201677004356
515.2685547,C00500,M-HCOONa+H[1+],0.000843402229975254
537.3354047,C03313,M+HCOOK[1+],0.00139745323008356
539.2628373,C00500,M-CO2+H[1+],0.0024739977700392
539.2628373,C00486,M-HCOOH+H[1+],0.00251916676995734
535.2502441,C11136,M+HCOONa[1+],0.00110055876996284
535.2502441,C11135,M+HCOONa[1+],0.00110055876996284
