"","FC","log2(FC)","raw.pval","-log10(p)"
"105.9515762",5.1857,2.3745,9.892e-12,11.005
"123.0959244",0.031297,-4.9978,2.0817e-11,10.682
"129.0162506",72.937,6.1886,3.4166e-11,10.466
"138.9992065",37.461,5.2273,3.4647e-11,10.46
"121.0861588",0.015754,-5.9882,4.9669e-11,10.304
"323.166626",12.618,3.6574,6.8998e-09,8.1612
"103.9528122",4.8422,2.2756,8.2094e-09,8.0857
"879.7354736",189.16,7.5634,3.3444e-08,7.4757
"103.9530487",6.7102,2.7464,9.0985e-08,7.041
"136.109848",0.0665,-3.9105,1.5869e-07,6.7994
"123.0882111",0.086913,-3.5243,2.018e-07,6.6951
"385.2050171",16.013,4.0012,2.195e-07,6.6586
"215.0132751.4",0.4559,-1.1332,3.6643e-07,6.436
"216.0173798.3",0.4447,-1.1691,4.219e-07,6.3748
"136.109848.1",0.095096,-3.3945,5.824e-07,6.2348
"341.178833",17.663,4.1426,1.8701e-06,5.7281
"459.2772217",24.394,4.6084,2.4621e-06,5.6087
"499.2709961",7.7021,2.9453,2.6193e-06,5.5818
"105.9515762.1",5.2888,2.4029,8.1679e-06,5.0879
"212.1399384",0.30461,-1.715,9.0166e-06,5.045
"415.2495728",25.172,4.6537,9.6389e-06,5.016
"652.8396606",0.06501,-3.9432,1.5945e-05,4.7974
"606.3276367",4.8401,2.275,3.0883e-05,4.5103
"620.6676658",4.6724,2.2242,3.5449e-05,4.4504
"643.0310669.5",2.073,1.0517,3.6066e-05,4.4429
"375.1960449",0.17497,-2.5148,4.0012e-05,4.3978
"652.8700562",16.192,4.0172,4.1314e-05,4.3839
"162.0163116",0.057596,-4.1179,4.3115e-05,4.3654
"421.2025757",0.35392,-1.4985,4.4905e-05,4.3477
"245.1326447",0.19958,-2.325,4.7927e-05,4.3194
"685.430542",0.084599,-3.5632,4.9154e-05,4.3084
"686.4324341",0.088662,-3.4955,5.0358e-05,4.2979
"246.0919189",0.065501,-3.9323,5.285e-05,4.277
"246.1355743",0.21464,-2.22,5.5462e-05,4.256
"436.12146",0.051589,-4.2768,6.2054e-05,4.2072
"718.8998105",0.28838,-1.794,6.5953e-05,4.1808
"591.6511881",4.624,2.2091,6.984e-05,4.1559
"988.9332886",0.28829,-1.7944,7.4724e-05,4.1265
"429.2301941",7.8952,2.981,7.6398e-05,4.1169
"187.0926361",0.18634,-2.424,8.9068e-05,4.0503
"247.1405334",0.24675,-2.0189,9.5862e-05,4.0184
"591.9838257",3.3916,1.762,0.00011729,3.9307
