"","K205L_L","K205R_L_1","K205R_L_2","K205L_R","K205R_R_1","K205R_R_2","BLANK1","BLANK2","M1","M2","M3","M4"
"Label","205_x_L","205_x_L","205_x_L","205_x_R","205_x_R","205_x_R","Control","Control","Control","Control","Control","Control"
"481.2621848"," 0.43002975"," 0.59487879"," 0.24789173"," 0.44941036"," 0.36900770"," 0.05486677","-2.27407046","-1.87284206","-0.02659695"," 0.72797957"," 0.60112840"," 0.69831638"
"437.2375914"," 0.4320900"," 0.6310979"," 0.2010147"," 0.4702694"," 0.3917130"," 0.1018660","-2.0696337","-2.0104931","-0.3049565"," 0.7898999"," 0.6038616"," 0.7632707"
"393.2113274"," 0.46273366"," 0.66899010","-0.00222573"," 0.47825837"," 0.34291846"," 0.18176235","-1.85056908","-2.09402220","-0.53947991"," 0.83715010"," 0.68396613"," 0.83051775"
"349.183895"," 0.39599523"," 0.64822223"," 0.23354284"," 0.43439280"," 0.33222707"," 0.03503005","-1.85492394","-2.19480073","-0.29768769"," 0.79264119"," 0.68758889"," 0.78777207"
"653.3385713"," 0.5392286"," 0.6275714"," 0.3491446"," 0.5454242"," 0.4542491","-1.3704612","-1.8115559","-1.7513124"," 0.6208476"," 0.6129604"," 0.5735765"," 0.6103269"
"613.3389949"," 0.4821649"," 0.6221842"," 0.1481124"," 0.4957553"," 0.2746100","-0.3533919","-2.2412262","-1.8370784"," 0.3977579"," 0.7177870"," 0.5983359"," 0.6949890"
"525.283826"," 0.5046991"," 0.3896904"," 0.3850166"," 0.6625395"," 0.5484034","-0.1080315","-2.1680334","-2.0115968"," 0.1776535"," 0.3840145"," 0.6651487"," 0.5704960"
"609.3063687"," 0.4628406"," 0.5872510"," 0.4850467"," 0.5080995"," 0.5944730","-1.4300112","-1.7430678","-1.7789265"," 0.6507225"," 0.5598446"," 0.5393812"," 0.5643462"
"305.1580389"," 0.406752725"," 0.642369855"," 0.150879173"," 0.468395594"," 0.008806355","-0.004429971","-1.286995838","-2.617022355","-0.006678242"," 0.767603730"," 0.688717412"," 0.781601563"
"697.3630543"," 0.6023706"," 0.6511136"," 0.2428108"," 0.5839878"," 0.3178408","-1.5945418","-1.2682596","-2.0078554"," 0.5909383"," 0.6368593"," 0.6131862"," 0.6315494"
"569.3132755"," 0.4469494"," 0.5959718"," 0.2178033"," 0.4409426"," 0.3582151","-0.2849805","-2.2683782","-1.8540767"," 0.4616468"," 0.6817361"," 0.5403657"," 0.6638046"
"657.3703902"," 0.53413514"," 0.64149685"," 0.04278943"," 0.52679582"," 0.13699402","-0.34492464","-2.40833990","-1.57834726"," 0.35622645"," 0.74606838"," 0.62909523"," 0.71801047"
"521.2585627"," 0.5336696"," 0.6404320"," 0.5155472"," 0.5541749"," 0.6144117","-1.3993357","-1.9095154","-1.6183324"," 0.3033258"," 0.5934714"," 0.5920096"," 0.5801412"
"741.3923029"," 0.6176192"," 0.6668698"," 0.2141551"," 0.6059520"," 0.2676158","-1.7483892","-1.4035120","-1.7483892"," 0.5571367"," 0.6676798"," 0.6428575"," 0.6604043"
"565.279478"," 0.4370971"," 0.5542719"," 0.5503357"," 0.4572494"," 0.6652776","-1.6052126","-1.6548052","-1.7003807"," 0.7001034"," 0.5497460"," 0.5002423"," 0.5460753"
