"","K205L_L","K205R_L_1","K205R_L_2","K205L_R","K205R_R_1","K205R_R_2","BLANK1","BLANK2","M1","M2","M3","M4"
"Label","205_x_L","205_x_L","205_x_L","205_x_R","205_x_R","205_x_R","Control","Control","Control","Control","Control","Control"
"481.2621848"," 77794304.8","116213855.3"," 49929413.6"," 81553143.7"," 67053825.6"," 31207096.5","   107560.6","   285699.1"," 25592590.6","160693253.1","117995703.5","149496842.1"
"437.2375914"," 68034498.2","105658102.6"," 40808483.9"," 74029625.4"," 62221671.9"," 32772148.2","   268837.4","   306409.4"," 13325932.8","150125114.1"," 99480657.7","141537803.6"
"393.2113274"," 63441996.9"," 97867253.8"," 23877296.8"," 65546124.6"," 49319142.3"," 35149591.3","   490805.9","   294237.4","  7719806.3","139355928.0","100996605.1","137426907.2"
"349.183895"," 66846738.7","111046791.2"," 48206999.9"," 72216520.1"," 58796579.5"," 32331521.4","   721042.3","   363861.6"," 16552287.6","148496557.1","120201325.9","147048692.7"
"653.3385713","50867771.02","64969725.75","30046161.72","51748218.87","40199448.04","  256601.96","   75624.64","   89357.45","63770952.56","62392917.04","55944838.61","61939469.56"
"613.3389949","47069806.03","69093518.89","18838600.69","48856455.57","26646835.41"," 4764323.16","   26946.98","   81593.07","37346924.36","89795292.98","64721056.65","84355277.32"
"525.283826","40453938.67","30893847.77","30557211.93","58567410.61","44818319.21"," 9619402.54","   76893.19","  110956.78","18793170.95","30485510.92","58926740.74","47200627.49"
"609.3063687","38288344.97","53647805.89","40664267.26","43286859.93","54708579.09","  226128.06","   96772.15","   87806.98","63721440.62","49806117.66","47118160.20","50417695.57"
"305.1580389"," 58528008.19","107708926.10"," 30178865.34"," 68653792.82"," 20892014.54"," 20188294.87","   729793.59","    23331.56"," 20071141.13","148951002.60","121438677.80","154447264.50"
"697.3630543","56448547.62","68247017.44","13918379.88","52549064.62","18641229.28","   10873.71","   38740.46","       0.00","53990736.67","64562125.72","58876683.09","63240913.27"
"569.3132755","42242680.49","61487992.03","23716617.40","41608270.85","33780895.63"," 6683118.74","   45188.83","  128321.70","43836026.82","76316986.84","53450784.56","72946284.72"
"657.3703902","38808829.300","54990483.750"," 7874779.269","37895152.630","10691697.850"," 2236890.081","    2758.486","   40811.550","21782986.250","77216653.960","52820671.150","70494516.420"
"521.2585627","36662603.09","48192690.09","34999730.02","38639589.41","45085538.64","  259437.09","   70231.24","  148057.25","20323513.79","42731114.61","42571427.28","41296784.70"
"741.3923029","41551944.830","52288621.920"," 6322567.310","39350080.020"," 8114129.774","       0.000","    3329.493","       0.000","31333723.260","52486662.950","46745705.590","50734540.860"
"565.279478","26078854.55","35401514.18","35039908.66","27486321.34","47289742.70","  126706.65","  111332.47","   98854.11","51786555.37","34986054.32","30748090.07","34652682.87"
"785.4139482","28140154.730","39673191.750"," 3443111.002","28390722.820"," 4231512.368","       0.000","       0.000","    2565.313"," 9997396.972","42357553.590","35874238.540","39536303.790"
"701.3912371","22256036","33057797"," 2927497","21067803"," 3729730","       0","       0","       0","12427435","51293794","30689571","44117608"
"261.127754","21259968.1","48560433.0","16758111.4","31773325.5"," 8256341.1"," 8468545.0","  733748.5","  522294.9","10654512.0","58956384.1","54774580.6","63828194.0"
"477.2272633","22247949.4","29389199.1","25750700.3","23850837.9","33181418.9","  130492.5","   81210.6","  102394.7","16926178.1","27224820.6","26472472.4","25894597.4"
"404.2034057","20644255.03","26036212.52","   92636.98","21951440.88","   87409.48","       0.00","       0.00","       0.00"," 3779583.49","31448605.55","30650122.31","30598306.27"
"426.2112648","14161950.75","25730460.57","  131615.18","19978433.73","  169297.22","       0.00","       0.00","    2732.66"," 1148783.35","28751208.90","29784959.05","28230947.48"
"654.3374702","14527622.290","18118226.290"," 8877696.634","14585437.000","11571766.650","   26593.720","    3033.831","   24362.002","18483180.760","17448639.290","16383064.450","17502814.580"
"698.3644174","17297909","20689448"," 4571405","16258465"," 5978016","       0","       0","       0","16854706","19707536","17978292","19337646"
"829.4426522","13214648.330","23017103.730"," 1398894.202","16145530.090"," 1700479.526","    9973.931","       0.000","       0.000"," 2041116.532","29368139.990","24183062.790","27045959.550"
"482.2621136","15236380.090","22474612.720","10405100.650","15865627.260","13663101.420"," 6570425.485","    2343.396","   35070.914"," 5579530.126","33556412.250","23541798.610","30955460.100"
"614.3470747","11809459.410","17077463.830"," 4938038.198","12170378.770"," 6839222.678"," 1268541.506","       0.000","    9700.505"," 9477883.758","22641143.490","15797819.210","21114646.410"
"382.1871919","13602785.85","18292518.50","   44308.32","16096129.42","   56077.26","       0.00","       0.00","       0.00"," 6899336.68","22919433.26","22615632.77","22466626.10"
