"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"481.2621848",-0.027408,-0.035146,0.032304,0.01884,-0.07227,-0.00024494,-0.015441,-0.0019641,0.0037402,0.0087408,0.0075816,0.66124
"437.2375914",-0.027551,-0.033943,0.039744,0.011536,-0.063651,0.015691,-0.028137,-0.0048141,-0.0053729,0.012408,0.011257,0.16448
"393.2113274",-0.028014,-0.028787,0.045717,0.0073038,-0.05549,0.028278,-0.046537,-0.0067744,-0.019598,0.023425,0.015717,0.1802
"349.183895",-0.028048,-0.03434,0.036673,0.0071904,-0.056338,0.029189,-0.046933,-0.0059219,0.0011942,0.014059,0.0010839,-0.22304
"653.3385713",-0.030017,-0.042735,-0.0098592,0.010565,-0.015709,-0.021533,0.015443,0.0053571,-0.00011257,-0.010413,0.0083884,0.051872
"613.3389949",-0.029548,-0.034806,0.014197,0.023944,-0.062337,-0.0064342,-0.0028725,0.0039775,0.0027739,0.00091742,0.0058512,-0.64167
"525.283826",-0.026063,-0.042986,0.023755,0.025966,-0.06137,-0.0099774,-0.040635,-0.011346,-0.0032738,-0.023039,0.025587,0.10111
"609.3063687",-0.028659,-0.047095,-0.012438,0.0067475,-0.014053,-0.020952,0.013737,0.0081339,-0.00049214,-0.012308,0.0083825,-0.079302
"305.1580389",-0.028662,-0.030962,0.023379,0.011051,-0.040822,0.075788,-0.084086,-0.011403,0.015463,0.00070434,-0.013415,0.0043816
"697.3630543",-0.030835,-0.039923,-0.016339,0.0046749,0.010711,0.0075192,-0.009453,-0.0014096,-0.0023522,-0.010764,0.0075786,-0.093044
"569.3132755",-0.028463,-0.037375,0.013359,0.025001,-0.067773,-0.0044275,-0.0016752,0.004971,0.0010847,0.002553,0.0034455,-0.014347
"657.3703902",-0.030086,-0.02934,0.016594,0.026948,-0.065114,-0.024287,0.012895,0.0032899,0.0068213,0.00034422,0.0060234,-0.0030319
"521.2585627",-0.028995,-0.045996,-3.6593e-05,0.0032234,-0.012113,-0.038225,0.02403,0.0039314,0.0022156,-0.0074633,0.012924,-0.001425
"741.3923029",-0.03144,-0.037224,-0.016813,0.002852,0.012806,-0.013873,0.010023,0.00013557,0.00035592,-0.012921,0.0081838,0.00095356
"565.279478",-0.027856,-0.048688,-0.017695,0.0021793,-0.0078088,-0.024909,0.021759,0.0079358,-0.0022941,-0.011499,0.0077487,0.003788
"785.4139482",-0.032016,-0.033328,-0.0098245,0.00276,0.0053607,-0.044444,0.03598,0.003091,0.0040015,-0.01237,0.0095978,-0.00095095
"701.3912371",-0.03581,-0.0098989,-0.0061205,0.0018358,0.0024019,-0.006965,0.017934,0.0061111,-0.0061537,0.0058692,0.00027079,0.0014298
"261.127754",-0.031949,-0.022306,0.026856,0.0042603,-0.046435,0.020905,-0.038944,0.0048929,0.043732,-0.014385,-0.033535,-0.0025512
"477.2272633",-0.028544,-0.047718,-0.0065165,-0.00042872,-0.0045954,-0.033504,0.022369,0.0046822,0.00090361,-0.0087799,0.012893,0.0017853
"404.2034057",-0.035789,0.0018108,-0.0046024,0.017368,0.013809,-0.01031,0.00091156,0.0009147,0.0077758,-0.010959,0.0021743,0.0021433
"426.2112648",-0.035043,-0.014012,-0.0013089,0.0050203,0.013803,-0.040551,0.024064,0.0059378,0.0038971,-0.011785,0.010278,-0.0023462
"654.3374702",-0.029436,-0.041628,-0.0085174,0.011625,-0.022148,-0.049174,0.038509,0.0067539,0.0040435,-0.012107,0.0091396,-0.0020757
"698.3644174",-0.034147,-0.021656,-0.016013,0.015527,0.0033211,-0.01604,0.01667,0.011974,-0.0094692,-0.0014662,0.0035172,0.0019065
"829.4426522",-0.033592,-0.029049,0.0052505,0.0039024,-0.0054075,-0.016854,0.0040502,0.00064671,0.0043113,-0.0066086,0.0092081,0.0019284
"482.2621136",-0.026136,-0.03457,0.031665,0.024009,-0.083847,-0.020196,0.0028835,-0.00033508,0.0083595,0.0054646,0.0074967,-0.0054277
"614.3470747",-0.028628,-0.03561,0.01615,0.026463,-0.068477,-0.0088745,-0.0010987,0.0029389,0.0052287,-0.00018347,0.0060278,-0.00014154
"382.1871919",-0.035518,0.0012256,-0.012699,0.021691,0.0082288,-0.0088515,0.00067047,0.0075884,0.0024135,-0.012127,0.0041024,0.004238
"610.3111305",-0.028349,-0.045742,-0.0074721,0.01189,-0.028555,-0.039414,0.029111,0.0089207,0.0033161,-0.012308,0.0091092,-0.00029972
"745.4220834",-0.035697,-0.0069414,0.011097,-0.0091977,0.012356,-0.009229,0.01612,-0.0011122,-0.0060085,0.0086437,0.0034127,-0.0022214
"215.0145333",0.026187,-0.011198,-0.070648,0.032912,0.034661,0.0084992,-0.01737,0.013361,0.0018219,-0.0036619,0.0029017,0.0048496
"658.3704657",-0.034299,-0.021988,0.0058328,0.011735,-0.026159,0.0023382,-0.0010816,0.0030727,-0.0054783,0.0058311,0.0047965,-0.0018896
"526.2885718",-0.025801,-0.041135,0.027135,0.032705,-0.065787,-0.021081,-0.019069,0.007618,0.0030799,-0.006484,0.0035406,-0.003647
"215.0145333.1",0.027944,-0.01818,-0.061252,0.027201,0.030433,-0.025588,-0.0093295,0.00080086,0.002558,0.03881,-0.0094088,-6.7942e-05
"742.3868799",-0.035046,-0.015113,-0.012495,0.015011,0.0059568,-0.014529,0.012173,0.0097633,-0.0050569,-0.00355,0.004025,0.0013964
"570.3177369",-0.027485,-0.037794,0.016101,0.028111,-0.073822,-0.0074897,-0.0014509,0.0038652,0.00316,0.0010568,0.0060007,-0.0049235
"438.2416724",-0.026828,-0.035943,0.036786,0.014697,-0.067124,0.022916,-0.03751,-0.01006,0.010126,0.012366,0.0026066,0.0019845
"384.20223",-0.035822,0.002422,-0.0018608,0.014703,0.014897,-0.0092568,0.0023286,-0.0030993,0.020406,-0.016875,-0.0042995,0.0034141
"873.4690652",-0.0355,-0.0042406,-0.017464,0.01252,-0.0024221,-0.0063757,0.0056233,0.023229,0.0081989,-0.016658,-0.0035629,0.0021444
"394.2118782",-0.026604,-0.036079,0.041066,0.0051986,-0.055535,0.040861,-0.056136,-0.011725,-0.00085409,0.015833,0.0056783,-0.00061549
"448.2280091",-0.035552,0.00022711,-0.014321,0.018507,0.0046027,-0.0077942,0.0007144,0.018342,0.0086246,-0.013178,0.0078228,0.0013579
"362.1892026",-0.035168,0.0086737,-0.012116,0.023855,0.0086978,-0.0057058,-0.0035964,0.014682,-0.022477,0.00030268,0.017277,0.0018324
"550.3477664",0.0095671,-0.043868,0.071937,0.061423,0.039694,0.038973,0.013779,0.015238,-0.00020863,-0.028577,0.019897,0.0029828
