"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"K205L_L",-16.282,-1.7725,3.2966,10.522,5.3691,-0.37488,1.3712,-5.9681,-0.77422,1.7823,0.19272,-7.5894e-15
"K205R_L_1",-21.908,-1.8162,6.9756,4.6562,4.6951,1.2892,1.7137,5.4143,0.24289,1.7248,-2.8684,-3.6625e-14
"K205R_L_2",19.89,-23.359,2.0601,-4.8467,-0.2818,-0.40965,1.0146,-1.8188,4.1455,-1.5274,-1.8054,-3.7886e-15
"K205L_R",-17.528,0.26478,5.0563,5.201,3.7982,-0.52105,-0.62627,1.7876,0.39449,-4.5859,3.1377,-9.3224e-15
"K205R_R_1",18.444,-23.54,1.1905,-4.0407,-1.0037,-1.5187,-0.078897,1.4297,-4.1672,1.5572,2.0461,-1.778e-14
"K205R_R_2",33.662,8.1492,12.52,6.9871,-9.5363,3.2606,-2.3904,-0.12348,0.1383,0.3025,-0.11962,4.8561e-14
"BLANK1",36.464,9.7013,-6.5479,-5.8443,9.0477,5.3756,-2.841,-0.31654,-0.37565,0.091847,-0.10157,2.069e-14
"BLANK2",38.716,18.413,-0.95485,-1.7147,0.4942,-6.7146,4.3051,0.5289,0.080237,-0.022399,0.0077253,3.0824e-14
"M1",-3.0594,-3.2715,-22.857,9.031,-4.9207,0.92449,0.32775,1.0247,0.14753,-0.35994,-0.38596,-1.307e-14
"M2",-32.072,6.7338,-0.26379,-8.7996,-3.7095,3.9226,3.3936,-0.15584,1.9804,1.9041,2.7471,1.5345e-14
"M3",-25.637,4.3488,-1.2894,-3.3849,-0.47312,-5.6667,-6.445,0.1246,1.6462,1.7373,0.069538,-7.252e-15
"M4",-30.689,6.1489,0.81354,-7.7662,-3.4792,0.43297,0.25556,-1.927,-3.4586,-2.6045,-2.9199,-2.1918e-14
