"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"481.2621848",-0.04959,0.046022,-0.024683,0.047438,0.04998,-0.062477,0.010618,-0.0065864
"437.2375914",-0.049967,0.044181,-0.02591,0.055577,0.038056,-0.046875,0.015867,-0.025157
"393.2113274",-0.046263,0.041698,-0.02833,0.062416,0.032652,-0.030333,0.01655,-0.043711
"349.183895",-0.049176,0.046843,-0.025429,0.052685,0.032313,-0.038193,0.0071944,-0.046392
"653.3385713",-0.045664,0.06679,-0.018727,-0.011781,0.024798,-0.018872,0.0020047,0.026474
"613.3389949",-0.045043,0.054623,-0.024417,0.023685,0.054753,-0.059934,0.011266,0.0031974
"525.283826",-0.055858,0.047401,-0.021129,0.033276,0.067798,-0.04271,0.0010412,-0.00089487
"609.3063687",-0.048673,0.067534,-0.015517,-0.013014,0.022393,-0.015242,0.0010276,0.024905
"305.1580389",-0.042793,0.049994,-0.025336,0.03213,0.032827,-0.025753,0.0086678,-0.10355
"697.3630543",-0.041025,0.069396,-0.01918,-0.024422,0.0099216,0.010351,0.0028908,-0.0078769
"569.3132755",-0.047216,0.053966,-0.022568,0.023933,0.058493,-0.065771,0.013896,0.000744
"657.3703902",-0.040608,0.052435,-0.026903,0.025424,0.055207,-0.067328,0.0073509,0.02597
"521.2585627",-0.050987,0.063686,-0.018141,-0.00087245,0.011837,-0.01302,-0.0053429,0.046451
"741.3923029",-0.038082,0.070011,-0.020149,-0.024801,0.0044185,0.0086916,-0.0023257,0.019442
"565.279478",-0.048216,0.069202,-0.013067,-0.018412,0.01522,-0.010378,0.001077,0.031646
"785.4139482",-0.036102,0.067619,-0.022636,-0.015389,0.0020728,-0.00243,-0.0084368,0.057178
"701.3912371",-0.013764,0.066028,-0.031886,-0.0060305,-1.2798e-05,-0.0024435,0.0050925,0.01186
"261.127754",-0.034566,0.053395,-0.030106,0.041242,0.017636,-0.043464,-0.018649,-0.04107
"477.2272633",-0.05048,0.066216,-0.015907,-0.0079496,0.0071414,-0.0051464,-0.0044552,0.04164
"404.2034057",-0.0045966,0.057736,-0.037106,-0.016314,0.011165,0.0046335,-0.0089767,0.011463
"426.2112648",-0.019999,0.062761,-0.031994,-0.0084299,-0.0014069,0.0083588,-0.014193,0.048802
"654.3374702",-0.044814,0.065087,-0.01857,-0.0090193,0.025676,-0.029761,-0.0038028,0.060691
"698.3644174",-0.0242,0.067451,-0.027546,-0.024817,0.020404,-0.0047592,0.0011623,0.019309
"829.4426522",-0.036314,0.063872,-0.027648,0.0041947,0.0075489,-0.0043041,-0.0048082,0.019241
"482.2621136",-0.04894,0.043473,-0.023671,0.048042,0.058591,-0.078985,0.0087954,0.018478
"614.3470747",-0.046451,0.052378,-0.023808,0.026162,0.059173,-0.06688,0.011771,0.0063308
"382.1871919",-0.0030481,0.059999,-0.035426,-0.023168,0.023383,-0.00055832,-0.0046533,0.0087928
"610.3111305",-0.048972,0.064482,-0.016566,-0.0057528,0.03089,-0.032954,-0.00051166,0.047477
"745.4220834",-0.014876,0.060182,-0.034762,0.012006,-0.02274,0.012641,0.00079948,0.015445
"215.0145333",0.0086555,-0.024149,0.03605,-0.10124,0.047138,0.015961,-0.0094206,-0.014884
"658.3704657",-0.029772,0.062347,-0.03014,0.010118,0.025148,-0.024703,0.010305,-0.003556
"526.2885718",-0.055768,0.043658,-0.022773,0.03185,0.067094,-0.059102,-0.0072033,0.0088388
"215.0145333.1",-0.00017929,-0.027082,0.038344,-0.089282,0.038335,0.009251,-0.037701,0.016336
"742.3868799",-0.018757,0.06563,-0.030554,-0.021228,0.01717,-0.0016047,-0.001438,0.017154
"570.3177369",-0.04853,0.051093,-0.022202,0.027042,0.064034,-0.071747,0.014217,0.0043764
"438.2416724",-0.051315,0.044133,-0.024503,0.051467,0.04196,-0.054571,0.0098121,-0.035551
"384.20223",-0.0045481,0.056984,-0.037573,-0.013713,0.0033612,0.0026097,-0.012667,0.011491
"873.4690652",-0.0056761,0.066181,-0.031689,-0.018239,0.020827,-0.0089696,-0.0031028,0.0043104
"394.2118782",-0.051834,0.043626,-0.02427,0.057215,0.029549,-0.033874,0.012568,-0.058685
"448.2280091",-0.0030498,0.061962,-0.034347,-0.02093,0.023586,-0.0020578,-0.003796,0.0072585
"362.1892026",0.0041814,0.056602,-0.036987,-0.021013,0.031199,0.0075095,0.0047915,0.003765
"550.3477664",-0.074285,-0.047724,-0.0052353,-0.0064336,0.00074329,0.016447,0.038706,-0.024951
"433.2038297",-0.046866,0.068145,-0.012959,-0.021626,-0.028302,0.036868,-0.010504,0.035513
"786.4181118",-0.036518,0.064245,-0.027027,-0.0036977,0.018452,-0.012109,-0.0010278,0.016052
"917.4958988",-0.0033339,0.062398,-0.033687,-0.026786,0.026373,-0.0079493,0.0016232,0.0058339
"350.1853726",-0.049303,0.047274,-0.024524,0.049761,0.034095,-0.033431,0.011467,-0.064417
"522.2594534",-0.053013,0.062598,-0.018099,0.001259,0.02494,-0.020953,5.7939e-05,0.018277
"406.2195196",-0.010024,0.051134,-0.039129,0.013924,-0.014638,0.03561,-0.004294,0.019931
"470.240957",0.004844,0.049437,-0.036904,-0.054218,0.034128,-0.01959,-0.0074439,-0.0041087
"702.395487",-0.014059,0.065875,-0.031929,-0.0072316,0.0010281,-0.0022806,0.00543,0.012468
"566.2886518",-0.052098,0.065789,-0.014847,-0.010259,0.028099,-0.01664,0.0069924,-0.0042163
"653.3385713.1",-0.039424,0.06281,-0.012893,-0.025238,0.079299,-0.070159,0.010445,0.034879
"569.3132755.1",-0.036194,0.04998,-0.014996,0.0025759,0.11235,-0.11055,0.025101,-0.0050913
"426.7139781",-0.0054269,0.058311,-0.036938,-0.011386,0.0087512,0.0082971,-0.0083273,0.011227
"404.6999679",-0.0036928,0.058595,-0.036491,-0.019105,0.017693,0.0037544,-0.0064673,0.010882
"697.3630543.1",-0.031862,0.066495,-0.015004,-0.033244,0.077551,-0.056218,0.01136,0.032292
"609.3063687.1",-0.043511,0.064541,-0.0087093,-0.02938,0.062445,-0.056478,0.0023197,0.061302
"789.4442228",-0.016597,0.057478,-0.034827,0.024111,-0.03623,0.020149,-0.0042348,0.018381
"217.1052334",-0.077206,0.040366,0.0014979,-0.010869,0.010125,0.017102,-0.0069805,-0.074183
"1111.60476",-0.028961,0.068074,-0.026189,-0.020265,-0.011295,0.019448,-0.0021939,0.0076656
"306.161234",-0.039642,0.049606,-0.028694,0.037409,0.028451,-0.043032,-0.0017513,-0.070248
"1067.584348",-0.02434,0.068055,-0.027171,-0.021997,0.0089206,0.025942,0.010584,0.0069811
"830.4445035",-0.036826,0.063315,-0.027857,0.0037009,0.0084534,-0.0032152,-0.0026504,0.0202
"1155.637715",-0.028964,0.067933,-0.026253,-0.019526,-0.011849,0.022724,-0.0012811,0.0063527
"550.3477664.1",-0.074055,-0.042981,-0.010877,0.0033248,0.010328,-0.038827,0.015121,-0.03145
"741.3923029.1",-0.025431,0.062135,-0.02439,-0.022693,0.060549,-0.073172,-0.0096294,0.0271
"360.1734169",-0.006037,0.061297,-0.034619,-0.018656,0.02716,0.0084068,0.0021799,0.012344
