"","234Bsq","234Lsq","2362Rsq","236Nsq","61sq1","61sq1-1","61sq2","236NV","234BV","234LV","2362RV","61vis2","61vis2-1","239NV","240NV","2412RV","241Nsq_V","239Nsq","240Nsq","2412Rsq","241Nsq","222L","222N","222R","232L","257L","257N","258B","258N","258R","52L","52N-2","52R","53R","56L","56N","57B","57L","57N","57R","58B","58L","58N","58R","210L","210R","225R","226R","227N","2402R","240L","241B","241R","211B","211L","216AN","216AR","225B","226N","227B","241L","62B","62L","62R","63L","63R","64L","64N","64R","65B","65R","66L","66N"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue"
"104.1039237"," 0.128709662"," 0.078711123","-0.155154545"," 0.125912459"," 0.972778056"," 1.215886324","-3.582455965","-0.180921881"," 0.133916199"," 0.069987101","-0.643112093"," 0.420880786"," 0.238130715","-0.333230388","-0.804980562","-2.718491123","-0.180595308"," 0.086301017"," 0.105904134","-0.216701422","-2.264723943"," 0.792547084"," 0.509040615"," 1.186006006"," 0.172798482"," 0.249216076","-0.248513178","-0.406369579"," 0.155065914"," 0.283864580"," 0.804490845"," 0.404918934"," 0.328248114","-0.042217251"," 0.125594860"," 0.504104637"," 1.774081752"," 0.904680994"," 1.321792997","-2.683241602"," 0.309200137"," 0.469472930","-0.006295097"," 0.343802650","-0.103580224"," 0.374502886"," 0.067263785","-0.849018154","-0.039870539","-0.136133162","-4.141235982","-0.847849910","-0.974503978","-0.256098788"," 0.001670873"," 0.046522468"," 0.502258831","-0.075192849"," 0.009119876"," 0.392126654","-0.010984229","-0.345085122"," 0.704065519"," 0.454785495"," 0.671581553"," 0.330014248"," 0.287353383"," 0.529956646"," 1.028068369"," 0.164061781"," 0.785189898"," 0.460211565"," 1.221757865"
"118.0843194"," 0.466829788"," 0.350024944"," 0.012991354","-1.799615244","-2.471690575"," 0.543927957","-0.458895351"," 0.512264965"," 0.125813507","-0.263742587"," 0.186930633"," 0.189756611"," 0.366973725"," 0.215683290"," 0.216583755"," 0.348118393","-0.035448455"," 0.411933555"," 0.604414774","-0.315854607"," 0.228937072"," 0.330920354"," 0.617541674"," 0.147380254"," 0.261866696"," 0.642411041"," 1.038802744"," 0.642135592"," 0.617121236"," 0.087639749"," 0.953606698","-2.842924969","-0.296130281","-2.031128768","-2.676920454","-3.281441208"," 0.301252426","-2.500722358"," 0.407040239","-2.793622666","-0.009396636","-0.769808542","-0.253554537"," 0.104039517","-0.758066986"," 0.622864297","-0.045037799"," 0.670223385"," 0.592533532","-0.218095642"," 0.030408170"," 1.042637671"," 0.960496738"," 0.419945808"," 0.408696800"," 1.033209240"," 0.587289022","-0.055778532"," 0.420904048"," 0.454795396"," 0.834588487"," 1.353015668"," 1.101510205"," 0.243000739"," 0.148411459"," 0.415038767"," 0.187362506"," 0.028130544"," 0.536618509"," 0.354581329","-0.591534461"," 0.530395072"," 0.559810727"
"86.09582925"," 0.10731501"," 0.15855505","-0.13534986"," 0.21097828"," 0.37586430"," 0.69019275","-2.64675440","-1.01932277","-1.12280202","-1.00772014","-1.89064548"," 0.48067085"," 0.53458829","-1.20786835","-1.43410547","-1.04027294","-0.78852564","-0.37181639","-0.09840811","-0.31720642","-0.64161829"," 0.84671492"," 1.07131346"," 1.31379540"," 0.19140827"," 0.69160807"," 0.13968277"," 0.41839210"," 0.61148047"," 0.62745927"," 0.79824248"," 0.62129970"," 0.51657378"," 0.34673137"," 0.47229417"," 0.49282448"," 1.18979844"," 1.07706082"," 0.64808262"," 0.49110600"," 0.35713598"," 0.39675202"," 0.28575661"," 0.68596522","-0.20519295"," 0.57807892","-0.24710814","-5.58385418","-0.08179139","-0.43879704","-0.10081592"," 0.14685746","-0.07358298","-0.46644604","-0.09080730"," 0.71830346"," 0.89296492","-0.29740121","-0.57218748"," 0.23846963","-0.89353701"," 0.16945120"," 0.44474524"," 0.35542489"," 0.39322612"," 0.56712047"," 0.73594672"," 0.44393071","-1.44778674","-0.23171551"," 0.89816994"," 0.14716716"," 0.87394035"
"84.0781325"," 0.61140002","-0.58308179"," 0.51734141","-0.99801993","-0.28922969","-0.24397648","-2.23186775"," 0.58996121"," 0.74756817"," 0.65621996"," 0.60309756","-1.78539513"," 0.88269249"," 0.74997882"," 0.27166343"," 0.40208553","-2.33757420"," 0.59455990"," 0.94379634"," 0.70678301","-2.27163395"," 1.17842275"," 0.25957707"," 0.94061121"," 1.04354001"," 0.86716636"," 0.88891364"," 0.65810609"," 1.05789551"," 0.87869538","-1.03414203","-0.69129071","-0.84356445","-0.27462397","-1.63849433","-1.37288918"," 0.05605831","-1.11432235","-0.29872987","-1.81681254","-0.16962365","-0.33404202","-0.21566749"," 0.09162496"," 0.43187346"," 0.68658539","-1.62876965","-1.82554223"," 0.48515719","-1.54590599","-1.29226684","-1.28918885","-0.75075028"," 0.53677410"," 0.47901229"," 0.95372122"," 0.95923585","-1.83818319"," 0.73023476"," 0.94850797"," 0.78052437"," 0.08560039"," 0.44554866"," 0.70797792"," 0.84902238"," 0.82149097"," 0.26874470"," 0.72907423"," 1.26015270"," 0.92549062"," 0.09155078"," 0.81501062"," 0.52653886"
"84.04305972"," 0.77223900"," 0.07040017"," 0.59581611","-1.38640106","-0.13265170"," 0.42124888","-0.61689299"," 1.00510110"," 0.46001117"," 0.54929875"," 0.86353397","-0.45886478"," 0.95722126"," 1.02638121"," 0.31800671"," 0.75566717"," 0.04211141"," 0.96373822"," 0.45693562"," 1.13082122"," 0.24805324"," 0.20837355","-0.70424394"," 0.39559401"," 0.65804331","-0.03356354","-0.21701437","-0.26400015"," 0.32804948"," 0.50115563","-1.13848374","-0.80721536","-0.63033133","-1.27808539","-2.30938050","-1.65279382","-1.54319505","-0.81813676","-2.73026925","-2.10073861","-1.01543269","-2.68808178","-0.28768284","-2.94254674","-0.32807721"," 0.42612493"," 0.02521506","-0.47040432"," 0.80966753","-0.75076590"," 0.07438097","-0.51125214"," 0.50456296"," 0.95581844"," 0.86982712","-0.42044352"," 0.27503832","-0.11812394"," 1.05992877"," 1.02070872"," 1.10007745"," 0.55416119"," 0.68320586"," 0.96034976"," 0.84921422"," 0.79552016"," 0.83625760"," 0.99981972"," 0.90002084"," 1.10439298","-0.46076225"," 0.64441119"," 0.63933070"
"132.0765748"," 0.83548422"," 0.38861044"," 0.18001751"," 0.95546809"," 1.48307280"," 1.58584158","-2.29114126","-0.91727215"," 0.63140629"," 0.11429915","-0.51943975","-0.63729906"," 0.02443526","-1.55858984","-1.62122355","-3.08056298","-2.18884445"," 1.46000256"," 0.85457596","-0.70786799","-0.30262498"," 1.40526633"," 1.33085607"," 1.47531738"," 0.82558836"," 0.81679092","-0.91183275"," 0.49810780"," 1.24748140"," 0.96046989","-0.26545201","-0.43162899","-0.43483432","-0.46297752","-0.11468884"," 0.36168165"," 0.11026629"," 1.06687712","-0.36250112","-0.63579559"," 0.17264251","-0.21057637","-0.43803908","-0.09856685","-0.10124837"," 1.00586055","-0.08836036","-1.45726052"," 0.15524560","-1.44401094","-1.79981671","-1.25524575","-1.29812903","-0.44232797","-0.16671051"," 0.99869497"," 0.17939019","-0.05292052","-0.01699273"," 0.68510752","-0.62520231","-1.38173555","-0.09938207"," 0.40648313"," 1.14824421"," 0.51347664"," 0.07251538"," 0.63395140"," 1.02773297"," 0.77510201","-0.10535090"," 1.15021415"," 0.98987541"
"110.0773354"," 0.46364541","-2.24424276"," 0.56789746","-2.44045123","-1.97571141"," 0.67296437","-2.16949318"," 0.39836705"," 0.35100142"," 0.26594127"," 0.32904384"," 0.06314527"," 0.81009954"," 0.32161502"," 0.35764279"," 0.37250623"," 0.12893390"," 0.30236833"," 0.57545676"," 0.49808812"," 0.12962218"," 0.65995596"," 0.71097713"," 0.92612134","-1.81900662"," 0.74456330"," 0.88691540"," 0.65275981"," 0.91453454"," 0.77489228","-0.72642532","-1.77734920"," 0.46172890"," 0.66002083"," 0.20558210","-1.72529613","-0.79245478","-2.65067387","-2.48681153","-0.08663254","-1.01326935","-1.48932319"," 0.70748320","-2.24552195"," 0.78042281"," 0.73959745","-0.13992994","-0.23684254"," 0.41603862","-0.36909283","-0.08731403"," 0.45718243"," 0.36380834"," 0.36785108"," 0.29877376"," 0.72812858"," 0.81006178","-0.24313354"," 0.29135951"," 0.64114488"," 0.38038842"," 0.55140761"," 0.62346561"," 0.73569674"," 0.71380178"," 0.63656904"," 0.70923404"," 0.96594795"," 0.89464129"," 0.85082248","-0.42131562"," 0.45924769","-1.18917409"
"357.2475088"," 0.735889383"," 0.713060543"," 0.593022002"," 0.764215121"," 1.060909356"," 0.299159094","-0.246209870"," 0.366071655"," 0.664435293","-0.567790275","-1.106733019","-1.750776040"," 0.004908984","-0.228043892","-1.750776040","-1.750776040","-1.750776040"," 0.815023491"," 0.900442495","-0.798676366","-1.093512748"," 1.374195838"," 0.324996652"," 1.314818052"," 0.827269730"," 0.433692133"," 0.531090771"," 0.469428221"," 0.994198489"," 0.821426971"," 0.050842096"," 0.223451162","-1.750776040","-0.179882143","-0.103701434"," 0.535360193","-0.511562375"," 1.006919419"," 0.191306403","-1.750776040","-0.604746363","-0.166684343","-0.285817855","-1.750776040"," 0.116815926"," 1.067524916","-0.978482266","-1.750776040","-0.541578596","-1.750776040","-1.750776040","-1.750776040","-1.750776040"," 0.363613468","-0.274635110"," 1.209209263"," 0.436698858","-1.344035023"," 0.609455231"," 0.776923397"," 0.541238389","-0.238013691","-0.356908657"," 0.868755911"," 1.274246176"," 0.939763780"," 0.389262109"," 1.121912546"," 1.234633950"," 1.116170214"," 0.575469566"," 1.369258112"," 0.609241149"
"130.0461565"," 0.77292075"," 0.14832081"," 0.59874680","-0.35883040"," 0.32298597"," 0.45572069","-0.61137026"," 0.97980101"," 0.23457766"," 0.35695315"," 0.88305749","-0.38065560"," 0.94996530"," 1.02953527"," 0.30027906"," 0.73232946"," 0.04164915"," 0.97660546"," 0.31118803"," 1.03145413"," 0.19509819"," 0.25294018","-0.23152746"," 0.23856985"," 0.65774189","-0.02966388","-0.18535899","-0.22402559"," 0.34723512"," 0.50749690","-0.67338168","-0.70813440","-0.57240280","-1.15876267","-2.76573287","-1.66934172","-1.47937181","-1.80396572","-2.65206606","-2.04276739","-0.99068477","-2.96195580","-0.29740534","-2.81422049","-0.27809942"," 0.38516475"," 0.02566134","-0.40287235"," 0.79561681","-0.86442357"," 0.12759494","-0.46454391"," 0.46753764"," 0.97053840"," 0.85377641","-0.33146778"," 0.30539936","-0.08955007"," 1.06224728"," 1.03519028"," 1.08558354"," 0.53921220"," 0.66983486"," 0.97729833"," 0.87812619"," 0.77564009"," 0.83304611"," 0.99864920"," 0.95267761"," 1.04589588","-0.40991459"," 0.61086618","-0.26823235"
