"","234Bsq","234Lsq","2362Rsq","236Nsq","61sq1","61sq1-1","61sq2","236NV","234BV","234LV","2362RV","61vis2","61vis2-1","239NV","240NV","2412RV","241Nsq_V","239Nsq","240Nsq","2412Rsq","241Nsq","222L","222N","222R","232L","257L","257N","258B","258N","258R","52L","52N-2","52R","53R","56L","56N","57B","57L","57N","57R","58B","58L","58N","58R","210L","210R","225R","226R","227N","2402R","240L","241B","241R","211B","211L","216AN","216AR","225B","226N","227B","241L","62B","62L","62R","63L","63R","64L","64N","64R","65B","65R","66L","66N"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","Fat Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue","MEF Rescue"
"104.1039237","30837058","30040419","26578939","30791937","47969835","54480092"," 4419321","26222829","30921220","29903541","20587452","35933273","32654974","24213238","18914833"," 6946630","26227313","30160012","30471105","25736248"," 8809194","43650930","37630460","53634554","31557046","32845021","25311213","23303706","31265467","33446196","43924705","35634274","34232384","28197684","30786818","37533352","72969462","46289944","57585781"," 7076003","33892739","36859037","28732948","34512260","27306299","35071389","29860941","18483779","28232346","26844917"," 3298521","18495086","17308606","25210903","28853016","29538473","37497103","27715109","28965746","35396445","28662505","24063442","41675191","36576729","40972504","34264047","33507336","38044747","49378539","31413049","43483137","36680771","54647803"
"118.0843194"," 29386814.28"," 22976923.05"," 11296702.90","   248119.99","    60228.73"," 34569007.31","  4180605.41"," 32338476.18"," 14327444.07","  6306342.73"," 16296060.50"," 16393361.49"," 23812100.83"," 17313601.69"," 17346474.63"," 22884826.98"," 10200837.55"," 26177603.05"," 39266678.60","  5650698.27"," 17803805.44"," 22070580.36"," 40367653.58"," 14993374.16"," 19082663.57"," 42538837.18"," 98046122.82"," 42514161.22"," 40331916.74"," 13220409.13"," 81938415.50","    27553.35","  5890432.84","   152355.52","    39088.24","    10939.35"," 20733451.78","    56655.69"," 25909149.45","    30568.87"," 10776301.24","  2171679.08","  6443150.24"," 13685115.44","  2226063.68"," 40822818.53","  9996843.15"," 45105567.21"," 38296090.19","  6942859.11"," 11718870.05"," 98841394.46"," 83136362.09"," 26623184.77"," 25999720.83"," 96897623.15"," 37875329.52","  9773194.90"," 26676980.22"," 28651190.14"," 63767881.90","190060892.10","111892060.60"," 18339149.64"," 15025979.50"," 26349399.81"," 16310892.82"," 11662778.28"," 34040799.53"," 23198523.60","  3161493.75"," 33597436.99"," 35745180.55"
"86.09582925","13147204","13628351","11089380","14138837","15872489","19788049"," 1904696"," 5965010"," 5547368"," 6013756"," 3237195","17083373","17741862"," 5226032"," 4459134"," 5877990"," 7013291"," 9394408","11380499"," 9761262"," 7774566","22084438","25852867","30646376","13946069","19807705","13449124","16353128","18725087","18936150","21346151","18854508","17519076","15551415","16983286","17229637","28093402","25957305","19212082","17208880","15665332","16106766","14900278","19729455","10559177","18291457","10253235","  242694","11513927"," 8963224","11361294","13516982","11580415"," 8791058","11441339","20182117","22812669"," 9897818"," 8162586","14414140"," 6515247","13732916","16658241","15646540","16066978","18151390","20433446","16648726"," 4416545","10364543","22896113","13519919","22510254"
"84.0781325","26198505.3"," 4505579.1","22807331.6"," 2444388.5"," 6947525.0"," 7426673.9","  396687.2","25383683.4","32020690.3","27987457.0","25879896.9","  765970.7","39076599.4","32134653.7","15879204.3","19244434.7","  339461.8","25556303.0","42758865.2","30152701.2","  374107.1","60422456.1","15598860.9","42558619.6","49529840.0","38192605.9","39436521.6","28065362.3","50588888.3","38847083.9"," 2317663.3"," 3841419.2"," 3069228.2"," 7098694.5","  951121.0"," 1406811.3","11556626.3"," 2059354.3"," 6850930.2","  731313.4"," 8286740.7"," 6503513.9"," 7743075.1","12178546.0","20108092.2","29268385.9","  964850.5","  721964.9","21750789.3"," 1090176.4"," 1584302.2"," 1591505.3"," 3519125.2","23469959.0","21554700.3","43388893.4","43742963.4","  708639.4","31213069.1","43056809.0","33614313.4","12070893.7","20517463.0","30205847.6","37184870.5","35706299.6","15811046.1","31159729.5","68156845.1","41620723.8","12177214.8","35366909.0","23118586.9"
"84.04305972","38123013.0","15678186.3","30491920.7"," 2479157.7","12124169.5","24445709.3"," 6567530.0","51194294.7","25675285.1","28748036.3","42794094.6"," 8022146.1","48183221.8","52592278.9","21450484.1","37331508.5","15126618.0","48582410.0","25575507.1","60026931.4","19632456.6","18670570.8"," 5879954.6","23664473.6","32991275.4","13744645.9","10895996.5","10266745.8","21724955.9","27048158.1"," 3393253.5"," 5161278.4"," 6456739.6"," 2843539.4","  770589.8"," 1769431.2"," 2032798.2"," 5090405.6","  452278.9"," 1003553.7"," 3965275.4","  477092.1"," 9963487.3","  345692.6"," 9466760.2","24597084.8","14806477.0"," 7905799.5","39972978.4"," 5543637.8","15757400.9"," 7507346.7","27165090.0","48097723.9","43136410.1"," 8422008.8","20314766.0","12349227.3","54874100.5","52215938.6","57735419.3","28925554.7","34059181.5","48374442.9","42025262.0","39263397.1","41341525.6","50853132.2","44817268.6","58051725.0"," 8002898.0","32426775.6","32218874.6"
"132.0765748","18677265.93"," 9818251.02"," 7272294.53","22197224.33","47427650.14","54986768.27","  207630.40"," 1499363.82","13924266.56"," 6616068.29"," 2657891.17"," 2243259.90"," 5813510.36","  595810.01","  544457.64","   66670.28","  240559.52","45878961.95","19197510.37"," 2026640.36"," 3631099.93","42403871.52","38097977.85","46901287.64","18413178.42","18181541.24"," 1511146.08","11493858.05","33790601.06","22357570.36"," 3830627.34"," 3015890.64"," 3002011.72"," 2882862.63"," 4758731.11"," 9445058.63"," 6577783.77","26057040.56"," 3331331.78"," 2248118.54"," 7195523.01"," 4145387.12"," 2988199.07"," 4870424.29"," 4851666.63","23866682.02"," 4942486.25","  689342.05"," 7017621.71","  702611.50","  421065.97","  921905.36","  866734.17"," 2969813.19"," 4415496.98","23621845.93"," 7265732.54"," 5201085.88"," 5477060.40","15042969.09"," 2282651.46","  768484.33"," 4864714.01","10074044.90","29293848.72","11750890.29"," 6229980.73","13975357.55","24629833.70","17122875.81"," 4823108.44","29377008.51","23323941.27"
"110.0773354","14077350.61","   75369.84","17217318.03","   51596.68","  126600.79","21090824.25","   87075.52","12409855.49","11324978.00"," 9609274.26","10854748.93"," 6495151.60","27486525.26","10700119.71","11471177.90","11805249.68"," 7375160.95","10309672.87","17470530.50","15045644.72"," 7384971.43","20567540.24","22697493.89","34390353.84","  171347.32","24218616.49","31882434.13","20283662.10","33629302.77","25679625.49"," 1413556.00","  185702.92","14025340.02","20570117.38"," 8551897.84","  205342.97"," 1244310.62","   34378.84","   47177.58"," 4863608.50","  812295.20","  323898.77","22544845.97","   75183.87","25955391.52","23987449.29"," 4387870.53"," 3638860.60","12840717.48"," 2818619.67"," 4857211.20","13902724.28","11608592.28","11699586.90","10238346.82","23461955.55","27484520.67"," 3594915.23","10092782.29","19833711.66","11986340.46","16677622.41","19167919.03","23807414.56","22821657.05","19659201.22","22621210.43","37140044.63","32361734.90","29735650.04"," 2548197.16","13958289.77","  578320.32"
"357.2475088"," 3979319.657"," 3635622.627"," 2260994.829"," 4451280.430","14399144.520","  706827.283","   81682.413","  921082.725"," 2999294.717","   22882.917","    2712.500","       0.000","  220628.523","   87769.926","       0.000","       0.000","       0.000"," 5442471.644"," 7631040.356","    9177.980","    2858.169","49739479.050","  782913.247","39324568.880"," 5712689.550"," 1203650.732"," 1769596.952"," 1386471.244","11058544.150"," 5582133.027","  264603.162","  523858.073","       0.000","  106196.178","  143555.881"," 1799745.573","   28584.839","11629422.090","  461290.752","       0.000","   19769.902","  111889.294","   69833.618","       0.000","  343532.009","14781045.150","    4505.688","       0.000","   25383.683","       0.000","       0.000","       0.000","       0.000","  912167.063","   72993.038","25892943.800"," 1218056.309","    1060.669"," 2412898.837"," 4680835.582"," 1842096.808","   84374.889","   52710.744"," 6731815.505","33492191.800"," 8915692.577"," 1009601.715","18330196.180","28633357.090","17918400.940"," 2109292.127","48777106.930"," 2410855.755"
"130.0461565","19747248.1"," 8566159.5","15644422.1"," 4347815.2","10819781.2","12921138.1"," 3101808.7","26040361.2"," 9613413.3","11322544.8","22880508.8"," 4222762.4","25021922.6","27831005.8","10496198.2","18703988.8"," 7427442.8","25929328.4","10650429.6","27902507.4"," 9119077.8"," 9852380.5"," 5154647.8"," 9664869.0","16928536.4"," 6751901.6"," 5482897.9"," 5206615.6","11176364.3","13847407.7"," 2854982.6"," 2725346.4"," 3267716.5"," 1491869.6","  173989.9","  753746.3","  971729.4","  629572.5","  202550.4","  457475.4"," 1867832.0","  133835.9"," 4720001.1","  163067.0"," 4843435.5","11757831.1"," 7270341.5"," 4099159.7","20355732.8"," 2211366.8"," 8332016.8"," 3774684.5","13126929.7","25719823.0","22001963.6"," 4509840.8","10568309.0"," 6232305.5","29075391.0","28042253.1","29996977.5","14447287.9","17204501.6","25953362.4","22730131.7","19819184.1","21400447.4","26705001.6","25112837.0","28446569.7"," 4060740.5","15900015.3"," 4907762.8"
"162.1095966"," 7821477.617"," 4886147.273"," 3849441.608"," 5093592.917"," 8904021.580","10917504.720","   84664.898"," 3083772.685"," 4022308.236"," 2004070.659"," 1505575.686","  713380.287"," 5987761.170"," 3580294.881","  231361.065","    8539.048","  300232.253"," 5987030.878"," 9569709.002"," 1379455.039"," 1836656.842","13098120.840"," 6860525.233","19406576.010"," 8040161.953"," 5886759.779"," 3823277.310"," 6131694.530"," 9696256.001"," 7370636.175"," 7467615.328"," 4305442.679"," 2078058.356"," 3035789.183"," 2764771.585"," 5007201.613","11840884.550"," 6452463.661"," 5548694.702"," 2239325.422"," 5821595.794"," 2621338.044"," 2336324.712"," 5622849.814"," 2092339.305"," 1385644.453","  880088.311","  218728.171"," 2235743.060","  336062.860","  730209.765","  445738.746","  407356.540"," 1770626.224"," 1310562.250"," 7554152.177","14548667.510","  780440.176"," 2931284.619"," 5935651.076","  681923.362"," 1213418.500"," 3522184.697"," 3690689.244"," 7894052.491","  592583.373"," 3493682.456"," 5712599.556","11727716.950"," 1045031.890"," 5266928.748"," 6681150.662"," 6214777.465"
