"","filter","234Bsq","234Lsq","2362Rsq","236Nsq","61sq1","61sq1-1","61sq2","236NV","234BV","234LV","2362RV","61vis2","61vis2-1","239NV","240NV","2412RV","241Nsq_V","239Nsq","240Nsq","2412Rsq","241Nsq","222L","222N","222R","232L","257L","257N","258B","258N","258R","52L","52N-2","52R","53R","56L","56N","57B","57L","57N","57R","58B","58L","58N","58R","210L","210R","225R","226R","227N","2402R","240L","241B","241R","211B","211L","216AN","216AR","225B","226N","227B","241L","62B","62L","62R","63L","63R","64L","64N","64R","65B","65R","66L","66N"
"104.1039237",11949149.9269051,30837058.01,30040419.07,26578939.08,30791936.74,47969835.11,54480092.46,4419320.828,26222829.41,30921220.05,29903541.02,20587452.49,35933272.87,32654973.8,24213238.02,18914833.19,6946630.363,26227312.72,30160012.44,30471104.74,25736247.61,8809194.321,43650929.52,37630460.26,53634554.2,31557045.78,32845021.33,25311213.17,23303706.05,31265466.81,33446196.38,43924705.49,35634274.22,34232383.54,28197684.41,30786817.77,37533352.44,72969462.12,46289943.86,57585780.65,7076003.121,33892738.77,36859037.35,28732948.31,34512259.68,27306298.91,35071388.57,29860940.64,18483778.7,28232345.51,26844917.31,3298521.493,18495086.01,17308606.41,25210903.27,28853016.24,29538472.68,37497103.45,27715108.72,28965746.05,35396445.16,28662504.62,24063442.04,41675190.74,36576728.94,40972504.1,34264047.4,33507335.93,38044746.88,49378539.29,31413048.78,43483137.4,36680771.16,54647802.81
"118.0843194",31659666.1762697,29386814.28,22976923.05,11296702.9,248119.9935,60228.73024,34569007.31,4180605.409,32338476.18,14327444.07,6306342.73,16296060.5,16393361.49,23812100.83,17313601.69,17346474.63,22884826.98,10200837.55,26177603.05,39266678.6,5650698.266,17803805.44,22070580.36,40367653.58,14993374.16,19082663.57,42538837.18,98046122.82,42514161.22,40331916.74,13220409.13,81938415.5,27553.3515,5890432.837,152355.519,39088.24019,10939.34615,20733451.78,56655.69244,25909149.45,30568.86919,10776301.24,2171679.083,6443150.238,13685115.44,2226063.684,40822818.53,9996843.154,45105567.21,38296090.19,6942859.107,11718870.05,98841394.46,83136362.09,26623184.77,25999720.83,96897623.15,37875329.52,9773194.903,26676980.22,28651190.14,63767881.9,190060892.1,111892060.6,18339149.64,15025979.5,26349399.81,16310892.82,11662778.28,34040799.53,23198523.6,3161493.746,33597436.99,35745180.55
"86.09582925",6310573.70848269,13147204.04,13628351.27,11089379.99,14138836.96,15872489.38,19788049.43,1904695.834,5965009.925,5547367.637,6013756.387,3237195.057,17083372.81,17741861.53,5226032.348,4459134.31,5877990.105,7013291.39,9394407.826,11380499.09,9761261.612,7774566.245,22084438.31,25852867.23,30646375.8,13946069.39,19807704.71,13449124.45,16353128.07,18725087.08,18936149.58,21346150.64,18854508,17519075.91,15551414.81,16983286.05,17229637.39,28093401.52,25957305.36,19212081.96,17208880.33,15665331.75,16106765.73,14900278.1,19729455.39,10559176.86,18291456.96,10253234.67,242693.9522,11513927.1,8963223.552,11361293.69,13516981.85,11580414.67,8791058.26,11441338.73,20182116.81,22812668.7,9897818.118,8162586.105,14414139.84,6515247.44,13732915.71,16658240.86,15646540.37,16066978.08,18151389.88,20433445.75,16648725.57,4416544.917,10364542.91,22896113.36,13519918.67,22510253.79
"84.0781325",16908317.1128212,26198505.32,4505579.119,22807331.62,2444388.458,6947524.999,7426673.883,396687.2005,25383683.4,32020690.29,27987456.99,25879896.95,765970.7232,39076599.41,32134653.71,15879204.31,19244434.74,339461.8478,25556302.96,42758865.18,30152701.2,374107.0633,60422456.11,15598860.87,42558619.59,49529839.96,38192605.93,39436521.6,28065362.29,50588888.28,38847083.91,2317663.296,3841419.173,3069228.163,7098694.484,951120.9778,1406811.301,11556626.3,2059354.311,6850930.245,731313.3779,8286740.697,6503513.908,7743075.102,12178546.02,20108092.2,29268385.88,964850.4979,721964.9155,21750789.3,1090176.356,1584302.215,1591505.311,3519125.169,23469958.99,21554700.31,43388893.36,43742963.37,708639.3647,31213069.12,43056808.97,33614313.37,12070893.68,20517463.01,30205847.55,37184870.46,35706299.62,15811046.07,31159729.48,68156845.13,41620723.78,12177214.77,35366909.05,23118586.88
"84.04305972",17993787.3710499,38123012.98,15678186.27,30491920.68,2479157.707,12124169.51,24445709.32,6567529.984,51194294.74,25675285.07,28748036.29,42794094.56,8022146.094,48183221.77,52592278.94,21450484.14,37331508.55,15126617.96,48582409.97,25575507.05,60026931.41,19632456.57,18670570.8,5879954.59,23664473.55,32991275.39,13744645.88,10895996.47,10266745.77,21724955.95,27048158.12,3393253.486,5161278.446,6456739.631,2843539.449,770589.7534,1769431.164,2032798.186,5090405.596,452278.9343,1003553.677,3965275.353,477092.1316,9963487.33,345692.5525,9466760.204,24597084.8,14806477.04,7905799.46,39972978.35,5543637.791,15757400.86,7507346.681,27165090.03,48097723.87,43136410.11,8422008.824,20314766,12349227.31,54874100.5,52215938.65,57735419.26,28925554.66,34059181.48,48374442.89,42025262,39263397.14,41341525.64,50853132.21,44817268.63,58051725.02,8002898.005,32426775.6,32218874.64
"132.0765748",13358454.3022806,18677265.93,9818251.02,7272294.534,22197224.33,47427650.14,54986768.27,207630.3961,1499363.823,13924266.56,6616068.289,2657891.173,2243259.901,5813510.359,595810.0067,544457.6418,66670.28113,240559.5247,45878961.95,19197510.37,2026640.362,3631099.934,42403871.52,38097977.85,46901287.64,18413178.42,18181541.24,1511146.077,11493858.05,33790601.06,22357570.36,3830627.338,3015890.642,3002011.717,2882862.626,4758731.108,9445058.633,6577783.774,26057040.56,3331331.779,2248118.535,7195523.009,4145387.122,2988199.069,4870424.294,4851666.63,23866682.02,4942486.253,689342.0543,7017621.714,702611.5037,421065.9723,921905.3649,866734.1733,2969813.193,4415496.978,23621845.93,7265732.542,5201085.879,5477060.399,15042969.09,2282651.457,768484.3305,4864714.009,10074044.9,29293848.72,11750890.29,6229980.729,13975357.55,24629833.7,17122875.81,4823108.437,29377008.51,23323941.27
"110.0773354",10315329.8353213,14077350.61,75369.84231,17217318.03,51596.685,126600.7924,21090824.25,87075.52172,12409855.49,11324978,9609274.259,10854748.93,6495151.603,27486525.26,10700119.71,11471177.9,11805249.68,7375160.952,10309672.87,17470530.5,15045644.72,7384971.429,20567540.24,22697493.89,34390353.84,171347.3204,24218616.49,31882434.13,20283662.1,33629302.77,25679625.49,1413555.998,185702.9243,14025340.02,20570117.38,8551897.843,205342.968,1244310.616,34378.8375,47177.584,4863608.501,812295.1977,323898.7661,22544845.97,75183.8655,25955391.52,23987449.29,4387870.53,3638860.595,12840717.48,2818619.666,4857211.198,13902724.28,11608592.28,11699586.9,10238346.82,23461955.55,27484520.67,3594915.226,10092782.29,19833711.66,11986340.46,16677622.41,19167919.03,23807414.56,22821657.05,19659201.22,22621210.43,37140044.63,32361734.9,29735650.04,2548197.163,13958289.77,578320.3212
"357.2475088",10907067.1268999,3979319.657,3635622.627,2260994.829,4451280.43,14399144.52,706827.2832,81682.41263,921082.7246,2999294.717,22882.9173,2712.499512,212.1337098,220628.5227,87769.92556,212.1337098,212.1337098,212.1337098,5442471.644,7631040.356,9177.980037,2858.169227,49739479.05,782913.2473,39324568.88,5712689.55,1203650.732,1769596.952,1386471.244,11058544.15,5582133.027,264603.1624,523858.0725,212.1337098,106196.178,143555.8814,1799745.573,28584.83942,11629422.09,461290.7522,212.1337098,19769.90165,111889.2944,69833.61832,212.1337098,343532.0091,14781045.15,4505.688293,212.1337098,25383.68287,212.1337098,212.1337098,212.1337098,212.1337098,912167.0631,72993.03813,25892943.8,1218056.309,1060.668549,2412898.837,4680835.582,1842096.808,84374.88859,52710.74445,6731815.505,33492191.8,8915692.577,1009601.715,18330196.18,28633357.09,17918400.94,2109292.127,48777106.93,2410855.755
"130.0461565",9319041.73484535,19747248.14,8566159.48,15644422.06,4347815.164,10819781.22,12921138.05,3101808.697,26040361.16,9613413.277,11322544.85,22880508.77,4222762.397,25021922.59,27831005.77,10496198.16,18703988.77,7427442.828,25929328.38,10650429.57,27902507.37,9119077.837,9852380.54,5154647.757,9664869.039,16928536.39,6751901.605,5482897.863,5206615.579,11176364.32,13847407.71,2854982.591,2725346.429,3267716.486,1491869.644,173989.9119,753746.2543,971729.3642,629572.4591,202550.4246,457475.4176,1867832.035,133835.8992,4720001.108,163067.016,4843435.533,11757831.05,7270341.472,4099159.662,20355732.81,2211366.761,8332016.84,3774684.464,13126929.7,25719822.98,22001963.6,4509840.838,10568308.97,6232305.482,29075391.02,28042253.05,29996977.46,14447287.86,17204501.56,25953362.43,22730131.74,19819184.08,21400447.36,26705001.57,25112837.04,28446569.74,4060740.495,15900015.3,4907762.843
"162.1095966",3853488.74772201,7821477.617,4886147.273,3849441.608,5093592.917,8904021.58,10917504.72,84664.8975,3083772.685,4022308.236,2004070.659,1505575.686,713380.2873,5987761.17,3580294.881,231361.0649,8539.047573,300232.253,5987030.878,9569709.002,1379455.039,1836656.842,13098120.84,6860525.233,19406576.01,8040161.953,5886759.779,3823277.31,6131694.53,9696256.001,7370636.175,7467615.328,4305442.679,2078058.356,3035789.183,2764771.585,5007201.613,11840884.55,6452463.661,5548694.702,2239325.422,5821595.794,2621338.044,2336324.712,5622849.814,2092339.305,1385644.453,880088.3114,218728.1707,2235743.06,336062.8604,730209.7646,445738.7464,407356.5402,1770626.224,1310562.25,7554152.177,14548667.51,780440.176,2931284.619,5935651.076,681923.3624,1213418.5,3522184.697,3690689.244,7894052.491,592583.3732,3493682.456,5712599.556,11727716.95,1045031.89,5266928.748,6681150.662,6214777.465
