"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73"
"104.1039237",-0.052049,0.031859,-0.0080484,0.022128,-0.0099939,0.048535,-0.016508,-0.003143,0.029843,0.031489,0.037666,0.015108,0.040808,0.076849,-0.021784,-0.046989,-0.037619,0.0065004,-0.016669,-0.072452,-0.013215,0.035755,0.076613,-0.060262,-0.021983,0.015874,-0.04335,0.061643,-0.020371,-0.026649,0.029408,-0.025247,0.036888,0.016427,-0.011072,-0.017372,0.040831,0.040912,0.048185,0.010466,-0.038465,0.0093529,0.026889,-0.0087423,0.022843,-0.0096934,-0.0045241,0.0049964,-0.00014425,0.014639,0.0098774,8.0515e-07,0.009347,0.015797,0.028932,0.030878,-0.036715,-0.012881,-0.036831,-0.023719,-0.013515,-0.014718,0.026032,0.030033,-0.017037,-0.0032677,0.0062458,-0.0005457,0.0015495,-0.029723,-0.0047257,0.0062134,0.30724
"118.0843194",-0.025721,-0.039156,0.014125,-0.04948,0.0063433,0.033952,-0.071586,-0.035249,-0.034613,-0.023121,-0.059833,-0.00060367,0.055788,-0.019807,0.019683,-0.095801,-0.02221,0.046687,0.065095,-0.00082317,-0.0026515,-0.0061494,-0.036964,0.016926,0.046304,0.025829,-0.041307,0.015224,0.010854,0.029375,0.017924,-0.0064599,0.095592,0.025979,0.019574,0.00012913,0.026984,-0.028215,-0.0086009,-0.023371,-0.032877,-0.025123,0.0066827,0.016748,0.02552,0.0036979,-0.002326,0.010263,-0.032609,-0.054532,0.0061752,0.036678,0.0014575,-0.06089,0.019344,-0.0045881,-0.020804,0.018885,0.012473,-0.036257,-0.007815,-0.018646,-0.009642,-0.010474,-0.0174,0.047894,0.013856,-0.035699,-0.0019919,0.061975,0.035845,0.0035393,-0.094326
"86.09582925",-0.043448,0.039341,-0.030185,0.028489,-0.013841,-0.010765,-0.037959,-0.016787,0.056476,-0.049852,-0.011645,0.014399,0.0017633,-0.026462,0.0036086,0.082133,0.025039,-0.029235,-0.026564,-0.073902,-0.0098343,-0.031229,0.013805,0.11715,0.0077616,0.0377,-0.037505,0.0048307,0.053109,-0.035717,-0.024102,0.0067145,0.012637,-0.0093565,0.0041308,0.010578,0.017744,-0.024162,-0.010553,-0.00057947,-0.00071674,-0.028446,-0.0063969,-0.0066702,0.013618,0.0042807,0.0043012,-0.029928,-0.025058,0.013252,-0.021987,0.048907,0.022253,0.014508,0.0068514,0.024081,0.0069359,0.0067186,-0.014447,-0.0039754,-0.032459,0.0031087,0.0093076,-0.021687,-0.016154,-0.0075946,-0.026102,0.0029377,0.012853,-0.021344,-0.00087098,-0.018357,0.090987
"84.0781325",-0.065574,-0.01591,0.049024,0.0047083,0.040588,-0.0075337,-0.041994,-0.03023,-0.018855,-0.0016458,0.007628,0.029739,-0.0098097,0.0050349,0.00047154,0.0034922,-0.017678,-0.0046732,-0.02406,-0.017108,0.016681,-0.00055856,-0.0049033,-0.019608,-0.0087946,-0.0016251,0.0018211,-0.038317,-0.0014337,0.025872,0.010233,-0.00559,0.0017325,0.015877,-0.0012213,-0.0111,-0.0061422,0.030101,0.025827,-0.0098793,0.0065674,0.022178,-0.005069,0.015491,0.0038176,-0.0053936,0.016566,0.0051264,0.008827,0.027607,-0.028849,0.0094345,-0.012263,0.0039215,0.0030053,0.00010021,-0.037212,-0.015227,0.0042561,-0.0029287,-0.002795,-0.013726,0.00044352,-0.0035756,-0.0091878,0.014269,0.0058165,-0.005463,0.0098848,0.016748,0.014407,0.0078307,-0.13005
"84.04305972",-0.027741,-0.042455,0.056215,-0.051575,0.026622,0.04771,0.025119,0.0061216,0.058944,0.0066729,-0.020619,0.01019,0.0018168,-0.048853,-0.00057107,-0.0063089,0.022509,-0.014651,0.0058432,-0.015754,-0.012537,-0.051473,-0.040698,-0.013731,-0.0037432,0.013585,0.017148,-0.014521,0.015274,0.043487,0.0081973,-0.0080378,0.0042451,-0.0081091,0.013123,-0.012717,0.0087725,0.0057651,0.025667,0.036751,-0.015442,0.0086387,0.008818,-0.023371,0.016695,-0.013672,0.0086723,0.0060629,-0.031032,0.025196,-0.004041,0.016917,0.036577,-0.025126,-0.013935,-0.017815,-0.050687,-0.031201,-0.0090859,-0.0074511,-0.017189,-0.0014116,-0.028492,0.044882,-0.022808,-0.025075,0.019132,-0.013913,0.021858,0.022948,0.0053666,0.019248,-0.072038
"132.0765748",-0.067521,0.015719,-0.021652,0.022337,0.009559,0.031012,0.04951,0.020351,0.013477,0.027785,-0.0014038,0.051026,-0.0014457,0.021251,-0.040612,0.023854,-0.0064653,-0.011702,0.00010311,-0.0071252,-0.039921,0.051592,-0.025664,-0.017525,-0.0055501,-0.0029274,0.0058309,0.0097533,0.030968,0.0023743,-0.033637,-0.032358,-0.0031811,0.037905,-0.00010903,0.054785,-0.047534,0.025213,-0.034271,-0.037764,-0.0077904,-0.011013,-0.015817,0.0039833,0.0097773,-0.020127,0.002087,0.0020625,0.0087351,-0.00050488,0.0088889,0.014734,0.01048,0.020117,0.018855,0.017018,0.0042677,-0.029171,0.028866,0.0002699,0.023984,-0.010625,-0.0067088,-0.0051147,0.011109,-0.030322,-0.014181,0.0057259,-0.009605,-0.0043958,-0.028917,0.044357,-0.098831
"110.0773354",-0.026469,-0.031997,0.036766,-0.046469,-0.013945,-0.010193,-0.043458,0.045475,0.058981,-0.07506,-0.031977,0.087941,-0.00013423,-0.02879,0.040686,-0.0061716,-0.096099,-0.030103,0.024307,0.0083835,-0.016704,-0.042796,-0.041653,-0.018736,0.028454,-0.032909,0.010793,0.024038,-0.062608,0.0059757,-0.012169,-0.0083743,0.0037831,0.02571,-0.014983,0.0088829,-0.013098,-0.0025895,0.015447,0.018133,0.020034,0.02173,0.0029757,-0.0015107,0.017287,-0.0098968,-0.012514,-0.006911,0.045585,0.0015095,-0.0061507,-0.02463,0.028954,-0.0084629,-0.0058849,-0.018287,0.03189,-0.017141,-0.032649,-0.013158,0.018863,-0.0093982,0.02192,-0.03073,0.0030521,-0.016434,0.013027,0.026718,0.010389,-0.012824,3.5789e-05,0.037549,0.009171
"357.2475088",-0.062158,0.0095909,0.0039071,0.020766,0.066819,0.0073504,0.042368,0.020366,0.014605,0.03587,-0.0026029,0.0025725,-0.027016,0.0031817,-0.029941,0.024026,-0.0059347,-0.022118,0.025052,-0.020665,-0.017996,0.0081277,0.024928,-0.0093213,0.031448,-0.06733,0.05343,-0.046129,0.026042,-0.010493,-0.021412,-0.038756,0.040747,0.036167,0.0053537,-0.010706,0.041993,0.027026,0.030207,-0.029728,-0.042988,0.0093836,-0.0094034,0.016233,0.0073255,0.021481,-0.022245,0.043755,0.010425,0.006069,-0.030084,-0.02031,-0.012681,-0.014372,0.066826,-0.023024,-0.039253,-0.016101,-0.024573,-0.0091267,-0.011408,-0.0077369,0.011153,0.048507,-0.074756,-0.03289,-0.034492,0.0041719,-0.012816,-0.013071,0.0092964,0.015593,0.15257
"130.0461565",-0.028399,-0.044734,0.053616,-0.049497,0.02319,0.04454,0.028545,0.0071042,0.04787,0.0088861,-0.017499,0.012223,-0.010255,-0.057628,-0.0049627,-0.014396,0.025443,0.0056763,0.0068843,-0.031071,-0.010442,-0.060522,-0.045507,-0.0085304,0.011918,0.042336,0.015019,-0.0075981,-0.0035479,0.031815,-0.014175,9.472e-05,0.0078561,0.01912,0.0089024,-0.04075,0.0044687,0.0020352,0.03842,0.03772,-0.015365,-0.0064884,-0.013085,-0.03484,0.013392,0.013042,0.012528,0.014241,-0.010653,0.017772,0.014066,-0.0027861,0.048869,-0.011999,0.019112,-0.027658,-0.0037804,-0.011725,-0.013175,0.0055985,0.0054049,0.0059605,-0.031472,0.059676,0.0038151,-0.018541,-0.0055054,0.0010302,0.0020051,0.023538,-0.0009524,0.0074921,-0.1236
"162.1095966",-0.064742,0.031054,-0.021145,0.037518,0.0040096,-0.011428,0.041233,-0.0053784,0.00037227,0.013662,0.0043077,0.049569,0.001382,0.0056716,0.0051601,-0.061178,-0.012906,0.0029884,-0.0045725,0.0039791,-0.048167,-0.004576,0.014206,0.016524,-0.021905,0.015558,0.019989,0.0027229,0.0049028,0.028776,0.00041619,-0.032799,0.0039783,-0.023005,0.0076826,0.021108,0.0069784,-0.022932,0.013725,0.057323,-0.0089142,0.0466,-0.0060238,0.020991,-0.019131,0.010451,0.019278,-0.014722,-0.010329,-0.040123,-0.0092146,0.026616,0.02385,-0.012957,0.036037,-0.015204,0.0022076,-0.00031496,-0.0039017,0.010504,0.016983,0.015606,0.015676,-0.0016615,0.042518,0.021568,0.016588,0.035076,-0.0075827,-0.017959,-0.00018676,-0.0063465,-0.099533
