"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73"
"234Bsq",-10.16,-2.5594,0.7779,-2.8807,0.94021,-0.35436,2.6346,-0.63748,-0.47765,2.3774,-1.973,0.57343,-0.6852,0.38922,-1.4074,0.8381,-0.099342,0.036222,-2.357,2.2443,0.8097,-0.24236,-0.73324,0.81686,0.049919,-0.42248,-0.88261,0.76111,0.79628,1.2463,-1.5652,-1.3345,2.3327,2.755,2.0044,-0.20028,-1.1683,-1.1498,-2.7421,2.0377,0.29581,0.45858,0.36031,0.43054,1.1939,0.49697,-2.2401,-0.58839,-0.60679,-0.31655,1.6305,0.29902,1.969,2.3949,-1.2842,-0.6455,-1.1169,-1.9056,-4.2325,1.3741,3.4172,4.2256,-0.31327,-0.50941,-2.3172,2.1977,2.5114,0.40148,-1.1757,-0.97928,3.5306,-0.28803,-4.3368e-18
"234Lsq",-2.7427,3.1569,-1.5852,3.1082,-3.9722,-1.9907,8.2538,-2.4397,-4.3361,6.6862,0.46381,-1.4148,-6.115,-4.2279,-1.154,0.24651,5.0862,1.9792,3.28,-3.0055,-0.63249,-0.27714,2.8887,-0.34305,-0.68277,0.95878,-0.79326,2.3605,-1.0644,-0.87626,-2.4889,3.1247,3.4868,-0.50698,0.095211,0.67374,-0.35632,-0.097755,-2.2052,0.012781,-1.4349,-1.3302,0.81026,-0.43036,1.453,0.13491,0.4812,3.5274,-0.73118,-2.3154,0.21647,2.3971,2.0949,-4.6538,-1.7266,0.70098,-1.42,0.95486,0.62048,-1.8634,-1.8083,-1.3269,-0.49823,0.95474,-2.3044,1.7652,0.54104,-1.7845,1.1901,1.5926,1.154,0.41058,-1.301e-15
"2362Rsq",1.0874,-0.16149,4.5002,4.664,-1.3243,3.8491,2.8614,-8.3612,3.5949,2.8877,0.67939,1.7112,-1.625,-6.1117,-0.86375,4.033,-4.4339,2.61,-3.1465,6.0182,1.6484,0.37356,-4.1545,0.78498,4.7362,-0.039103,1.7898,1.7433,-1.4502,-2.721,0.69813,-4.8673,4.4049,2.0093,-2.0232,1.0237,-1.3732,3.8086,2.7128,3.0812,0.4468,1.7643,-0.19562,1.0637,0.51699,-0.58694,0.6418,-0.57667,1.2937,-0.77046,-0.93379,-0.042835,-0.044934,-0.9738,0.99448,-1.2125,-2.9293,0.96774,-0.078697,0.10021,-3.3285,-0.082326,0.5678,-0.60545,1.2244,0.83086,-0.8558,0.94089,0.63642,-0.19769,0.43422,-1.1521,-4.8798e-15
"236Nsq",-3.1713,1.4415,-3.489,6.0939,-3.1782,0.67328,7.465,-2.0945,-4.68,6.9978,1.4439,-2.9623,-7.2492,-1.082,-2.4037,1.2617,3.8937,1.8417,0.53745,-3.3576,0.85706,0.95062,2.3237,0.62191,1.1862,1.1293,1.3413,0.63218,-0.29729,-3.7358,0.65287,0.117,1.0015,1.2642,-0.28334,-1.0482,-1.3258,-2.2999,-2.0908,1.4446,0.60376,-3.5304,1.2409,-2.5552,2.4559,1.6331,-1.4464,0.367,-0.43259,-1.45,1.9629,-2.5368,-1.7369,2.5312,2.6468,-1.1683,2.8082,0.22138,1.9091,0.89607,0.18355,0.5416,0.33893,-0.87073,1.8676,-1.8766,-1.5155,2.4168,-1.7515,-1.8335,-0.48553,-0.94099,-1.0339e-15
"61sq1",-3.8841,1.4764,-2.8666,13.718,-1.3656,13.824,5.9176,-0.15606,-0.56282,1.3778,5.0909,-5.2719,-4.0521,0.12103,-6.4829,0.085052,3.471,-0.76436,-1.858,-1.5827,-2.0163,-2.3488,-0.75487,0.49042,1.513,0.85972,1.4138,-0.90939,-2.0859,-0.14001,-1.9311,-3.605,-4.5817,-2.7007,-1.707,0.90634,-0.47207,0.55682,0.89149,-1.1179,0.94001,0.33855,-0.8895,-1.2331,-2.8282,0.45391,1.7591,-0.79518,4.461,1.485,-0.33094,0.9848,1.3602,0.5433,1.2596,1.5656,1.5303,0.11038,-3.2291,0.63731,1.9562,0.41854,-0.57702,1.8492,-0.42315,1.7617,-1.059,-0.88948,1.4306,-0.06118,-0.87493,0.29002,-1.7205e-15
"61sq1-1",-8.5088,2.9477,0.52445,15.919,-6.5883,24.42,10.46,5.1397,-3.7749,-16.414,-8.8502,4.6553,1.1606,0.58777,5.8551,-0.13412,1.2107,2.1704,1.3398,0.30159,3.4819,0.64375,1.3824,-1.2404,-0.81568,0.10511,0.52711,1.4827,-0.19793,0.92983,-0.58676,1.7668,1.2184,-0.01475,1.2843,-1.3823,-0.83259,0.78091,0.46254,0.69248,-0.61842,-0.57863,-0.408,1.111,0.80107,-0.22377,-0.52569,0.087366,0.090207,0.44777,0.015423,-0.43715,-0.7023,0.15312,-0.14437,0.35225,-0.069179,0.09253,0.24274,0.015714,-0.70893,0.18275,-0.25794,0.094427,0.082062,-0.40893,0.31684,0.11939,-0.69794,0.1803,0.2206,0.14498,1.6844e-15
"61sq2",43.183,-16.693,-22.25,0.15812,37.879,2.6125,5.6318,-1.4505,-5.381,-1.354,-2.6734,0.10282,-0.95373,-3.6212,0.44922,0.7837,-1.0052,0.49411,0.12269,0.057575,0.92977,-1.7251,1.4399,0.26916,0.011636,-1.4403,-0.231,0.29923,0.36739,0.33713,-0.018834,0.79298,0.23021,0.0099324,-0.1247,0.19213,-0.73302,-0.17023,0.72429,-0.53492,-0.22856,0.19846,0.068094,-0.24655,0.067572,-0.095908,0.028565,-0.86253,0.0058522,-0.44243,0.065873,-0.24863,-0.060205,-0.014821,-0.084273,0.12147,0.010583,-0.46204,0.16576,-0.058577,0.28841,0.23748,-0.044451,0.040069,-0.10462,0.092833,-0.15652,-0.036437,0.13167,0.15661,-0.14569,0.13144,8.1601e-15
"236NV",6.2084,-7.4516,15.936,4.2867,-0.69945,1.6141,-2.2643,-2.4831,-1.8285,1.776,-3.6509,-1.6649,1.4546,-0.38606,1.2603,-3.6665,-4.3208,-2.7183,-0.26827,1.3407,-7.432,-3.4887,5.5767,-0.041775,-6.0807,-0.73625,4.8201,-3.1229,4.1721,-1.562,-2.5715,-1.1392,2.0943,1.2028,-1.4128,-4.1683,-0.36663,-0.13429,-2.0757,2.0249,-3.1579,2.729,-1.7798,-0.78752,-0.26956,1.8414,0.61307,-1.1734,2.216,-0.23421,1.8981,2.189,0.68053,0.85291,0.65826,-1.3742,0.033315,0.19125,0.15006,-0.23849,-1.4029,-0.28981,-0.40622,-0.17693,-0.059364,-1.1227,-0.64178,-1.3739,-0.4139,-0.31139,-0.16869,-0.27064,1.674e-15
"234BV",-1.5558,-2.4995,8.2466,5.1978,-1.0587,0.92484,4.7858,-9.1092,0.88219,1.8829,0.81143,2.1027,-3.2531,0.43474,1.1553,-2.4859,-3.467,-0.7475,0.93593,2.678,1.2831,0.37128,-2.7481,0.2825,-1.2463,-3.4748,3.3436,-0.1484,-1.2224,0.15895,5.253,-2.1492,-0.37717,1.7125,1.7747,0.20241,-1.4979,1.3988,1.5894,-2.4552,-1.241,-1.7095,0.76546,1.0252,-1.1709,-1.7053,0.054695,1.3847,-3.2391,-2.0477,-0.014695,0.1953,2.7717,3.4318,0.11649,0.8179,2.9151,-0.32668,0.92569,-3.1404,2.0591,-1.656,1.2259,-0.21916,-2.7155,-1.2068,0.59692,-1.9335,0.25237,-0.7147,-0.95645,1.42,1.5708e-15
"234LV",6.2135,-10.805,12.422,10.785,-2.0751,-1.3737,2.1613,-6.1384,2.3247,6.553,-0.95424,7.3871,3.7535,-1.7434,-2.8591,-3.8333,-1.7311,-3.188,-1.1291,-1.791,-2.2434,-2.9389,1.6937,-2.2957,-1.8662,0.00010048,0.13725,0.6851,-0.43604,-2.6038,-0.16877,2.1391,0.89386,-0.35676,5.0775,1.0152,-1.6127,1.75,-1.7955,-2.5269,3.6857,-4.0194,1.6371,3.1663,-1.4475,-1.6018,1.5814,-2.0079,0.70216,1.0055,-0.6924,-2.8199,-2.1406,-1.2968,-2.094,1.6555,-1.0941,-1.7087,-0.64447,1.4895,-0.069299,0.5731,-1.3335,-0.032104,1.4589,-0.26413,-0.28924,0.55197,-0.14262,0.78969,-0.082669,0.30709,-6.5919e-15
