"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"211.1051557",2.7693,2.4272,2.3085,2.2137,2.1715,2.126,2.1005,2.0896
"657.3629441",2.7131,2.2951,2.1987,2.1038,2.0632,2.0238,2.0011,1.9916
"614.3441554",2.6808,2.284,2.1445,2.0529,2.0134,1.9674,1.9438,1.9355
"701.3878652",2.6337,2.2283,2.1349,2.0415,2.0042,1.9649,1.9427,1.9352
"613.3360809",2.6235,2.2111,2.1245,2.0352,1.9963,1.9517,1.9334,1.9238
"192.1000784",2.6121,2.3263,2.1785,2.0983,2.0584,2.0107,1.9866,1.976
"225.11938",2.5882,2.1888,2.0615,1.9963,1.9638,1.9171,1.8939,1.8841
"745.4176668",2.5702,2.1877,2.086,1.9945,1.9632,1.9244,1.9028,1.896
"658.3728406",2.5359,2.1412,2.0341,1.9471,1.9105,1.8814,1.8617,1.8533
"702.3928623",2.4578,2.0824,1.9881,1.9019,1.8695,1.837,1.8206,1.8127
"382.1923486",2.4205,2.1494,2.0417,1.958,1.9382,1.8934,1.8705,1.861
"384.2005772",2.3972,2.0239,1.9002,1.8182,1.7916,1.7646,1.7526,1.7446
"789.4414645",2.3964,2.051,1.959,1.8741,1.8499,1.8146,1.7953,1.79
"406.2177464",2.3694,2.0174,1.9261,1.8436,1.8166,1.7844,1.7805,1.771
"746.4206995",2.3598,2.0256,1.9171,1.8333,1.8078,1.7772,1.7622,1.7554
"701.3882433",2.2488,1.8917,1.8741,1.8,1.7671,1.747,1.7266,1.7181
"198.9710765",2.1921,1.8844,1.7644,1.7098,1.6809,1.6648,1.6491,1.6417
"569.3105996",2.1653,1.8267,1.7561,1.6941,1.6641,1.6309,1.6123,1.6062
"669.068318",2.1592,1.8181,1.8052,1.7452,1.7133,1.6752,1.6598,1.654
"697.3609958",2.1564,1.8122,1.712,1.6559,1.6449,1.6187,1.6001,1.5925
"187.1770895",2.1542,2.0602,1.9293,1.9004,1.8709,1.8318,1.8104,1.809
"745.4171799",2.1526,1.8782,1.7583,1.6831,1.6663,1.6266,1.6171,1.6097
"790.4511545",2.1523,1.8929,1.7919,1.7152,1.6957,1.6736,1.6547,1.6544
"428.2291977",2.151,1.846,1.7499,1.6823,1.6621,1.6276,1.636,1.6275
"280.2335562",2.1436,1.8282,1.733,1.7263,1.6936,1.6743,1.6596,1.6508
"384.2005772.1",2.1219,1.8552,1.7393,1.6699,1.642,1.6031,1.5858,1.5777
"212.1371825",2.1192,1.8075,1.6981,1.6582,1.6321,1.5965,1.5813,1.577
"263.0916671",2.1189,1.7805,1.7038,1.6391,1.6073,1.583,1.5639,1.581
"703.265557",2.1055,1.8164,1.761,1.7017,1.669,1.6421,1.6284,1.62
"362.1876687",2.0962,1.7684,1.6581,1.5936,1.5685,1.5688,1.5573,1.5504
"208.16464",2.0543,1.7289,1.6797,1.6255,1.5955,1.5606,1.5476,1.5406
"653.3321025",2.0521,1.7248,1.6413,1.5871,1.5824,1.5579,1.5398,1.5321
"1009.418246",2.0483,1.7987,1.7045,1.6464,1.6152,1.593,1.575,1.5669
"496.3368096",2.0473,1.7203,1.6592,1.5904,1.5667,1.5416,1.5263,1.5193
"566.1784153",2.0464,1.8212,1.7077,1.6326,1.604,1.5666,1.5488,1.5418
"551.1893361",2.0394,1.7715,1.7037,1.6422,1.6104,1.5923,1.5871,1.5789
"194.1152678",1.9695,1.6615,1.5561,1.4878,1.4778,1.46,1.4441,1.4372
"785.4101678",1.9607,1.6489,1.5688,1.5209,1.5063,1.4962,1.4789,1.4722
"741.383792",1.9586,1.6456,1.586,1.5297,1.5254,1.5095,1.4921,1.4857
"196.1312315",1.9544,1.7454,1.6377,1.6267,1.5977,1.5786,1.5644,1.5584
"698.3610608",1.9404,1.6308,1.5422,1.5026,1.4969,1.4921,1.4746,1.4677
"498.1902172",1.9106,1.6868,1.6006,1.5535,1.5248,1.4993,1.4811,1.4745
"406.7155423",1.904,1.6088,1.5265,1.4728,1.4486,1.4598,1.4612,1.4541
"856.3430983",1.899,1.6847,1.6195,1.5656,1.5353,1.5133,1.5041,1.4961
"975.4286431",1.866,1.6632,1.5829,1.535,1.5066,1.4827,1.4648,1.4574
"483.2150114",1.8609,1.7002,1.6029,1.5405,1.5183,1.4869,1.4694,1.4626
"822.3529181",1.8598,1.6822,1.5907,1.5391,1.5114,1.4935,1.4768,1.469
"829.4386703",1.8519,1.5559,1.5226,1.4687,1.4564,1.455,1.4374,1.43
"394.2101708",1.8509,1.5627,1.4778,1.442,1.4405,1.4135,1.3964,1.3936
"635.2928907",1.8502,1.6899,1.5902,1.5292,1.5067,1.4767,1.4588,1.4523
"197.165092",1.8501,1.6067,1.5042,1.5111,1.4902,1.4671,1.4495,1.4421
"223.1409794.1",1.8474,1.6319,1.5295,1.478,1.4593,1.4679,1.4526,1.4454
"180.0990553",1.8265,1.5847,1.4891,1.4454,1.4908,1.4751,1.4614,1.4657
"222.180971",1.8102,1.521,1.484,1.4625,1.4401,1.408,1.3997,1.3934
"70.06411032",1.7973,1.5201,1.4243,1.4093,1.4002,1.367,1.3571,1.3501
"151.0751997",1.7668,1.6484,1.6451,1.5966,1.5806,1.5489,1.5584,1.5514
"741.3831543",1.7635,1.4975,1.4922,1.4314,1.443,1.4506,1.4331,1.4261
"669.2755033",1.7559,1.6803,1.5746,1.5172,1.4887,1.4608,1.4435,1.4363
"413.1015296",1.7463,1.5477,1.4773,1.4213,1.4008,1.3758,1.3597,1.3533
"204.0607064",1.7437,1.535,1.4446,1.4041,1.4297,1.3956,1.402,1.3951
"237.1570828",1.7317,1.4815,1.4199,1.3697,1.3526,1.358,1.3416,1.3354
"146.0566617",1.723,1.4626,1.4164,1.384,1.3756,1.3471,1.3308,1.3263
"95.06928769",1.7122,1.4474,1.4253,1.3701,1.3781,1.3452,1.3289,1.323
"737.2639201",1.7048,1.6701,1.5647,1.4987,1.4736,1.4562,1.4428,1.4351
"140.1043219.3",1.7016,1.5575,1.4732,1.4524,1.4408,1.4081,1.4285,1.4269
"393.2027296",1.701,1.4298,1.4001,1.387,1.377,1.3633,1.347,1.3443
"98.09381919.1",1.6919,1.5379,1.4423,1.4147,1.3873,1.4257,1.4116,1.4042
"281.1832782.1",1.6897,1.4673,1.4141,1.3763,1.3544,1.3699,1.3778,1.3709
"532.174273",1.6801,1.491,1.44,1.3957,1.3686,1.3547,1.3391,1.3356
"550.1859268",1.6762,1.564,1.4683,1.4207,1.3955,1.3762,1.3598,1.3529
"133.1016941",1.6746,1.6086,1.5528,1.4979,1.4721,1.4479,1.4322,1.4246
"657.3622147",1.6706,1.4211,1.4859,1.4443,1.4177,1.46,1.4429,1.4355
"292.199749",1.6652,1.4762,1.3876,1.447,1.4335,1.4029,1.3872,1.3811
"84.04305972.1",1.6536,1.9205,1.8041,1.7252,1.6936,1.6563,1.6393,1.6315
"833.4697648",1.6486,1.4925,1.4577,1.3973,1.4148,1.3837,1.3908,1.3834
"228.1558786",1.6476,1.4161,1.4178,1.3556,1.333,1.3226,1.3103,1.3089
"192.0229664",1.6435,1.953,1.8283,1.748,1.7269,1.6891,1.6792,1.6703
"86.16037739",1.625,1.5671,1.485,1.4421,1.4225,1.3888,1.3847,1.3775
"290.1820867",1.6183,1.3687,1.2813,1.2843,1.2596,1.2445,1.2303,1.2246
"100.0738549.1",1.6174,1.6863,1.7174,1.6419,1.6129,1.5766,1.5595,1.552
"329.1386053",1.6105,1.5386,1.4531,1.3915,1.3925,1.36,1.3448,1.3386
"200.1599597",1.6015,1.451,1.3609,1.3509,1.3254,1.3365,1.3204,1.3158
"565.2189484",1.5995,1.4675,1.3917,1.3754,1.3495,1.3389,1.3265,1.3201
"295.2512999",1.5941,1.34,1.2547,1.2046,1.1997,1.1764,1.1835,1.1777
"633.1559613",1.5919,1.3681,1.2873,1.2471,1.2265,1.1977,1.1896,1.1833
"170.1140501.1",1.5895,1.4419,1.4061,1.3498,1.3248,1.3265,1.3174,1.3126
"165.1344661",1.5867,1.4516,1.3589,1.3918,1.3679,1.3673,1.3507,1.3534
"117.0737191",1.584,1.3492,1.2761,1.2886,1.2906,1.2624,1.2489,1.2423
"821.9341234",1.5808,1.4691,1.3795,1.3228,1.32,1.2885,1.2874,1.2815
"760.5818138",1.5747,1.3391,1.3273,1.2775,1.2675,1.2774,1.2646,1.2586
"200.1599597.1",1.5723,1.4679,1.47,1.4068,1.3843,1.3927,1.3761,1.3745
"340.2208836",1.5719,1.3236,1.4293,1.3688,1.3851,1.4002,1.3908,1.3881
"584.184579",1.5666,1.5904,1.4991,1.4345,1.4067,1.383,1.367,1.3598
"532.1983406",1.5642,1.4863,1.417,1.3586,1.3487,1.3166,1.3016,1.2973
"517.2068473",1.5609,1.5514,1.453,1.3952,1.369,1.3522,1.3433,1.3374
"170.1140501",1.5516,1.3296,1.2779,1.2315,1.2182,1.2134,1.2284,1.222
"217.1249152",1.5489,1.4904,1.4621,1.4043,1.3771,1.3623,1.3501,1.3442
