"","m/z","label","104.1039237","118.0843194","86.09582925","84.0781325","84.04305972","132.0765748","110.0773354","357.2475088"
"1","210L","MEF Rescue",27306298.91,2226063.684,10559176.86,20108092.2,9466760.204,4851666.63,25955391.52,343532.0091
"2","210R","MEF Rescue",35071388.57,40822818.53,18291456.96,29268385.88,24597084.8,23866682.02,23987449.29,14781045.15
"3","225R","MEF Rescue",29860940.64,9996843.154,10253234.67,964850.4979,14806477.04,4942486.253,4387870.53,4505.688293
"4","226R","MEF Rescue",18483778.7,45105567.21,242693.9522,721964.9155,7905799.46,689342.0543,3638860.595,0
"5","227N","MEF Rescue",28232345.51,38296090.19,11513927.1,21750789.3,39972978.35,7017621.714,12840717.48,25383.68287
"6","2402R","MEF Rescue",26844917.31,6942859.107,8963223.552,1090176.356,5543637.791,702611.5037,2818619.666,0
"7","240L","MEF Rescue",3298521.493,11718870.05,11361293.69,1584302.215,15757400.86,421065.9723,4857211.198,0
"8","241B","MEF Rescue",18495086.01,98841394.46,13516981.85,1591505.311,7507346.681,921905.3649,13902724.28,0
"9","241R","MEF Rescue",17308606.41,83136362.09,11580414.67,3519125.169,27165090.03,866734.1733,11608592.28,0
"10","211B","MEF Rescue",25210903.27,26623184.77,8791058.26,23469958.99,48097723.87,2969813.193,11699586.9,912167.0631
"11","211L","MEF Rescue",28853016.24,25999720.83,11441338.73,21554700.31,43136410.11,4415496.978,10238346.82,72993.03813
"12","216AN","MEF Rescue",29538472.68,96897623.15,20182116.81,43388893.36,8422008.824,23621845.93,23461955.55,25892943.8
"13","216AR","MEF Rescue",37497103.45,37875329.52,22812668.7,43742963.37,20314766,7265732.542,27484520.67,1218056.309
"14","225B","MEF Rescue",27715108.72,9773194.903,9897818.118,708639.3647,12349227.31,5201085.879,3594915.226,1060.668549
"15","226N","MEF Rescue",28965746.05,26676980.22,8162586.105,31213069.12,54874100.5,5477060.399,10092782.29,2412898.837
"16","227B","MEF Rescue",35396445.16,28651190.14,14414139.84,43056808.97,52215938.65,15042969.09,19833711.66,4680835.582
"17","241L","MEF Rescue",28662504.62,63767881.9,6515247.44,33614313.37,57735419.26,2282651.457,11986340.46,1842096.808
"18","222L","Fat Rescue",43650929.52,22070580.36,22084438.31,60422456.11,18670570.8,42403871.52,20567540.24,49739479.05
"19","222N","Fat Rescue",37630460.26,40367653.58,25852867.23,15598860.87,5879954.59,38097977.85,22697493.89,782913.2473
"20","222R","Fat Rescue",53634554.2,14993374.16,30646375.8,42558619.59,23664473.55,46901287.64,34390353.84,39324568.88
"21","232L","Fat Rescue",31557045.78,19082663.57,13946069.39,49529839.96,32991275.39,18413178.42,171347.3204,5712689.55
"22","257L","Fat Rescue",32845021.33,42538837.18,19807704.71,38192605.93,13744645.88,18181541.24,24218616.49,1203650.732
"23","257N","Fat Rescue",25311213.17,98046122.82,13449124.45,39436521.6,10895996.47,1511146.077,31882434.13,1769596.952
"24","258B","Fat Rescue",23303706.05,42514161.22,16353128.07,28065362.29,10266745.77,11493858.05,20283662.1,1386471.244
"25","258N","Fat Rescue",31265466.81,40331916.74,18725087.08,50588888.28,21724955.95,33790601.06,33629302.77,11058544.15
"26","258R","Fat Rescue",33446196.38,13220409.13,18936149.58,38847083.91,27048158.12,22357570.36,25679625.49,5582133.027
"27","234Bsq","Control",30837058.01,29386814.28,13147204.04,26198505.32,38123012.98,18677265.93,14077350.61,3979319.657
"28","234Lsq","Control",30040419.07,22976923.05,13628351.27,4505579.119,15678186.27,9818251.02,75369.84231,3635622.627
"29","2362Rsq","Control",26578939.08,11296702.9,11089379.99,22807331.62,30491920.68,7272294.534,17217318.03,2260994.829
"30","236Nsq","Control",30791936.74,248119.9935,14138836.96,2444388.458,2479157.707,22197224.33,51596.685,4451280.43
"31","61sq1","Control",47969835.11,60228.73024,15872489.38,6947524.999,12124169.51,47427650.14,126600.7924,14399144.52
"32","61sq1-1","Control",54480092.46,34569007.31,19788049.43,7426673.883,24445709.32,54986768.27,21090824.25,706827.2832
"33","61sq2","Control",4419320.828,4180605.409,1904695.834,396687.2005,6567529.984,207630.3961,87075.52172,81682.41263
"34","236NV","Control",26222829.41,32338476.18,5965009.925,25383683.4,51194294.74,1499363.823,12409855.49,921082.7246
"35","234BV","Control",30921220.05,14327444.07,5547367.637,32020690.29,25675285.07,13924266.56,11324978,2999294.717
"36","234LV","Control",29903541.02,6306342.73,6013756.387,27987456.99,28748036.29,6616068.289,9609274.259,22882.9173
