"","1R","4L","5L","6L","8R","31R","32R","34L","38L","39L","1L","4R","5R","6R","8L","31L","32L","34R","38R","39R","33L","35R","37L","40R","45L","46L","47R","48R","49L","50R","51R","52L"
"Label","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj"
"103.9530487","-1.44756593","-1.19781635","-1.38096355","-1.64777130","-1.20128049"," 0.39929791"," 0.67721460"," 0.88894439"," 0.50729793"," 0.27464861","-1.55786300","-1.43485434","-1.33738106","-1.57761164","-1.34669426"," 0.01887486"," 0.42323594"," 0.51260876"," 0.76892268"," 0.32618410"," 0.69512610"," 0.98255983"," 0.94988025"," 0.57973898"," 1.05291903"," 0.60503343"," 0.75222653"," 0.78567948"," 0.45223246"," 0.81360007"," 0.41242162"," 1.25115436"
"121.0861588"," 0.7210057"," 0.7610112"," 0.5336508"," 0.5153680"," 0.4972479","-1.0337140","-1.0466479","-1.0193701","-1.2440890","-1.1839057"," 0.7831640"," 0.8326402"," 0.5490730"," 0.7420207"," 0.5092198","-0.8743222","-0.9052596","-1.0539111","-1.2539677","-1.0432277","-1.0651207","-1.2293695","-1.0888202","-1.2006455"," 1.3454254"," 1.0321615"," 0.9993527"," 0.9116363"," 0.9256741"," 1.0025871"," 1.2358379"," 1.3452945"
"123.0892241"," 0.3731423"," 1.0697746"," 0.1775455","-0.2630245"," 0.8005999","-0.6420031","-0.8208944","-0.9218102","-0.8197036","-1.5025266","-0.1815361"," 0.5839651","-0.4120845"," 0.2394189"," 0.6278391","-0.5182214","-0.9158053","-0.7686723","-1.3148567","-0.9258968","-0.9136265","-0.8521289","-1.0478811","-1.4504909"," 1.4189577"," 0.8520911"," 1.1677272"," 1.1766701"," 1.3344198"," 1.3303486"," 1.2713250"," 1.8473377"
"130.1572882","-0.03948386"," 0.08147201"," 0.01819700"," 0.21163869"," 0.19587546","-0.81678150","-0.79709057","-0.85436396","-0.90010749","-1.21254586","-0.25882683"," 0.01495978"," 0.62840686","-0.29268326"," 0.12424348","-0.79759917","-0.84188506","-0.88605192","-1.15675312","-0.66312287","-0.64765717","-1.03415891","-0.75179391","-1.35205321"," 1.63713678"," 1.45447275"," 1.20356801"," 1.59868095"," 1.56075750"," 1.66886348"," 1.48746160"," 1.41722433"
"132.9847412","-0.60607178","-0.57122493"," 0.51193338","-0.55488460","-0.75929397"," 0.11486799","-0.85361442"," 0.11678084","-0.97825187","-0.75511361","-0.47755299","-0.65780070","-0.01932198"," 0.62275172","-0.53159269"," 0.59956129","-0.08221202","-1.48264991","-0.98514305","-2.57014645"," 0.73664175"," 0.31809233","-0.30929009","-0.54448482"," 1.53250249"," 1.68951342"," 0.95544191"," 1.24416627"," 0.42781160"," 1.35958993"," 0.38093903"," 2.12805592"
"137.0442836","-0.87002203"," 1.08685507"," 0.55226988"," 1.42905588"," 0.70511038","-0.45250664"," 0.64802212","-1.11215408"," 0.16727309","-1.21326183"," 1.00591229","-0.09028088"," 1.01406993"," 0.72626599"," 1.60120223"," 0.10495003"," 0.43169586","-1.18596484"," 0.04511596","-2.15577127","-1.87864088","-0.71608952","-1.31447618","-0.83089540"," 1.96176153"," 0.67332974","-0.34385218"," 0.29819392"," 0.11139398","-0.57248176","-0.17601540"," 0.34993503"
"154.9676056","-0.44266903","-0.92758390"," 0.21975146","-0.38759526","-1.42347018","-0.20099465","-0.18066298"," 0.02832604","-0.23299706","-0.12321186","-1.87358128","-0.25242427","-0.72926228","-0.44357112"," 0.00568854","-0.13630302","-0.59552505","-0.51436151","-0.07078799","-1.64022018","-0.43609408","-0.30521978","-0.38563598","-0.30388706"," 2.10483004"," 2.24363995"," 1.36280195"," 1.70950714"," 0.61746749"," 1.52079211"," 0.23725525"," 1.55599855"
"158.9616782","-1.3902387","-1.6329534","-0.9715327"," 1.1991569","-0.9286645"," 0.7105282","-1.4066394"," 0.3324459"," 0.4193812","-1.5670672","-0.8759344"," 0.4908155","-1.3884782","-0.8108980"," 0.4389435"," 0.8710134"," 1.1202271","-0.1310778"," 0.7562741"," 0.7900399"," 0.8049109"," 0.7303310","-1.3517194","-1.3686708"," 0.4370667"," 0.7441689"," 0.5389224"," 0.5655185","-0.3618044"," 1.7783283"," 0.3254914"," 1.1321150"
"159.0258789"," 0.11642065"," 1.47031559"," 1.11190006"," 1.41772518"," 1.04329627","-0.84424912"," 0.62898699","-1.15305092"," 0.39454215","-0.58851821"," 1.17357052"," 0.61184653"," 0.73381318"," 1.12849150"," 1.54479326"," 0.23588556"," 0.57556354","-1.21134913"," 0.01137738","-2.12734630","-1.43825051","-0.99132067","-1.01525414","-0.58999888"," 1.17058508","-0.65574113","-0.39226410"," 0.21260570","-0.96921379","-1.11247160","-0.74241065"," 0.24972001"
"173.0768738"," 0.85179658"," 1.24794401","-0.06470663","-0.60987871"," 1.05520096","-0.02468139","-1.26728845","-1.36694413","-0.35785044","-1.81034046","-0.35887973"," 0.79891696","-0.92794409","-0.17961733"," 0.66978405","-0.38578330"," 0.05685855","-0.62169860","-1.05825637","-0.13956213","-0.75798939","-1.26855467","-0.34688416","-1.66066767"," 1.19435578"," 0.19919431"," 1.02380276"," 0.28031096"," 1.43471387"," 1.83319718"," 1.60134701"," 0.96010468"
