"","1R","4L","5L","6L","8R","31R","32R","34L","38L","39L","1L","4R","5R","6R","8L","31L","32L","34R","38R","39R","33L","35R","37L","40R","45L","46L","47R","48R","49L","50R","51R","52L"
"Label","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj"
"103.9528122","174395.44","162220.35"," 88289.63","169667.24","174529.10","508371.06","480546.19","479505.06","451385.48","442546.20","159710.65","141808.93","167030.69","173486.71","152718.58","651750.23","463745.19","598131.38","484650.56","457400.50","465534.41","481278.79","533075.24","469023.76","541025.40","463101.98","487625.26","518955.50","411917.78","466883.25","405357.95","664329.31"
"103.9530487"," 306923.9"," 363709.8"," 321137.7"," 267874.7"," 362854.4","1076989.3","1300919.3","1502281.9","1159023.4"," 989500.1"," 284755.4"," 309587.3"," 330793.2"," 280958.5"," 328705.8"," 831597.7","1094656.1","1163214.8","1384592.3","1024775.5","1316854.2","1600980.4","1565810.6","1217520.4","1679405.3","1238634.0","1368968.1","1400452.5","1116444.9","1427283.8","1086639.3","1921644.9"
"105.9515762"," 77487.59"," 61513.63"," 61153.35"," 68756.20"," 67776.10","234321.66","197838.73","230852.91","213256.42","210291.22"," 65845.65"," 53980.89"," 61670.58"," 69706.84"," 67034.56","318650.37","190327.49","221935.43","199508.48","215017.01","215988.84","216515.36","175735.11","335283.25","197038.12","153941.43","151300.40","209161.86","157145.51","206927.96","151062.57","238277.33"
"118.0835876","124246.262","256654.317","396894.660","409109.389"," 48777.199","260251.759","739174.471","151744.626","453213.041","190797.520","272439.983","154752.383","217830.231","356077.638","273056.082","184402.602","415107.293","152195.952","575263.866"," 68687.331"," 63074.534","107709.079","163788.204","188498.470","     0.000","  9545.399"," 17949.983","     0.000","  6977.479","  8736.639","     0.000","     0.000"
"121.0861588"," 532921.213"," 595559.928"," 316693.257"," 301011.135"," 286234.806","   4071.701","   3928.009","   4237.214","   2269.758","   2682.779"," 633359.831"," 726672.070"," 330555.232"," 564957.039"," 295913.895","   6339.656","   5817.588","   3849.552","   2208.319","   3965.505","   3731.530","   2364.488","   3493.782","   2560.884","3019676.503","1264853.198","1154674.983"," 904980.125"," 940966.460","1165095.960","2227175.690","3018578.587"
"123.0892241"," 348309.324","1640339.633"," 225430.410","  84607.343"," 901368.855","  36416.889","  24461.789","  19543.411","  24526.668","   5370.441"," 101421.122"," 556706.804","  60731.138"," 258692.678"," 613776.510","  47960.075","  19806.204","  27474.919","   8152.767","  19366.564","  19902.430","  22819.949","  14764.266","   6029.456","3566609.853","1010752.121","2039666.154","2080646.017","2955217.092","2928575.767","2568252.769","9248772.984"
"129.0162506","  3288.353","  7211.148","  3804.625","     0.000","  6896.864","283091.801","185359.332","182942.922","162231.812"," 44345.342","  3249.439","  7357.332","     0.000","  1370.851","  7583.004","274301.678","196527.766","252796.779"," 80216.593","203976.857","232367.628","172969.443","144268.107"," 37894.317"," 77723.258"," 20949.337","  9213.628"," 14084.730"," 29836.231"," 24294.263"," 48745.990","118528.937"
"130.048111"," 84772.451"," 88830.601","201598.973","170670.211"," 46559.781","  2000.730","148337.148"," 39539.862"," 70500.934"," 57200.260"," 90043.303","117656.451","176568.364","267288.425","132589.329"," 24844.558","114595.386"," 47481.831","139726.383"," 34276.963","  6766.274"," 41357.442"," 39578.395"," 47502.747","     0.000","     0.000","  9052.314","     0.000","  7016.837"," 20347.507"," 13558.715","     0.000"
"130.1572882"," 138458.213"," 181144.774"," 157388.662"," 241891.253"," 233566.549","  24622.094","  25723.155","  22649.711","  20460.958","  10220.273","  85051.220"," 156260.763"," 610588.522","  78888.443"," 199202.533","  25694.106","  23286.447","  21109.979","  11568.990","  34640.655","  35851.600","  15190.893","  28446.562","   7496.448","5741762.019","3826463.171","2191322.306","5271572.468","4845614.479","6161088.311","4117443.018","3522553.044"
