"","filter","1R","4L","5L","6L","8R","31R","32R","34L","38L","39L","1L","4R","5R","6R","8L","31L","32L","34R","38R","39R","33L","35R","37L","40R","45L","46L","47R","48R","49L","50R","51R","52L"
"103.9528122",170044.457116021,174395.4393,162220.348,88289.6308,169667.2379,174529.0958,508371.0582,480546.1918,479505.0636,451385.478,442546.2029,159710.6523,141808.935,167030.693,173486.7082,152718.583,651750.2294,463745.1936,598131.3818,484650.5559,457400.496,465534.4093,481278.7934,533075.2353,469023.7596,541025.4037,463101.9773,487625.2617,518955.5013,411917.7822,466883.2469,405357.952,664329.3086
"103.9530487",507084.487937619,306923.9494,363709.8107,321137.7123,267874.6564,362854.4268,1076989.294,1300919.275,1502281.863,1159023.382,989500.0736,284755.3514,309587.306,330793.174,280958.5429,328705.7891,831597.7444,1094656.14,1163214.791,1384592.256,1024775.487,1316854.193,1600980.394,1565810.646,1217520.448,1679405.338,1238634.004,1368968.063,1400452.498,1116444.858,1427283.794,1086639.304,1921644.91
"105.9515762",78327.6504749463,77487.59475,61513.62734,61153.35089,68756.20247,67776.10199,234321.6556,197838.7311,230852.9106,213256.4243,210291.2238,65845.65485,53980.89243,61670.58269,69706.83602,67034.56471,318650.3747,190327.4897,221935.4273,199508.477,215017.0073,215988.8397,216515.3599,175735.1129,335283.2454,197038.1173,153941.427,151300.402,209161.8598,157145.5123,206927.9643,151062.5715,238277.325
"118.0835876",183916.872097091,124246.262,256654.3168,396894.6598,409109.3889,48777.19889,260251.7594,739174.4711,151744.6262,453213.0406,190797.5196,272439.9834,154752.3834,217830.2311,356077.6382,273056.0822,184402.6022,415107.2926,152195.9519,575263.8656,68687.33111,63074.53385,107709.0785,163788.2036,188498.4703,1395.4958734,9545.398889,17949.98282,1395.4958734,6977.479367,8736.639014,1395.4958734,1395.4958734
"121.0861588",823862.747336263,532921.2131,595559.9284,316693.257,301011.1346,286234.806,4071.700551,3928.00923,4237.213529,2269.758158,2682.778624,633359.8311,726672.0698,330555.2325,564957.0394,295913.8947,6339.656388,5817.58799,3849.551975,2208.319418,3965.505065,3731.530114,2364.488369,3493.782322,2560.884103,3019676.503,1264853.198,1154674.983,904980.1246,940966.4604,1165095.96,2227175.69,3018578.587
"123.0892241",1841756.41898553,348309.3244,1640339.633,225430.4103,84607.34258,901368.8551,36416.88929,24461.789,19543.4108,24526.66821,5370.441184,101421.122,556706.8035,60731.13791,258692.6776,613776.5097,47960.07477,19806.204,27474.9191,8152.767,19366.56413,19902.42985,22819.94917,14764.26643,6029.455842,3566609.853,1010752.121,2039666.154,2080646.017,2955217.092,2928575.767,2568252.769,9248772.984
"129.0162506",95284.6519062188,3288.352686,7211.147664,3804.6246,274.17018,6896.864021,283091.8009,185359.3321,182942.9224,162231.8118,44345.3415,3249.439366,7357.332263,274.17018,1370.8509,7583.004016,274301.6777,196527.7664,252796.7788,80216.59286,203976.8566,232367.628,172969.4431,144268.1073,37894.3175,77723.25845,20949.33718,9213.62809,14084.72989,29836.23086,24294.26331,48745.99025,118528.9366
"130.048111",68845.2128265806,84772.45111,88830.60073,201598.9726,170670.2113,46559.78062,2000.729512,148337.1484,39539.86222,70500.9339,57200.26013,90043.30317,117656.4514,176568.364,267288.4254,132589.3295,24844.55783,114595.3856,47481.83122,139726.3828,34276.96286,6766.273748,41357.4423,39578.39489,47502.74725,400.1459024,400.1459024,9052.313814,400.1459024,7016.837088,20347.50735,13558.71546,400.1459024
"130.1572882",2018980.87060467,138458.2126,181144.7735,157388.6616,241891.2527,233566.549,24622.09429,25723.15533,22649.71143,20460.95795,10220.27287,85051.22036,156260.7632,610588.5221,78888.44293,199202.5331,25694.10572,23286.4474,21109.97943,11568.98951,34640.655,35851.6,15190.89338,28446.56156,7496.448,5741762.019,3826463.171,2191322.306,5271572.468,4845614.479,6161088.311,4117443.018,3522553.044
"132.9847412",908656.274223356,678887.2484,694934.3319,1436545.824,702589.1993,612611.3015,1100800.709,575072.1957,1102213.309,528971.8329,614330.6341,739975.9052,655746.6777,1006091.626,1547339.8,713646.6211,1523468.562,964553.3987,377198.9338,526533.5971,181941.4309,1670114.579,1261479.293,828341.698,707504.9767,2847551.182,3163641.96,1933983.645,2347030.177,1357770.373,2535862.979,1315766.325,4244970.879
