"","1R","4L","5L","6L","8R","31R","32R","34L","38L","39L","1L","4R","5R","6R","8L","31L","32L","34R","38R","39R","33L","35R","37L","40R","45L","46L","47R","48R","49L","50R","51R","52L"
"Label","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","CtInj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Inj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj","Sinj"
"103.9530487","306923.9494","363709.8107","321137.7123","267874.6564","362854.4268","1076989.294","1300919.275","1502281.863","1159023.382","989500.0736","284755.3514","309587.306","330793.174","280958.5429","328705.7891","831597.7444","1094656.14","1163214.791","1384592.256","1024775.487","1316854.193","1600980.394","1565810.646","1217520.448","1679405.338","1238634.004","1368968.063","1400452.498","1116444.858","1427283.794","1086639.304","1921644.91"
"121.0861588","532921.2131","595559.9284","316693.257","301011.1346","286234.806","4071.700551","3928.00923","4237.213529","2269.758158","2682.778624","633359.8311","726672.0698","330555.2325","564957.0394","295913.8947","6339.656388","5817.58799","3849.551975","2208.319418","3965.505065","3731.530114","2364.488369","3493.782322","2560.884103","3019676.503","1264853.198","1154674.983","904980.1246","940966.4604","1165095.96","2227175.69","3018578.587"
"123.0892241","348309.3244","1640339.633","225430.4103","84607.34258","901368.8551","36416.88929","24461.789","19543.4108","24526.66821","5370.441184","101421.122","556706.8035","60731.13791","258692.6776","613776.5097","47960.07477","19806.204","27474.9191","8152.767","19366.56413","19902.42985","22819.94917","14764.26643","6029.455842","3566609.853","1010752.121","2039666.154","2080646.017","2955217.092","2928575.767","2568252.769","9248772.984"
"130.1572882","138458.2126","181144.7735","157388.6616","241891.2527","233566.549","24622.09429","25723.15533","22649.71143","20460.95795","10220.27287","85051.22036","156260.7632","610588.5221","78888.44293","199202.5331","25694.10572","23286.4474","21109.97943","11568.98951","34640.655","35851.6","15190.89338","28446.56156","7496.448","5741762.019","3826463.171","2191322.306","5271572.468","4845614.479","6161088.311","4117443.018","3522553.044"
"132.9847412","678887.2484","694934.3319","1436545.824","702589.1993","612611.3015","1100800.709","575072.1957","1102213.309","528971.8329","614330.6341","739975.9052","655746.6777","1006091.626","1547339.8","713646.6211","1523468.562","964553.3987","377198.9338","526533.5971","181941.4309","1670114.579","1261479.293","828341.698","707504.9767","2847551.182","3163641.96","1933983.645","2347030.177","1357770.373","2535862.979","1315766.325","4244970.879"
"137.0442836","106298.8729","1049229.122","561349.4201","1565855.692","671267.52","173252.4629","627895.7731","80074.6186","357771.7922","71140.895","954423.5329","264689.082","963576.6258","688090.1887","1915243.099","332612.1293","487490.7621","73449.63704","310123.578","23615.92824","32660.46757","127275.8167","63196.00133","111278.163","2920342.211","646765.7872","196738.6362","416994.6453","335129.3187","150562.5085","239426.3905","443018.1534"
"154.9676056","838546.9773","585871.7281","1368535.759","873401.045","406026.467","1002624.594","1017812.168","1187905.978","979176.8758","1061982.613","291075.9463","965211.13","678408.4637","837987.8077","1168186.798","1051751.959","748926.911","795250.9182","1103958.461","345897.6125","842633.7818","928255.7488","874667.3335","929170.9765","5516041.704","6112301.27","3186645.257","4117884.092","1836445.722","3581545.289","1386364.052","3676009.229"
"158.9616782","2462587.191","2151614.012","3108344.983","10395730.23","3183346.721","7921870.062","2440226.009","6419521.878","6737545.557","2231922.102","3278089.5","7010621.719","2464999.687","3398836.039","6811252.332","8661489.476","9949234.351","4960659.802","8126013.749","8280062.477","8348831.079","8009603.856","2515914.479","2492305.64","6804146.074","8071486.852","7200732.366","7308039.709","4363227.726","14346722.76","6394739.266","10015235.64"
"159.0258789","387610.6797","2204582.298","1391470.958","2060639.183","1274150.527","112908.6328","748518.0226","75952.0581","553956.9678","156791.4845","1506126.806","732225.3414","856353.841","1421430.125","2425800.045","451865.5823","698897.3498","70474.58364","338706.6352","21740.69004","52663.83888","93480.3195","90651.48194","156493.6965","1500364.777","143826.5403","201722.1476","438559.4085","96171.62748","80014.10253","128680.3368","459963.4657"
