"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"103.9530487",0.0098672,0.015213,-0.071338,0.013192,-0.025036,-0.010977,-0.0038734,-0.015701,0.011237,0.0032984,0.01221,-0.035089,-0.030112,-0.004921,0.023292,-0.0015141,-0.00090822,0.013746,0.031007,-0.0014477,-0.0087789,0.00014561,0.0075903,-0.0095095,-0.041477,0.020257,0.0019373,0.011171,0.0026165,0.020142,0.013953,0.295
"121.0861588",0.032395,-0.018229,0.041858,0.00033337,0.0048417,0.0035799,-0.00090949,0.020329,-0.0078657,-0.0059001,-0.023696,0.0039441,0.020897,0.0050409,-0.014615,0.010634,-0.013194,-0.01978,-0.012818,-0.017576,-0.0061398,-0.00044649,-0.0045628,0.014938,0.0010077,-0.0054089,-0.0016475,0.011437,0.008862,0.0011487,-0.015918,-0.40036
"123.0892241",0.036007,-0.023273,0.017145,-0.011381,0.011913,0.009381,-0.0017494,0.024612,-0.0063067,-0.0021191,-0.011932,-0.010827,0.0082943,0.010615,-0.0050016,0.0054403,-0.010337,0.00016061,-0.0072544,-7.3327e-05,-0.0033008,-0.016172,0.0041635,0.0074924,-0.015621,-0.0088286,0.02107,-0.0078162,0.01331,-0.028593,-0.0010995,0.3166
"130.1572882",0.038633,-0.013731,0.0139,0.010926,-0.0024327,0.006915,0.0044389,0.0060661,-0.0042453,-0.0093679,-0.013731,0.016812,-0.010131,0.0023772,-0.013338,0.0026702,0.017106,-0.0071787,0.013527,0.0010433,0.011995,-0.0065046,0.016136,0.0095632,0.0010739,0.023553,0.014395,0.0078079,-0.014969,-0.00068445,-0.025252,0.14054
"132.9847412",0.031672,0.018533,-0.0033136,-0.010463,-0.021563,0.0059899,-0.032896,0.013159,-0.02026,0.024294,0.0090918,0.0030083,0.0015608,0.063244,-0.015229,0.020001,-0.00011219,-0.017994,-1.4261e-06,-0.033802,0.011417,0.00012775,0.012718,0.053963,-0.026707,0.026866,0.039149,0.10638,0.023685,-0.015437,0.055596,-0.29504
"137.0442836",0.01681,0.0089045,0.045826,-0.035636,0.0042608,0.0055986,0.024582,-0.0066901,-0.022984,0.02496,-0.03404,0.011239,0.024666,-0.04185,-0.047837,0.057627,0.016726,0.014648,0.018739,0.088338,-0.057884,0.077015,-6.4609e-05,-0.060629,-0.0088413,-0.021527,0.023129,-0.0012008,-0.00066482,-0.014001,-0.0039669,-0.43719
"154.9676056",0.034406,0.022231,-0.019041,-0.0014552,-0.0087211,0.0024544,-0.015349,-0.0087766,0.01216,-0.014637,-0.0033896,-0.031529,0.0030107,0.022194,-0.0047548,0.032744,-0.002685,-0.01195,0.018631,0.013421,0.052219,-0.0087769,-0.033666,0.042516,-0.010056,0.038116,-0.0065137,-0.030015,-0.033162,-0.015809,0.0096952,0.2356
"158.9616782",0.01482,0.0054295,-0.036281,0.0081535,0.036601,-0.010351,-0.032957,0.017092,-0.018126,0.038763,0.055576,0.054706,0.0020265,-0.015334,-0.050191,0.035004,-0.021025,-0.037742,0.091641,-0.0073871,0.01243,-0.0072054,-0.076701,-0.071417,0.06387,0.007673,0.034638,0.028961,-0.11208,0.00070153,0.047357,-0.25738
"159.0258789",0.003654,0.0016239,0.057604,-0.041563,0.0022,0.0014969,0.016982,0.010235,-0.014886,0.030664,-0.019269,-0.021542,0.022504,-0.038659,-0.043975,0.066391,-0.023785,-0.00075031,-0.0023681,0.097607,-0.016564,0.071998,-0.014779,-0.013721,-0.0059146,-0.037124,0.024112,0.018352,0.0054313,-0.03551,-0.023916,0.14512
"173.0768738",0.029739,-0.03478,0.0085144,-0.01627,0.027605,0.001098,-0.00046881,0.021272,0.024173,0.0088193,-0.0011459,0.011147,-0.0012843,0.0048116,0.023002,-0.036549,0.0014959,0.023329,-0.010459,-0.012756,0.023691,0.0078209,-0.041313,-0.033705,-0.0034549,-0.012574,0.029626,0.024713,0.0057283,-0.021529,-0.03886,0.059058
