"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"1R",-5.1328,-12.858,22.145,-3.4814,2.8967,-3.0773,2.4026,-0.23828,7.8811,-2.6101,4.0067,-5.6175,-2.8736,2.7147,7.973,-3.266,-5.4656,-0.50654,-0.71775,-4.9678,2.6818,3.0665,1.8025,1.5958,2.7997,2.3577,-1.3094,-1.0573,-2.9415,-1.0577,2.315,1.3321e-14
"4L",-0.81857,-11.238,11.368,-7.7507,10.399,2.273,-1.2865,6.3732,1.8777,-3.2235,-2.3034,-0.67008,2.4162,-0.93042,6.3785,1.8739,-0.75195,1.1479,0.4736,3.1321,3.0779,0.49453,5.4876,-3.8562,-5.0249,-4.2608,1.8129,-0.14919,5.3245,-0.87944,-0.48491,-7.6767e-15
"5L",-3.4931,5.3078,15.696,-12.119,6.0679,-5.0314,-1.13,-1.4494,6.994,-4.5773,3.0061,-3.7703,0.021341,7.1378,-8.3383,1.3914,5.2042,0.59555,3.0672,0.014345,0.92516,-0.94457,0.43019,5.5849,2.5003,-1.86,-0.80776,1.2132,3.3052,1.553,-2.1146,-8.9078e-16
"6L",-4.4681,11.358,17.964,3.9921,1.1672,-1.0442,-2.3976,0.30578,-4.4836,-2.4298,-0.024748,3.4318,4.4783,-3.1303,-7.646,-0.58759,-5.3331,0.47528,1.8246,2.4881,4.3886,-0.64856,3.5507,-5.255,5.1262,1.0282,1.7574,-0.36867,-3.0884,2.6467,-0.99813,1.626e-14
"8R",-9.6782,-50.891,4.4248,-17.949,-7.4742,13.137,-1.0317,-15.988,-8.4035,3.1502,1.9601,-0.83172,0.19163,-0.99475,-2.4134,-0.35507,0.37825,0.073253,-0.067866,0.42006,-0.0023183,-0.45026,-0.078263,-0.082742,-0.20566,-0.01018,0.11841,0.26649,0.1148,-0.030659,0.079293,-4.7275e-14
"31R",-4.9756,16.943,-7.9566,-12.187,4.1272,-0.21193,8.4501,-0.99453,-2.1138,7.9093,4.5693,6.0453,6.5824,4.9862,4.6824,-9.3251,-0.38888,2.1557,4.1582,0.79231,0.087866,-4.2164,-0.84957,0.032699,-0.67596,-1.1415,-1.6866,-0.15411,-0.46463,0.26033,0.13604,-1.799e-14
"32R",-15.73,15.181,-10.66,-13.932,-4.8692,4.1091,26.85,3.7474,-6.3063,-6.3783,-4.5192,-4.7049,-4.9231,-1.482,-1.9965,1.0621,-1.0075,-1.2303,-0.45948,-0.36687,0.85621,0.87429,0.19041,-0.31009,-0.12833,0.17242,-0.11625,-0.03262,0.16816,0.55635,-0.12583,-2.1043e-14
"34L",-14.201,11.669,-11.598,-4.5931,0.46657,1.3757,-2.1119,-1.098,1.0054,-1.4348,6.6115,2.1581,5.0874,-6.7406,0.73835,5.5675,-1.7067,-1.6735,0.94061,-6.2678,-1.8738,-3.6819,3.8776,2.0251,-0.93425,6.0472,-0.23897,-0.64439,3.127,-0.31322,-0.89637,1.3405e-14
"38L",-17.106,8.4342,-4.6808,-4.8593,-1.7692,-3.6972,-1.3151,-4.0483,6.8574,-2.269,3.609,-2.87,-1.1116,-4.3545,-0.8459,-2.9567,0.91051,-1.4781,2.3563,1.9005,-3.3153,0.59757,-1.5915,-0.72698,-0.10348,-1.8859,7.3918,-1.4531,-2.5962,-6.0185,-2.7913,4.133e-16
"39L",-21.413,13.206,-4.3799,5.4224,-10.663,-4.7367,-4.4152,-5.9306,-0.41738,-1.2924,-2.17,0.41185,1.3521,-6.1958,2.0631,-3.7119,0.43599,-4.2352,-6.072,4.2195,4.4947,-1.3292,0.4439,4.9514,2.7481,-3.1107,-2.6053,-1.6693,2.5504,-0.75856,1.7177,2.5721e-14
"1L",-10.638,1.0238,23.748,8.2823,-4.5952,-1.6746,1.7959,1.7711,-1.1486,2.2878,-0.38492,1.0227,-3.2935,-1.7494,1.2136,-1.1231,-3.1125,-2.9737,-0.21071,-0.76699,-9.6694,-1.845,-1.4729,-3.1003,3.0635,-2.3798,-2.4293,4.0671,3.5037,-0.054385,-0.50304,1.6316e-14
"4R",-6.8692,-9.9806,6.3368,-3.6946,10.599,6.4367,-2.9467,8.7437,-2.1211,-0.89526,-4.5913,0.93156,2.9413,-2.6682,5.0096,3.4359,-1.5916,-2.5869,-0.27325,-0.77663,-0.018765,-2.9453,-6.7941,4.72,0.5423,-2.0211,2.5114,-0.88211,-3.1175,3.9098,-2.6562,-7.8145e-15
"5R",-7.64,5.1437,28.142,15.689,-12.741,-4.5445,5.1214,-0.71558,-6.6545,5.0672,-1.4573,5.8659,-3.4795,-0.49309,3.5288,2.0255,8.3353,0.91996,3.1107,-1.0753,1.2534,1.2486,2.0191,2.2406,-2.419,1.7683,2.0071,-1.9496,-1.0755,0.10548,-0.60215,3.0661e-16
"6R",-6.8389,9.4502,15.741,-1.0009,3.074,-0.45391,-1.0274,2.1725,-1.9435,1.6797,-1.2097,2.9873,2.8538,2.2349,-8.8391,-1.9446,-3.7317,0.96385,-7.4712,-4.294,-0.55944,1.0674,-1.6989,1.4022,-7.4081,-0.97329,0.089945,-0.4158,-0.99622,-2.4079,1.2992,1.0283e-14
"8L",-1.2633,-6.2359,9.04,-12.041,11.426,-1.9148,-1.4895,6.7915,0.96047,-0.41367,-4.5405,-0.14179,1.7539,-2.5744,-1.2232,1.1657,5.2465,0.12729,0.40454,5.6282,-1.1518,-1.2395,-3.154,-1.66,0.96524,6.2796,-3.6946,-0.61662,-0.87018,-4.0701,3.5616,-8.3913e-15
