"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1R",-12.446,-16.699,1.8318,-1.6505,-12.42,3.9315,-2.4375,-0.049066
"4L",-6.8451,-13.446,-0.40121,4.2643,-7.0816,-2.3804,-11.884,-3.0325
"5L",-11.877,-18.698,2.705,1.1536,2.9193,-1.0322,-4.4594,-2.7083
"6L",-8.7978,-9.751,3.4893,-14.373,-6.9495,-5.0971,-4.5992,1.9251
"8R",-14.027,-12.222,-8.9468,16.091,-27.748,0.98098,10.459,2.4242
"31R",-8.3208,-9.2262,-11.098,-5.3959,11.472,-3.8698,3.1641,0.544
"32R",-17.693,-8.214,-13.488,-3.1481,16.612,5.4214,11.439,-11.496
"34L",-11.886,1.8889,-9.2337,-8.3555,0.15599,-12.946,0.24571,5.3903
"38L",-15.881,-0.56502,-4.9357,-5.5412,-0.25642,-9.0873,0.13869,-0.13194
"39L",-15.828,8.7124,-1.6009,-14.484,-7.7263,-15.595,-1.1438,-4.3216
"1L",-13.031,-5.8159,11.028,-6.0971,-5.4812,8.2954,2.9316,0.55632
"4R",-8.7455,-5.024,2.9194,8.7463,-0.68039,2.4906,-8.5365,2.1517
"5R",-9.184,-3.1337,13.626,-13.464,-8.8657,9.4178,5.7991,-5.3322
"6R",-10.822,-9.0324,7.8988,-1.3121,5.4993,4.7199,-0.059188,2.7603
"8L",-7.3346,-13.32,3.0704,12.209,5.7347,4.6236,-5.3644,2.4457
"31L",-7.9756,0.79809,-1.8614,3.7686,12.523,-1.0617,-0.80252,-1.0702
"32L",-9.8094,3.3469,-3.725,0.40699,6.1527,-2.0239,-1.612,7.0529
"34R",-13.47,14.766,3.2629,7.4536,-0.19327,-9.5498,-11.656,-9.4524
"38R",-13.915,0.11207,-1.4757,-2.4181,6.1185,-1.5203,7.7826,9.58
"39R",-14.939,22.5,-16.954,-5.2227,-7.6992,25.288,-10.504,1.1158
"33L",-14.269,19.377,4.7789,10.578,5.4606,-3.9735,-3.978,-1.4657
"35R",-12.451,10.802,4.9704,8.6332,9.8643,-1.2545,1.7522,3.2792
"37L",-14.24,9.5849,7.2725,7.164,7.0988,2.5934,5.2257,3.1594
"40R",-20.567,19.627,8.581,2.2184,0.79794,1.4364,12.156,-1.5466
"45L",42.789,-9.7496,-0.98845,6.5231,11.922,2.9174,2.8124,-7.5277
"46L",38.918,-2.5623,1.7339,-11.046,16.391,4.9284,-4.4266,4.2485
"47R",33.211,10.093,2.6947,-9.1761,-8.7089,1.4811,0.32112,-2.7108
"48R",35.577,6.4817,1.779,-9.3672,-4.9953,1.0619,0.69381,2.2928
"49L",35.156,-0.18469,-1.5745,3.4125,3.0623,1.9169,-1.8489,1.176
"50R",37.466,-0.81699,-1.0358,6.1847,-1.9807,-1.995,3.2445,-0.13444
"51R",29.756,9.2853,-3.3849,7.568,-16.317,-2.2672,4.9182,-2.2141
"52L",41.48,1.0851,-0.93799,4.6757,-4.6806,-7.8505,0.22837,3.0908
