"","mz","V2","103.9528122","103.9530487","105.9515762","118.0835876","121.0861588","123.0892241","129.0162506","130.048111"
"1","1L","Inj",159710.6523,284755.3514,65845.65485,272439.9834,633359.8311,101421.122,3249.439366,90043.30317
"2","1R","CtInj",174395.4393,306923.9494,77487.59475,124246.262,532921.2131,348309.3244,3288.352686,84772.45111
"3","4L","CtInj",162220.348,363709.8107,61513.62734,256654.3168,595559.9284,1640339.633,7211.147664,88830.60073
"4","4R","Inj",141808.935,309587.306,53980.89243,154752.3834,726672.0698,556706.8035,7357.332263,117656.4514
"5","5L","CtInj",88289.6308,321137.7123,61153.35089,396894.6598,316693.257,225430.4103,3804.6246,201598.9726
"6","5R","Inj",167030.693,330793.174,61670.58269,217830.2311,330555.2325,60731.13791,0,176568.364
"7","6L","CtInj",169667.2379,267874.6564,68756.20247,409109.3889,301011.1346,84607.34258,0,170670.2113
"8","6R","Inj",173486.7082,280958.5429,69706.83602,356077.6382,564957.0394,258692.6776,1370.8509,267288.4254
"9","8L","Inj",152718.583,328705.7891,67034.56471,273056.0822,295913.8947,613776.5097,7583.004016,132589.3295
"10","8R","CtInj",174529.0958,362854.4268,67776.10199,48777.19889,286234.806,901368.8551,6896.864021,46559.78062
"11","31L","Inj",651750.2294,831597.7444,318650.3747,184402.6022,6339.656388,47960.07477,274301.6777,24844.55783
"12","31R","CtInj",508371.0582,1076989.294,234321.6556,260251.7594,4071.700551,36416.88929,283091.8009,2000.729512
"13","32L","Inj",463745.1936,1094656.14,190327.4897,415107.2926,5817.58799,19806.204,196527.7664,114595.3856
"14","32R","CtInj",480546.1918,1300919.275,197838.7311,739174.4711,3928.00923,24461.789,185359.3321,148337.1484
"15","33L","Sinj",465534.4093,1316854.193,215988.8397,63074.53385,3731.530114,19902.42985,232367.628,6766.273748
"16","34L","CtInj",479505.0636,1502281.863,230852.9106,151744.6262,4237.213529,19543.4108,182942.9224,39539.86222
"17","34R","Inj",598131.3818,1163214.791,221935.4273,152195.9519,3849.551975,27474.9191,252796.7788,47481.83122
"18","35R","Sinj",481278.7934,1600980.394,216515.3599,107709.0785,2364.488369,22819.94917,172969.4431,41357.4423
"19","37L","Sinj",533075.2353,1565810.646,175735.1129,163788.2036,3493.782322,14764.26643,144268.1073,39578.39489
"20","38L","CtInj",451385.478,1159023.382,213256.4243,453213.0406,2269.758158,24526.66821,162231.8118,70500.9339
"21","38R","Inj",484650.5559,1384592.256,199508.477,575263.8656,2208.319418,8152.767,80216.59286,139726.3828
"22","39L","CtInj",442546.2029,989500.0736,210291.2238,190797.5196,2682.778624,5370.441184,44345.3415,57200.26013
"23","39R","Inj",457400.496,1024775.487,215017.0073,68687.33111,3965.505065,19366.56413,203976.8566,34276.96286
"24","40R","Sinj",469023.7596,1217520.448,335283.2454,188498.4703,2560.884103,6029.455842,37894.3175,47502.74725
"25","45L","Sinj",541025.4037,1679405.338,197038.1173,0,3019676.503,3566609.853,77723.25845,0
"26","46L","Sinj",463101.9773,1238634.004,153941.427,9545.398889,1264853.198,1010752.121,20949.33718,0
"27","47R","Sinj",487625.2617,1368968.063,151300.402,17949.98282,1154674.983,2039666.154,9213.62809,9052.313814
"28","48R","Sinj",518955.5013,1400452.498,209161.8598,0,904980.1246,2080646.017,14084.72989,0
"29","49L","Sinj",411917.7822,1116444.858,157145.5123,6977.479367,940966.4604,2955217.092,29836.23086,7016.837088
"30","50R","Sinj",466883.2469,1427283.794,206927.9643,8736.639014,1165095.96,2928575.767,24294.26331,20347.50735
"31","51R","Sinj",405357.952,1086639.304,151062.5715,0,2227175.69,2568252.769,48745.99025,13558.71546
"32","52L","Sinj",664329.3086,1921644.91,238277.325,0,3018578.587,9248772.984,118528.9366,0
