"","A549_ACE2-COV2-1","A549_ACE2-COV2-2","A549_ACE2-COV2-3","MEF_B1-Cov2-1","MEF_B1-Cov2-2","MEF_B1-Cov2-3"
"Label","A549_ACE2COV","A549_ACE2COV","A549_ACE2COV","MEF_B1COV","MEF_B1COV","MEF_B1COV"
"103.9535141"," 0.4802554"," 1.2709567","-0.6584188"," 0.8794683","-1.0188129","-0.9534487"
"103.9535141.1","-0.7489429","-0.1699290","-1.5310075"," 0.8892952"," 0.9500969"," 0.6104872"
"105.9522705","-0.48686186","-1.12726186","-0.72861835"," 1.13509984"," 1.29073814","-0.08309591"
"105.9522705.1"," 1.12186804"," 0.81488650","-1.10592501"," 0.51518134","-0.08861793","-1.25739294"
"105.9522705.2","-1.2515720"," 0.5417256","-1.3204806"," 0.5909058"," 0.6445602"," 0.7948612"
"107.9664536"," 0.33982200"," 0.47179995"," 0.62600554","-1.97839023","-0.05350349"," 0.59426623"
"111.1144943","-0.4395931","-0.3497952","-1.6374013"," 0.8115269"," 0.6658467"," 0.9494159"
"116.0703964"," 0.1228877","-2.0094431"," 0.3056012"," 0.6430459"," 0.4812238"," 0.4566846"
"119.0834351","-0.0387875","-1.5337303","-0.3715788"," 1.2492241","-0.2467486"," 0.9416211"
"123.097496"," 0.6211034"," 0.8180474"," 0.8891161","-1.4601475","-1.0022388"," 0.1341194"
"124.9997177","-0.6878899","-0.2438647"," 0.0922907"," 1.3071365"," 0.9152623","-1.3829349"
"130.157196.1","-1.15292003","-1.31712735"," 0.08925243"," 0.89776356"," 0.63588778"," 0.84714361"
"132.1003571","-0.9129033","-0.9886481","-0.8217943"," 1.0140566"," 0.9657552"," 0.7435340"
"135.9212341","-1.3986029"," 0.3817903"," 0.3980885"," 1.1600193"," 0.5191393","-1.0604345"
"138.905426"," 0.6402905","-0.5658031","-1.0938113"," 1.6072830"," 0.1043074","-0.6922666"
"158.960907"," 0.3335588","-1.4140105","-0.9631722"," 0.3047157"," 0.4470447"," 1.2918635"
"158.960907.1","-0.004001946","-1.189052892","-1.137603095"," 0.227618057"," 0.931523973"," 1.171515903"
"162.1469421"," 0.9521055"," 1.0032698"," 0.7614646","-0.8513892","-0.7872954","-1.0781553"
"165.0516663","-0.6514133","-1.3343676","-0.6602031"," 0.9451406"," 0.9492418"," 0.7516017"
"169.9850006"," 0.8690981"," 1.0545455"," 0.7211790","-0.7165396","-0.6177771","-1.3105059"
"176.0645599","-0.6504815","-0.5040562","-1.4010424"," 1.0034417"," 1.0484838"," 0.5036546"
