"","A549_ACE2-COV2-1","A549_ACE2-COV2-2","A549_ACE2-COV2-3","MEF_B1-Cov2-1","MEF_B1-Cov2-2","MEF_B1-Cov2-3"
"Label","A549_ACE2COV","A549_ACE2COV","A549_ACE2COV","MEF_B1COV","MEF_B1COV","MEF_B1COV"
"103.9535141"," 939154.9","1292807.7"," 592732.4","1103604.7"," 512385.0"," 526102.3"
"103.9535141.1"," 533423.1"," 838629.4"," 289510.8","1918827.9","2012195.2","1543184.1"
"105.9522705","284650.8","181705.8","240281.0","887262.9","989532.5","377765.6"
"105.9522705.1","728127.9","592991.1","164122.9","485290.8","324067.2","148312.3"
"105.9522705.2"," 264470.9"," 912646.7"," 252178.4"," 944180.4"," 979826.9","1087011.8"
"107.9664536","324640.87","384374.21","468229.78"," 16710.11","196245.50","449592.31"
"111.1144943"," 28491.57"," 32145.20",NA,"153031.25","125826.38","184179.88"
"114.8931427","126831.8","164813.8","172796.0","133947.3","139228.2","120950.3"
"116.0703964","136577.8",NA,"156773.5","202248.7","178995.1","175710.3"
"119.0834351","113902.25"," 44432.52"," 92368.06","256314.28"," 99921.72","211178.98"
"120.0989075","163718.95","171330.78","173440.86","148024.86","182583.84"," 89891.39"
"123.097496","624940.66","824105.59","910621.16"," 33588.31"," 63904.57","315324.79"
"124.9997177","1423635","1635784","1817178","2657369","2350770","1145425"
"130.157196"," 61777.76"," 66232.01"," 59712.60"," 82125.94","108000.17"," 46479.02"
"130.157196.1"," 17088.71"," 12940.90","139989.21","550303.07","353217.10","505103.66"
"132.1003571","  34238.82","  29784.62","  40487.68","1186661.42","1085750.03"," 721366.34"
"135.9212341","141656.8","267165.5","268721.7","352551.9","280567.4","159799.1"
"138.905426","248506.11","130389.76"," 98315.74","416776.95","186579.80","121863.77"
"142.0297546"," 51610.92"," 77649.30"," 86205.29","127523.81"," 54344.05"," 68062.00"
"146.9794922"," 41507.87"," 52629.05"," 27388.61","124540.13","120093.59"," 42657.96"
"158.960907"," 540152.4"," 175215.5"," 234266.5"," 530208.2"," 581122.9","1001464.9"
"158.960907.1","158729.98"," 30598.75"," 32865.78","218976.72","582200.31","812572.83"
"162.1469421","1903815.34","2085431.61","1355753.03","  76696.94","  85970.42","  51214.63"
"164.1414337","36733.07","61971.97","69402.99","77125.37","24567.76","95038.53"
"165.0516663","  27340.931","   3514.529","  26628.531","3307461.104","3348456.772","1849379.932"
"165.1097565",NA,"40932.39","49310.73","40164.14","40486.44","44170.96"
"169.9850006","538374.07","662536.67","456243.57"," 91301.58","101970.84"," 46969.48"
"176.0645599"," 31851.93"," 37980.89"," 12923.04","232504.16","245437.71","127514.03"
"177.1090393"," 55355.21","133153.17"," 84882.77"," 45098.60"," 40305.81"," 40180.49"
"178.156601","18070.19","25938.95","35851.60","33097.37","28461.31","41175.78"
"179.0443268","403799.7","513295.0","589395.0","932584.3","704867.0","428538.0"
"184.0959167","531648.31","539303.38","434205.95","156289.55","107529.14"," 46527.28"
"184.0959167.1"," 5547169.14","10442447.86","13837262.73","   75407.83","   52408.00"," 8382414.17"
"185.0741577"," 860581.4"," 779703.3","1194703.3","1430051.4","1354906.1"," 622017.3"
"187.1047058","127933.6","133447.4","123324.5","217606.3","745229.2","466877.5"
"187.2234802","157808.6","153658.6","142611.9","475095.4","512439.2","687006.8"
"192.0993805","30585.56","33799.44","12577.86","73564.34","77635.99","50531.60"
"196.8620605","182031.3","244814.5","369836.6","563791.2","675495.2","480365.6"
"201.1053314"," 55487.86"," 89027.13"," 90429.85","812749.17","439875.75","366726.60"
"203.2167816","29955488.450","26041214.050","74245959.610","    9369.212","  423954.081","  283804.023"
"205.0655823","16188530","12830096","17201413"," 6235011"," 4492846"," 2149631"
"206.0678406","1255900.6","1079412.9","1450275.9"," 413197.2"," 341130.1"," 135831.1"
"206.0528717","161082.9","225130.6","184024.7","556738.1","517613.3","222349.8"
"206.8924255","116388.97","199421.16"," 49549.52","187916.94","159381.98","349366.83"
"208.8881836","205978.07"," 72587.23"," 32345.02","325448.04","111077.87","308289.03"
"212.2336884",NA,"458416.4","173572.5","124176.4","106651.2","201461.8"
"212.979126","18481.312","28887.116","20729.090","31435.696"," 8881.544","25614.761"
"215.1518555","245656.42","238334.02","156656.63"," 31269.81","121849.64"," 27312.80"
"217.1002502","140727.2","101913.0","145220.2","202599.2","291712.8","207162.8"
"217.1002502.1","1554423","1323593","2144679","1929360","1812483","1893606"
"218.2080994","172778.7","278114.2","198913.9","694178.1","109749.2","105695.5"
"218.2085266"," 50128.92"," 69608.22","100249.68","978581.88","320773.63","881805.17"
"219.2110443"," 36197.58","119242.12","125047.91","143017.98"," 37183.78"," 98451.69"
"220.2162933","818016.58","387709.41","672664.17","244808.59","103035.45"," 85220.59"
"223.1522827","  77689.814","  20496.881","   1034.096","1696099.421","1612809.488","1617812.985"
"226.9509583"," 189120.08","  45089.65","  39185.45","1113869.59","1151507.20","1743712.60"
"226.9509583.1"," 240984.9"," 590342.1"," 640293.9","4533606.7","3710435.8","4414756.8"
"227.1605835",NA,"34094.71","17619.63","85987.55","61863.63","80141.34"
"227.952774"," 72871.58"," 69714.92"," 76770.96","111181.28"," 78480.19","120845.49"
"229.1515503","114587.60"," 82643.37"," 77991.76","107407.19"," 53420.04"," 68650.45"
"230.2479095"," 545610.07","  91463.65"," 565291.41","4437378.76","2269029.04","6043556.51"
"231.1670685"," 102192.4"," 217088.2"," 111041.1","4563838.6","4695074.6","2876423.2"
"233.1489258","204686.8","292354.0","249801.6","441167.6","292023.7","197874.7"
"236.1642914"," 7866.912","14206.616","14422.369","26872.824","24430.459","23360.368"
"239.1452484","1120404.52","1779834.43","1653856.62","  96870.35","  81243.22"," 105114.12"
"242.0962067","154191.92"," 60906.32"," 81484.05","184324.12","154362.00","234724.46"
"242.9248505","232299.68","227281.45","180515.26"," 52565.77","141410.93","108622.24"
"243.9395447","  80243.1","  57028.5"," 105592.2"," 957201.9"," 607986.6","1046755.7"
"245.09729","307813.74","343861.27","826607.62"," 88875.93"," 31775.33"," 28832.33"
"245.1850433","   42649.5"," 1648003.7"," 3033989.4","50755791.9","47899056.2","51027658.0"
"245.266098"," 631935.1"," 745153.8","1197213.9"," 365751.3"," 313346.0"," 531963.7"
"247.154892","  32419.61","  41139.11","  42241.79","1561726.81","5809607.30","1061896.72"
"247.1876984",NA," 51012.66"," 27226.51","603516.46","683140.95","644126.29"
"253.1615448","292311.77","211955.02","153433.75","301860.10"," 97756.98","186789.81"
"254.2472992","134053.80"," 25519.75"," 75635.15","502827.39","249772.98","517657.39"
"258.1096802","320751.1","120946.8","419915.1","154705.4","206574.4","366494.2"
"258.1048279","141120.34"," 24489.97","516144.78","128007.06"," 24042.24"," 45162.64"
"258.8149109","502469.2","287227.3","458349.0","747984.1","942797.2","602462.4"
"259.1115417"," 108259.2"," 133576.8"," 176080.8","1324423.5","1322381.6"," 730294.3"
"259.2787781"," 13074.34"," 80744.75","132624.75"," 24922.55","268792.21","337603.33"
"260.1145935"," 15600.62"," 17096.55"," 35237.10","208661.80","218304.62","116695.59"
"260.9734802"," 12511.28"," 24475.05"," 19169.58"," 86967.13"," 28458.36","113457.59"
"261.1308289","1427182","1878704","3760257","3497066","3116462","2875533"
"262.2335205","141037.7","238349.7","473002.7","171146.9","214171.5","300925.8"
"263.2361755","402384.34","253404.29","266373.08","149044.31","106673.46"," 33346.71"
"264.140564"," 47824.21"," 23830.69"," 62561.76","120624.56"," 52593.75"," 98761.83"
"267.167511","159136.80","190349.18","268840.73"," 54325.90"," 51591.13"," 55978.22"
"267.178894"," 52915.83","854883.93","512570.49","721755.98","624433.53","746057.90"
"268.2080078","195507.89","131935.73"," 82319.33","112904.55","815596.66","738063.49"
"270.795166"," 62741.66"," 89845.43"," 85071.39"," 86839.56","152715.45"," 92013.33"
"272.2565308","280274.9","332810.1","120376.1","286879.8","506325.7","275426.1"
"273.1869507","124496.47"," 91398.30"," 43822.01","256312.40"," 21964.94"," 44023.43"
"274.2736206","2.341176e+07","1.806489e+07","8.207556e+03","1.390598e+08","8.133577e+06","2.581766e+07"
"274.2744751","  2314359","  3750825","  3828785","113341199"," 28335912"," 80259365"
"275.1440125","  87762.86",NA,"  56318.75","1759331.70","1241134.48"," 540639.76"
"275.3921509","1105042.5","1906002.1","1423975.8","1387552.6"," 284583.3","3275633.7"
"276.2767334"," 129230.6"," 174594.4"," 188237.0"," 516072.3"," 485224.8","1261721.9"
"276.2767334.1"," 565597.4"," 420905.7"," 132836.2","2546560.7"," 878555.6","1821574.5"
"277.2826233"," 94495.94","150626.51","170342.93","154004.37"," 69049.75","128797.09"
"281.2637939"," 36387.81","222332.95"," 31925.88"," 50991.35"," 51596.05"," 29691.99"
"284.3293152"," 47698.16","110417.17","111573.72","410666.01","470569.96","107798.62"
"284.3293152.1"," 68243.36"," 53660.91"," 54093.84"," 79498.77"," 34566.64","136054.72"
"285.2087097","203596.11","150660.52"," 27416.64"," 64092.07"," 61270.26"," 49548.66"
"287.1443481","162513.477","  2097.763","113167.854","124742.045"," 62169.562"," 64888.249"
"289.1988525"," 1350569.7","  470529.5","  826967.7"," 2735064.1","11727712.7","  185830.9"
"290.2762756"," 299328.0"," 389137.0"," 151746.4","3625199.4","1174944.5","1758220.7"
"294.9353333","57557.95","57312.77","59339.61","61645.37","51019.06","43148.03"
"297.1903687"," 57880.17","260100.55",NA,"684237.61","231234.71","241197.94"
"297.2573242","127683.09","155288.36"," 87136.32","847395.00","583151.59","979888.89"
"301.2038269"," 198017.57"," 130525.96","  81146.57","1380262.81","  37030.35"," 635072.07"
"302.3033752"," 24595.64"," 46953.33"," 71718.07","133037.35","641891.80","107422.30"
"303.3079834"," 43984.08"," 91756.57","121639.25","467781.34","156766.97","343954.14"
"304.3071289","349821.39","112594.73","111282.21"," 59538.94"," 20588.66"," 95892.13"
"305.1692505","1387930","3811110","5313912","3339605","1923097","2075699"
"306.1603394"," 126727.8"," 777561.3","1039057.6"," 367408.6"," 275073.7"," 154104.7"
"307.1835327"," 38001.54"," 88811.44","178119.85"," 74924.53"," 59777.22"," 50602.01"
"308.0874023","1673510","2439083","2401868","4202426","2905844","1869611"
"312.7811584"," 73915.71","132346.05","127910.77","195695.78","232792.79","163926.77"
"314.7771912","213852.47","113997.60"," 86445.82","307202.64","372718.83","274007.72"
"315.0969849","    7985.216","    8709.990",NA," 8667857.919","14180009.280","46368517.490"
"316.7733765"," 66676.89","133554.31"," 60438.75","214636.94"," 98337.25","162096.09"
"318.4022522","423041.8","995515.3","581108.5","567404.5","686375.0","572799.5"
"319.1722412","1134251",NA,"1425546","2535605","1849990","1121173"
"319.303894","116931.79","226271.17","235305.50"," 78905.73"," 39693.68","153544.71"
"320.0749512","63928.60","85830.68","71184.49","29025.23","32490.40","31581.04"
"320.3052063"," 19592.81","119144.63"," 89670.59","394998.73","318062.76","104792.68"
"321.3069458","20939.23","34363.38","71560.17","79308.58","27908.38","85688.46"
