"","filter","A549_ACE2-COV2-1","A549_ACE2-COV2-2","A549_ACE2-COV2-3","MEF_B1-Cov2-1","MEF_B1-Cov2-2","MEF_B1-Cov2-3"
"103.9535141",331802.719588447,939154.8829,1292807.731,592732.3779,1103604.699,512385.0193,526102.3122
"103.9535141.1",734488.43884406,533423.1045,838629.4419,289510.8168,1918827.874,2012195.223,1543184.092
"105.9522705",351978.818187214,284650.7608,181705.7707,240281.0156,887262.936,989532.5054,377765.5952
"105.9522705.1",235215.460739885,728127.8506,592991.1071,164122.9316,485290.8026,324067.2178,148312.2564
"105.9522705.2",377764.068764409,264470.9329,912646.7023,252178.374,944180.3763,979826.9111,1087011.794
"107.9664536",172719.162914792,324640.8685,384374.2113,468229.7808,16710.1074,196245.5046,449592.3109
"111.1144943",75292.408692324,28491.56863,32145.1956,5698.313726,153031.252,125826.376,184179.8806
"114.8931427",21011.2678627707,126831.7517,164813.8046,172795.9943,133947.2824,139228.2447,120950.3489
"116.0703964",62330.8976351251,136577.7622,27315.55244,156773.5404,202248.7065,178995.0905,175710.32
"119.0834351",80255.7905032962,113902.2546,44432.5175,92368.0576,256314.2764,99921.72444,211178.9824
"120.0989075",33856.349266905,163718.945,171330.7756,173440.8578,148024.8554,182583.8392,89891.38747
"123.097496",380121.348230548,624940.6641,824105.5875,910621.1646,33588.30567,63904.56889,315324.7868
"124.9997177",570435.28286677,1423634.805,1635783.723,1817178.009,2657369.398,2350769.868,1145424.952
"130.157196",21581.4728100184,61777.76338,66232.00646,59712.60218,82125.94182,108000.167,46479.02222
"130.157196.1",239762.325696386,17088.7122,12940.9,139989.2074,550303.0738,353217.0978,505103.6595
"132.1003571",549761.312146075,34238.82286,29784.61571,40487.67983,1186661.424,1085750.031,721366.3386
"135.9212341",79781.5141767035,141656.8313,267165.4765,268721.6938,352551.8902,280567.375,159799.0565
"138.905426",119008.19090121,248506.1056,130389.7629,98315.74133,416776.9496,186579.7961,121863.7742
"142.0297546",27834.0752301279,51610.91625,77649.29775,86205.288,127523.8143,54344.05143,68062.0005
"146.9794922",42755.1645131713,41507.86557,52629.05012,27388.60643,124540.1277,120093.5919,42657.96309
"158.960907",295304.060671362,540152.4422,175215.4538,234266.5478,530208.22,581122.9118,1001464.939
"158.960907.1",320191.287303001,158729.9774,30598.74797,32865.78286,218976.7236,582200.3051,812572.8318
"162.1469421",967192.389883945,1903815.343,2085431.612,1355753.029,76696.944,85970.42483,51214.6334
"164.1414337",26100.4677982957,36733.07125,61971.96922,69402.993,77125.37236,24567.756,95038.53109
"165.0516663",1634192.85531077,27340.93143,3514.529016,26628.53071,3307461.104,3348456.772,1849379.932
"165.1097565",14693.5606910041,8032.828858,40932.39286,49310.7255,40164.14429,40486.44137,44170.95625
"169.9850006",267537.327144892,538374.0747,662536.6697,456243.5676,91301.58222,101970.8369,46969.48208
"176.0645599",104156.17515039,31851.931,37980.89225,12923.03518,232504.1643,245437.7107,127514.0317
"177.1090393",36719.6134353712,55355.21385,133153.1717,84882.7686,45098.59663,40305.80714,40180.49
"178.156601",8109.13841517988,18070.18714,25938.94638,35851.6,33097.3734,28461.31167,41175.77917
"179.0443268",198497.961599049,403799.6704,513295.0122,589395.0126,932584.3297,704866.9965,428537.9788
"184.0959167",223984.09260569,531648.312,539303.3764,434205.9484,156289.5471,107529.1374,46527.282
"184.0959167.1",5596486.02422294,5547169.136,10442447.86,13837262.73,75407.83322,52408.00033,8382414.166
"185.0741577",331630.324566548,860581.3904,779703.3375,1194703.259,1430051.45,1354906.086,622017.2994
"187.1047058",253531.896846096,127933.5619,133447.3877,123324.4925,217606.2794,745229.24,466877.4823
"187.2234802",234081.076766981,157808.5952,153658.597,142611.87,475095.4333,512439.207,687006.8135
"192.0993805",25625.9711374868,30585.55571,33799.4415,12577.86225,73564.344,77635.98975,50531.598
"196.8620605",189436.493678138,182031.3229,244814.4911,369836.6306,563791.2482,675495.2326,480365.6404
"201.1053314",294840.095995789,55487.86347,89027.12683,90429.84527,812749.166,439875.7527,366726.5965
"203.2167816",29085350.0273947,29955488.45,26041214.05,74245959.61,9369.2116,423954.0807,283804.0227
"205.0655823",6390056.98811178,16188530.03,12830096.47,17201412.99,6235011.353,4492845.687,2149630.758
"206.0678406",549090.309843176,1255900.593,1079412.854,1450275.889,413197.1619,341130.1227,135831.105
"206.0528717",177147.621589315,161082.9279,225130.6461,184024.7203,556738.1451,517613.3103,222349.8209
