"","PC1","PC2","PC3","PC4","PC5","PC6"
"103.9535141",-0.017035,-0.052707,-0.066563,0.0095958,0.086328,-0.69668
"103.9535141.1",0.048091,0.009401,-0.013801,-0.028002,0.060347,-0.33187
"105.9522705",0.048061,-0.011016,-0.019817,-0.04727,-0.036668,0.18877
"105.9522705.1",-0.013599,-0.025789,-0.092669,-0.053992,0.057253,-0.051853
"105.9522705.2",0.039221,0.0042252,0.02227,-0.011904,0.10247,0.5605
"107.9664536",-0.034568,0.061217,0.054874,-0.0017531,0.0010237,0.018828
"111.1144943",0.046861,0.025615,-0.02797,-0.0061829,0.05649,-0.023138
"116.0703964",0.031806,0.014029,-0.016187,0.018236,-0.1203,0.010233
"119.0834351",0.039987,0.0073318,-0.039366,0.06496,-0.053357,-0.0015061
"123.097496",-0.048959,0.025779,0.026923,0.034632,0.0094007,0.0078778
"124.9997177",0.02223,-0.07365,-0.0053845,-0.064162,-0.028823,-0.0019525
"130.157196.1",0.047714,-0.0023986,0.034581,0.024829,-0.052488,-0.004446
"132.1003571",0.054053,0.0058581,0.0037778,-0.0073247,-0.0071962,-0.00049809
"135.9212341",0.017644,-0.083176,0.038028,-0.034623,0.01063,0.0041203
"138.905426",0.024819,-0.033293,-0.099231,-0.018242,-0.0045353,0.0029326
"158.960907",0.037612,0.058443,-0.037078,0.02104,-0.033061,-0.0038114
"158.960907.1",0.042875,0.056339,-0.020915,-0.0089748,-0.015058,0.015904
"162.1469421",-0.053056,-0.016649,-0.011987,-0.010691,0.0045425,0.0068781
"165.0516663",0.052348,0.012467,-0.0036748,-0.0038551,-0.035765,-0.010355
"169.9850006",-0.050974,-0.026306,-0.012932,-0.024844,0.006096,0.013752
"176.0645599",0.050649,0.0069174,-0.01946,-0.030957,0.033919,0.015052
"179.0443268",0.03187,-0.074325,0.0074715,-0.031364,-0.020197,-0.0074677
"184.0959167",-0.046875,-0.041097,-0.027415,-0.02232,-0.0022914,0.0053679
"184.0959167.1",-0.041431,0.028989,0.026549,0.070258,0.017421,0.00034725
"185.0741577",0.017278,-0.06591,-0.0027403,-0.060013,-0.076679,-0.00042487
"187.1047058",0.042746,0.043557,0.031938,-0.045451,0.00079846,-0.001353
"187.2234802",0.051774,0.027508,0.0076944,0.0080138,0.010206,-0.0019727
"196.8620605",0.0477,-0.012163,0.050142,-0.016351,-0.027412,-0.0047775
"201.1053314",0.053468,-0.015241,0.0080479,0.0022886,0.0068467,0.0079091
"203.2167816",-0.052109,0.01439,0.023925,-0.013055,-0.015814,-0.013186
"205.0655823",-0.045616,-0.043924,-0.0237,-0.018422,-0.029338,-0.00087378
"206.0678406",-0.046344,-0.04244,-0.017289,-0.024156,-0.027173,-0.00088364
"206.0528717",0.044915,-0.038552,-0.0027321,-0.053235,0.010033,-0.0071489
"206.8924255",0.030794,0.037557,-0.017729,0.019055,0.10857,-0.009438
"208.8881836",0.034184,0.028692,-0.078469,0.035395,0.030577,0.0016524
"212.2336884",0.0044107,-0.027844,0.091019,0.024917,0.088664,-0.020087
"215.1518555",-0.045857,-0.0027009,-0.0042623,-0.072169,-0.0016351,0.00032249
"217.1002502",0.046178,0.02253,0.0098984,-0.038469,-0.057291,0.0043951
"217.1002502.1",0.024545,-0.011336,0.040321,0.041837,-0.11802,-0.026837
"218.2080994",0.0049745,-0.085211,-0.045396,0.032332,0.0283,0.006924
"218.2085266",0.05161,-0.00075817,0.012421,0.039717,0.0033405,-0.0070488
"220.2162933",-0.044942,-0.036192,-0.040211,0.011696,-0.038787,-0.0091022
"223.1522827",0.047075,0.028119,-0.039547,-0.01596,0.033859,-0.0012725
"226.9509583",0.049713,0.033352,-0.025838,0.00039753,-0.004396,0.014523
"226.9509583.1",0.052194,-0.00075607,0.031649,0.0084186,0.012005,-0.0060903
"230.2479095",0.047772,0.021267,-0.0079737,0.032705,-0.05288,-0.013725
"231.1670685",0.053427,0.0040766,0.0079965,-0.013605,0.01984,0.0048429
"233.1489258",0.024374,-0.083011,-0.011923,-0.025358,0.026415,-0.0061542
"239.1452484",-0.053275,-0.016801,0.0040578,0.010384,0.0054792,0.0052376
"242.0962067",0.040272,0.043629,-0.046752,0.027899,-0.038609,0.00020176
"242.9248505",-0.04727,0.034125,0.01553,-0.042989,0.0082915,-0.0027791
"243.9395447",0.052945,0.012405,0.0056684,0.020125,-0.015008,0.0083774
"245.09729",-0.047186,-0.043292,-0.00097336,0.018466,-0.02661,0.0095658
"245.1850433",0.046738,-0.012009,0.059243,0.0076864,0.01346,0.0096823
"245.266098",-0.045199,-0.0090716,0.040302,0.055267,-0.023801,0.011964
"247.154892",0.051895,0.0096376,0.013909,-0.034153,-0.0039181,-0.0052467
"247.1876984",0.050404,-0.0014348,0.038722,-0.0026218,0.030435,0.0015264
"253.1615448",-0.0089258,-0.023685,-0.092074,0.074481,0.033254,0.0061196
"254.2472992",0.046673,0.022869,-0.02893,0.031163,-0.048513,-0.005733
"258.1096802",-0.0097092,0.04988,0.020243,0.050685,-0.11388,-0.0088685
"258.1048279",-0.017348,-0.034484,-0.010316,0.061598,-0.11595,-0.0025239
"258.8149109",0.044594,0.011686,-0.014516,-0.037684,-0.072766,-0.0032078
"259.1115417",0.05349,-0.0048661,0.013201,-0.015227,-0.0090487,-0.013823
"259.2787781",0.016483,0.036111,0.10704,-0.0093068,0.0088387,-0.0024663
"260.1145935",0.052555,-0.0060504,0.019994,-0.012072,-0.024702,-0.017008
"261.1308289",0.031563,-0.036509,0.072111,0.021555,-0.060206,-0.017705
"262.2335205",-0.009917,-0.0034444,0.10989,0.044337,-0.036058,-0.015519
"263.2361755",-0.040188,-0.045383,-0.044675,-0.037339,-0.025343,0.0091494
"267.167511",-0.051972,-0.020735,0.016587,0.013769,-0.015919,0.0017933
"267.178894",0.025753,-0.031934,0.087051,0.012815,0.060994,0.0072064
"268.2080078",0.028771,0.075726,0.017102,-0.040426,0.013127,-0.014644
"272.2565308",0.024795,0.026037,-0.032291,-0.085417,0.077826,0.0073796
"273.1869507",-0.0022175,-0.050171,-0.089111,0.053058,0.034969,0.006911
"274.2736206",0.026344,0.013938,-0.077495,-0.0064885,0.090796,0.0093373
"274.2744751",0.052692,-0.0010402,0.0053057,0.030339,0.012546,-0.00075775
"275.1440125",0.05061,0.0055983,-0.019674,-0.0084714,-0.048785,-0.0025001
"275.3921509",-0.010291,0.0061052,0.0046686,0.12379,0.053713,0.005705
"276.2767334",0.047175,0.030082,0.030858,0.037545,0.015435,-0.012531
"276.2767334.1",0.045426,0.013668,-0.050301,0.0196,0.046932,-0.0047478
"281.2637939",-0.014673,-0.034972,0.0093779,-0.043942,0.12862,-0.0027546
"284.3293152",0.042642,-0.041718,0.025437,-0.053622,-0.0011915,0.0058893
"285.2087097",-0.020108,0.016082,-0.086335,-0.037753,0.079369,0.011577
"287.1443481",0.016853,0.01125,-0.039816,0.023552,-0.13482,0.0088266
"289.1988525",0.019052,-0.028136,-0.02425,-0.10738,-0.054484,0.0042065
"290.2762756",0.051014,-0.002891,-0.025299,0.013179,0.039542,-0.0041923
"297.1903687",0.037923,-0.007767,-0.033277,-0.011687,0.10118,-0.00044754
"297.2573242",0.052055,0.016766,-0.0053558,0.012744,0.03148,-0.011946
"301.2038269",0.023255,-0.013889,-0.055119,0.10041,0.031889,0.030259
"302.3033752",0.041138,-0.00079558,0.049944,-0.066618,-0.020397,-0.017124
"303.3079834",0.046787,-0.020925,0.028192,0.052955,0.011529,0.0058019
"304.3071289",-0.038854,0.017526,-0.057173,0.065941,-0.0028032,-0.00033
"305.1692505",-0.010679,-0.071643,0.071289,0.03866,0.0053305,-0.0035597
"306.1603394",-0.018499,-0.070245,0.073512,-0.0022934,0.01077,0.014664
"308.0874023",0.031342,-0.077371,0.0058552,-0.024571,0.0066938,0.016777
"312.7811584",0.044671,-0.020681,0.056614,-0.030648,0.018252,-0.0022393
"314.7771912",0.044882,0.030364,-0.048049,-0.034848,-0.00085323,-0.0022384
"315.0969849",0.051926,0.025723,0.00077604,0.00013394,0.019887,-0.0069028
"316.7733765",0.038378,-0.019255,-0.011153,0.039754,0.09402,-0.0030664
"318.4022522",-0.0035487,-0.027119,0.06819,-0.039071,0.11248,0.016269
"319.1722412",0.033535,-0.0081247,-0.022339,0.0020815,-0.11804,-0.00031253
"319.303894",-0.037427,-0.0067031,0.034187,0.085872,0.030635,-0.0093815
"320.3052063",0.040963,-0.046493,0.044374,-0.02798,0.026826,-0.0089625
"330.0697937",0.049899,-0.032295,-0.012034,-0.023714,0.011879,0.0048631
"330.3352051",0.012752,0.02353,-0.091687,0.022508,0.084906,-0.0008284
"331.0751953",0.049583,-0.028956,-0.01488,-0.029415,0.01984,-0.0055756
"332.3293152",0.038595,-0.0045932,-0.078073,0.035291,0.021352,0.011118
"332.3293152.1",0.034769,0.034292,-0.082864,-0.011474,0.0072844,-0.0022008
"333.1845398",0.050844,-0.022657,0.024543,-0.0005786,0.026714,-0.0085951
"333.3318176",0.038471,-0.0045429,-0.078391,0.03277,0.026102,0.004178
"334.3358154",0.038785,-0.045071,0.054141,0.018601,0.038745,-0.017528
"335.1693726",-0.044349,-0.047324,-0.0094668,0.038335,-0.016475,-0.01245
"340.2810974",0.051774,-0.0077754,-0.02568,0.02721,-0.0038793,0.0056996
"340.3837585",0.034515,-0.068203,-0.019788,-0.037039,-0.011626,0.0094181
"341.2839661",0.051317,0.0015713,0.0078872,0.041969,0.012565,-0.0054807
"342.285675",0.0039394,-0.070101,0.082062,0.016212,0.019023,0.027965
"343.2901611",-0.053561,0.010969,0.0091988,-0.013001,0.0012752,-0.0025248
"345.2273254",-0.039873,-0.044243,-0.05417,-0.030582,0.014408,0.010302
"346.0471497",-0.010644,-0.089134,-0.0057049,0.041303,0.026947,-0.0070851
"347.0506592",0.045706,0.0011701,0.061255,0.015858,0.026071,-0.014991
"347.2075195",0.047991,0.016787,-0.048855,-0.01319,0.022627,-0.0093404
"349.29599",-0.042324,-0.050575,0.041037,0.014538,0.00036267,0.0077664
"352.0522156",0.052779,-0.016826,-1.1215e-05,-0.014483,0.01871,-0.00040578
"356.3511047",-0.0036725,0.031592,-0.027845,0.025281,-0.13915,-0.016746
"358.237793",0.00080732,-0.052884,-0.013413,0.10902,0.032147,0.012243
"360.361969",0.044027,-0.0060119,-0.054077,0.034619,0.043596,-0.0010023
"362.3254395",0.030117,0.012607,-0.043868,0.038135,0.10619,0.001196
