"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"103.9535141",-0.018506,-0.060334,-0.016475,0.098119,0.026272
"103.9535141.1",0.048396,0.0068971,0.013355,0.063249,-0.0051805
"105.9522705",0.047812,-0.017028,-0.0070908,-0.0027748,-0.060876
"105.9522705.1",-0.014479,-0.03639,-0.033427,0.11212,-0.047998
"105.9522705.2",0.039547,0.010045,0.05221,0.069419,0.033918
"107.9664536",-0.03295,0.07357,0.026893,-0.026503,0.011408
"111.1144943",0.047463,0.018812,-0.012737,0.062748,0.0093571
"116.0703964",0.032002,0.0023735,-0.060347,-0.087378,-0.033783
"119.0834351",0.039939,-0.0094184,-0.074199,-0.03764,0.028159
"123.097496",-0.048341,0.032664,0.0045758,-0.017367,0.040721
"124.9997177",0.020553,-0.072597,0.033773,-0.0037403,-0.069115
"130.157196.1",0.047783,-0.0031473,0.0056549,-0.067812,0.010234
"132.1003571",0.054276,0.0023585,0.00191,-0.0050716,-0.0084431
"135.9212341",0.015901,-0.073591,0.0747,-0.0082397,-0.017277
"138.905426",0.023696,-0.052654,-0.067369,0.057217,-0.041286
"158.960907",0.038843,0.044968,-0.067467,-0.0068049,-0.0030606
"158.960907.1",0.044176,0.048056,-0.037197,0.0067446,-0.01911
"162.1469421",-0.053546,-0.013644,0.00029908,0.012643,-0.010527
"165.0516663",0.05267,0.0062502,-0.016261,-0.023278,-0.01811
"169.9850006",-0.051674,-0.022588,0.0081394,0.018131,-0.022726
"176.0645599",0.050861,0.0023075,0.0025955,0.047061,-0.019276
"179.0443268",0.030207,-0.073212,0.035823,-0.014671,-0.033482
"184.0959167",-0.047985,-0.040707,-0.0025696,0.018372,-0.027019
"184.0959167.1",-0.040764,0.033339,-0.0069627,-0.021774,0.075489
"185.0741577",0.015748,-0.066224,0.01773,-0.04264,-0.083191
"187.1047058",0.044006,0.048318,0.029055,-0.001137,-0.032997
"187.2234802",0.052516,0.024369,-0.0021356,0.002592,0.012707
"196.8620605",0.047667,-0.0063496,0.043958,-0.045547,-0.013162
"201.1053314",0.053208,-0.017583,0.013195,-0.001047,0.0066749
"203.2167816",-0.051737,0.022991,0.015116,-0.020957,-0.012153
"205.0655823",-0.046801,-0.044189,-0.007944,-0.0058118,-0.033014
"206.0678406",-0.047462,-0.041025,-0.00036952,-0.0059939,-0.035795
"206.0528717",0.044121,-0.038448,0.032299,0.023227,-0.044063
"206.8924255",0.031708,0.034333,-0.0015082,0.089643,0.054206
"208.8881836",0.034578,0.0097512,-0.078674,0.059425,0.024562
"212.2336884",0.0041506,-0.008492,0.10329,0.0060027,0.077973
"215.1518555",-0.04591,0.0044259,0.022139,0.023224,-0.066041
"217.1002502",0.046808,0.020445,-0.002343,-0.036288,-0.054119
"217.1002502.1",0.024327,-0.012636,-0.012197,-0.12698,0.0016995
"218.2080994",0.002776,-0.093729,-0.013249,0.032592,0.029538
"218.2085266",0.05166,-0.0047273,-0.0021468,-0.016858,0.03968
"220.2162933",-0.046051,-0.04194,-0.037817,-0.01231,-0.013712
"223.1522827",0.047687,0.018756,-0.026576,0.055273,-0.010807
"226.9509583",0.050457,0.023807,-0.033919,0.013435,-0.0076672
"226.9509583.1",0.052363,0.0010943,0.027666,-0.011685,0.019614
"230.2479095",0.048223,0.011593,-0.040791,-0.04458,0.0068854
"231.1670685",0.053651,0.0029,0.016308,0.014986,-0.0026702
"233.1489258",0.022448,-0.083366,0.034083,0.029743,-0.014777
"239.1452484",-0.05373,-0.011961,0.0066763,-0.0023646,0.012443
"242.0962067",0.041107,0.027705,-0.074815,-0.0084959,-0.0012571
"242.9248505",-0.046406,0.043197,0.019362,0.012712,-0.031746
"243.9395447",0.05329,0.0072964,-0.010673,-0.020165,0.013468
"245.09729",-0.048311,-0.041237,-0.0012628,-0.028108,0.0063352
"245.1850433",0.046744,-0.0042196,0.055233,-0.026924,0.026124
"245.266098",-0.045395,-0.0019647,0.010085,-0.058931,0.049805
"247.154892",0.052279,0.0099105,0.019641,7.9108e-05,-0.028762
"247.1876984",0.050609,0.0033001,0.043219,0.0016816,0.018506
"253.1615448",-0.0099179,-0.043228,-0.086137,0.054079,0.057607
"254.2472992",0.047085,0.0095484,-0.057102,-0.028605,0.0022141
"258.1096802",-0.00861,0.046181,-0.051163,-0.11121,0.0060284
"258.1048279",-0.018382,-0.042818,-0.05373,-0.10373,0.0083055
"258.8149109",0.044858,0.0046027,-0.024216,-0.034969,-0.06506
"259.1115417",0.053504,-0.0059693,0.015588,-0.010143,-0.013907
"259.2787781",0.01779,0.05546,0.084186,-0.049789,0.020175
"260.1145935",0.052551,-0.0065815,0.015911,-0.027061,-0.015478
"261.1308289",0.030952,-0.028448,0.047194,-0.096405,0.013459
"262.2335205",-0.0096614,0.014149,0.067116,-0.10466,0.051778
"263.2361755",-0.041458,-0.048742,-0.017213,0.01504,-0.053323
"267.167511",-0.052489,-0.014611,0.010942,-0.027216,0.010248
"267.178894",0.025401,-0.015331,0.097411,-0.0093977,0.055646
"268.2080078",0.030717,0.078474,0.0078785,0.017262,-0.027508
"272.2565308",0.025473,0.02575,0.017755,0.10592,-0.054215
"273.1869507",-0.003788,-0.067924,-0.066863,0.05864,0.040018
"274.2736206",0.026479,0.0009218,-0.040325,0.11686,0.010598
"274.2744751",0.052726,-0.0055137,-0.0019808,-0.0028601,0.033157
"275.1440125",0.050702,-0.0036488,-0.02972,-0.023022,-0.030966
"275.3921509",-0.010248,0.0024152,-0.025862,0.00069866,0.13217
"276.2767334",0.04803,0.030097,0.0076091,-0.015664,0.046538
"276.2767334.1",0.04562,0.001003,-0.039568,0.059641,0.023501
"281.2637939",-0.015332,-0.023774,0.073108,0.10427,0.012556
"284.3293152",0.041872,-0.036465,0.053816,-0.0016439,-0.042026
"285.2087097",-0.019986,0.0064584,-0.040994,0.12296,-0.0238
"287.1443481",0.016855,-0.0045532,-0.08557,-0.086675,-0.040179
"289.1988525",0.018403,-0.02953,0.010616,0.0035865,-0.12231
"290.2762756",0.050924,-0.010911,-0.013023,0.040553,0.020962
"297.1903687",0.037746,-0.012259,0.0089504,0.099604,0.020549
"297.2573242",0.052503,0.011852,-0.0049301,0.024252,0.022071
"301.2038269",0.022647,-0.030729,-0.067708,0.024391,0.088908
"302.3033752",0.041429,0.0086177,0.059893,-0.023923,-0.055465
"303.3079834",0.046407,-0.021682,0.015467,-0.024985,0.058504
"304.3071289",-0.038791,0.0054277,-0.078113,0.011588,0.044141
"305.1692505",-0.012147,-0.058287,0.071318,-0.053249,0.053902
"306.1603394",-0.019882,-0.053199,0.088791,-0.037697,0.019947
"308.0874023",0.029612,-0.07582,0.041065,0.0045385,-0.017467
"312.7811584",0.044508,-0.010605,0.070827,-0.010499,-0.0068229
"314.7771912",0.045507,0.019287,-0.038132,0.039579,-0.043008
"315.0969849",0.052615,0.022143,-0.0017032,0.016286,0.0077598
"316.7733765",0.037951,-0.022778,0.011017,0.064879,0.069034
