"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"1320.088989",1.3417,1.3349,1.3347,1.3347,1.3347
"702.5635986",1.3413,1.3346,1.3344,1.3344,1.3344
"752.5133667",1.341,1.3347,1.3345,1.3345,1.3345
"132.1003571",1.3406,1.3338,1.3337,1.3337,1.3337
"239.1452484",1.3389,1.3324,1.3322,1.3322,1.3322
"162.1469421",1.3374,1.3311,1.3309,1.3309,1.3309
"701.5592041",1.3369,1.3302,1.33,1.33,1.33
"1022.304831",1.3347,1.328,1.3278,1.3278,1.3278
"1086.253174",1.3338,1.3272,1.327,1.327,1.327
"459.3261414",1.3335,1.3269,1.3268,1.3267,1.3267
"794.6052856",1.3312,1.3246,1.3244,1.3244,1.3244
"774.6852296",1.3312,1.3245,1.3243,1.3243,1.3243
"665.4653931",1.3304,1.325,1.3248,1.3248,1.3248
"736.5427246",1.3302,1.324,1.3238,1.3238,1.3238
"231.1670685",1.3291,1.3225,1.3223,1.3223,1.3223
"482.358551",1.3288,1.3221,1.322,1.3219,1.3219
"187.2234802",1.3267,1.3214,1.3212,1.3212,1.3212
"315.0969849",1.3266,1.3211,1.3209,1.3209,1.3209
"785.5872803",1.3242,1.3181,1.3179,1.3179,1.3179
"660.1396539",1.3241,1.3175,1.3174,1.3174,1.3174
"1028.299683",1.3228,1.3162,1.316,1.316,1.316
"750.58052",1.3227,1.316,1.3159,1.3158,1.3158
"1026.302898",1.3216,1.3151,1.3149,1.3149,1.3149
"783.5708008",1.3206,1.3152,1.3151,1.3151,1.3151
"243.9395447",1.3204,1.3138,1.3136,1.3136,1.3136
"1318.089722",1.3199,1.3134,1.3132,1.3132,1.3132
"816.7167358",1.3192,1.3126,1.3124,1.3124,1.3124
"589.4616089",1.3191,1.3137,1.3135,1.3135,1.3135
"1314.088513",1.3189,1.3125,1.3123,1.3123,1.3123
"788.4709242",1.3188,1.3122,1.312,1.312,1.312
"762.5927734",1.3181,1.3115,1.3114,1.3113,1.3113
"813.7991146",1.3174,1.3108,1.3106,1.3106,1.3106
"736.5763812",1.3168,1.3102,1.3101,1.31,1.31
"1142.215332",1.3162,1.3102,1.3101,1.3101,1.3101
"431.1068115",1.3158,1.3097,1.3095,1.3095,1.3095
"782.6946278",1.3157,1.3094,1.3092,1.3092,1.3092
"761.5906804",1.3156,1.3092,1.309,1.309,1.309
"808.5823364",1.3154,1.3097,1.3095,1.3095,1.3095
"734.5097656",1.3145,1.308,1.3079,1.3079,1.3079
"780.6074535",1.3136,1.3087,1.3085,1.3085,1.3085
"733.5581055",1.3135,1.3071,1.3069,1.3069,1.3069
"709.5128784",1.3133,1.3067,1.3065,1.3065,1.3065
"759.8005981",1.3132,1.3077,1.3075,1.3075,1.3075
"614.6008758",1.3131,1.3066,1.3064,1.3064,1.3064
"259.1115417",1.3125,1.3059,1.3057,1.3057,1.3057
"267.167511",1.3119,1.3057,1.3055,1.3055,1.3055
"809.5863037",1.3107,1.3043,1.3041,1.3041,1.3041
"297.2573242",1.3096,1.3033,1.3031,1.3031,1.3031
"789.7306519",1.3087,1.3023,1.3021,1.3021,1.3021
"564.4274292",1.3087,1.3025,1.3023,1.3023,1.3023
"406.3508301.1",1.3071,1.3022,1.3021,1.3021,1.3021
"247.154892",1.3049,1.2987,1.2985,1.2985,1.2985
"781.6785278",1.3036,1.2971,1.2969,1.2969,1.2969
"165.0516663",1.3025,1.296,1.2958,1.2958,1.2958
"169.9850006",1.3019,1.2964,1.2963,1.2963,1.2963
"604.5716882",1.3019,1.2957,1.2955,1.2955,1.2955
"559.3410034",1.3009,1.2948,1.2946,1.2946,1.2946
"556.9528809",1.3009,1.2957,1.2955,1.2955,1.2955
"639.381897",1.2989,1.2929,1.2927,1.2927,1.2927
"406.7172241",1.2986,1.2942,1.2941,1.2941,1.2941
"1084.259644",1.2985,1.2919,1.2918,1.2918,1.2918
"735.5708618",1.2983,1.2919,1.2917,1.2917,1.2917
"374.0366821",1.298,1.2917,1.2916,1.2916,1.2916
"1262.176241",1.2969,1.2904,1.2902,1.2902,1.2902
"226.9509583.1",1.2962,1.2897,1.2896,1.2896,1.2896
"1082.260231",1.2954,1.2889,1.2887,1.2887,1.2887
"966.3449707",1.2936,1.2871,1.2869,1.2869,1.2869
"799.8268002",1.2932,1.2874,1.2872,1.2872,1.2872
"787.8434914",1.2929,1.2865,1.2863,1.2863,1.2863
"274.2744751",1.2912,1.2848,1.2846,1.2846,1.2846
"201.1053314",1.2893,1.2834,1.2832,1.2832,1.2832
"758.5735328",1.289,1.2833,1.2831,1.2831,1.2831
"638.1603984",1.2883,1.2824,1.2823,1.2823,1.2823
"343.2901611",1.288,1.2824,1.2822,1.2822,1.2822
"260.1145935",1.2877,1.2813,1.2811,1.2811,1.2811
"1024.303833",1.2862,1.2798,1.2797,1.2797,1.2797
"371.2758179",1.2852,1.2788,1.2787,1.2787,1.2787
"787.60488",1.2818,1.2762,1.276,1.276,1.276
"737.5435181",1.2804,1.2741,1.274,1.274,1.274
"362.3254395.1",1.2801,1.2737,1.2736,1.2736,1.2736
"620.4360962",1.2797,1.2754,1.2753,1.2753,1.2753
"568.3491627",1.2782,1.2719,1.2718,1.2718,1.2718
"900.3533325",1.2774,1.271,1.2708,1.2708,1.2708
"629.2184689",1.2765,1.271,1.2709,1.2708,1.2708
"689.5581055",1.2714,1.2658,1.2657,1.2656,1.2656
"661.4054472",1.2711,1.2655,1.2654,1.2653,1.2653
"352.0522156",1.2703,1.2646,1.2644,1.2644,1.2644
"784.5822717",1.2701,1.265,1.2648,1.2648,1.2648
"226.9509583",1.2699,1.2644,1.2643,1.2643,1.2643
"603.4406742",1.2698,1.2634,1.2633,1.2633,1.2633
"646.470884",1.269,1.2637,1.2635,1.2635,1.2635
"664.4634128",1.2668,1.2624,1.2622,1.2622,1.2622
"218.2085266",1.2656,1.2593,1.2591,1.2591,1.2591
"1316.090402",1.2656,1.2599,1.2597,1.2597,1.2597
"786.603639",1.264,1.2589,1.2587,1.2587,1.2587
"617.3834766",1.2634,1.2571,1.2569,1.2569,1.2569
"341.2839661",1.2615,1.2552,1.255,1.255,1.255
"247.1876984",1.2591,1.253,1.2529,1.2529,1.2529
