"","FC","log2(FC)","p.ajusted","-log10(p)"
"752.5133667",383.33,8.5825,0.0070609,2.1511
"132.1003571",0.034909,-4.8402,0.0070609,2.1511
"1320.088989",0.28928,-1.7895,0.0070609,2.1511
"702.5635986",2.8387,1.5052,0.0070609,2.1511
"239.1452484",16.079,4.0071,0.0085075,2.0702
"162.1469421",24.99,4.6433,0.0088914,2.051
"701.5592041",2.9022,1.5372,0.0088914,2.051
"1086.253174",0.28946,-1.7886,0.010663,1.9721
"1022.304831",0.34792,-1.5232,0.010663,1.9721
"459.3261414",0.45368,-1.1402,0.010663,1.9721
"665.4653931",102.58,6.6806,0.011477,1.9402
"736.5427246",38.626,5.2715,0.011477,1.9402
"774.6852296",16.5,4.0444,0.011477,1.9402
"794.6052856",6.5139,2.7035,0.011477,1.9402
"231.1670685",0.03546,-4.8177,0.011587,1.936
"482.358551",0.057575,-4.1184,0.011587,1.936
"315.0969849",0.00026428,-11.886,0.012784,1.8933
"187.2234802",0.27117,-1.8828,0.012784,1.8933
"709.5128784",149.74,7.2263,0.013851,1.8585
"808.5823364",43.595,5.4461,0.013851,1.8585
"782.6946278",35.92,5.1667,0.013851,1.8585
"813.7991146",26.028,4.702,0.013851,1.8585
"660.1396539",0.039904,-4.6473,0.013851,1.8585
"783.5708008",22.974,4.5219,0.013851,1.8585
"750.58052",20.938,4.388,0.013851,1.8585
"780.6074535",19.117,4.2568,0.013851,1.8585
"589.4616089",14.336,3.8416,0.013851,1.8585
"762.5927734",11.973,3.5817,0.013851,1.8585
"243.9395447",0.092982,-3.4269,0.013851,1.8585
"761.5906804",9.7097,3.2794,0.013851,1.8585
"736.5763812",8.7657,3.1319,0.013851,1.8585
"759.8005981",5.9362,2.5695,0.013851,1.8585
"785.5872803",5.4565,2.448,0.013851,1.8585
"816.7167358",5.4097,2.4355,0.013851,1.8585
"733.5581055",5.1025,2.3512,0.013851,1.8585
"734.5097656",0.20065,-2.3172,0.013851,1.8585
"1028.299683",0.28121,-1.8303,0.013851,1.8585
"1318.089722",0.2872,-1.7999,0.013851,1.8585
"1026.302898",0.29016,-1.7851,0.013851,1.8585
"788.4709242",0.30911,-1.6938,0.013851,1.8585
"614.6008758",0.33387,-1.5826,0.013851,1.8585
"1314.088513",0.33663,-1.5708,0.013851,1.8585
"1142.215332",0.41649,-1.2636,0.013851,1.8585
"259.1115417",0.12375,-3.0145,0.014002,1.8538
"267.167511",3.8193,1.9333,0.014151,1.8492
"809.5863037",24.516,4.6157,0.014797,1.8298
"297.2573242",0.15354,-2.7033,0.015349,1.8139
"564.4274292",85.859,6.4239,0.015444,1.8112
"789.7306519",18.713,4.226,0.015444,1.8112
"406.3508301.1",0.14641,-2.7719,0.016361,1.7862
"247.154892",0.013731,-6.1864,0.017816,1.7492
"781.6785278",10.08,3.3334,0.018523,1.7323
"165.0516663",0.0067586,-7.2091,0.018898,1.7236
"169.9850006",6.8979,2.7861,0.018898,1.7236
"604.5716882",0.48148,-1.0544,0.018898,1.7236
"559.3410034",0.030193,-5.0496,0.019052,1.7201
"556.9528809",0.138,-2.8573,0.019052,1.7201
"406.7172241",27.552,4.7841,0.019705,1.7054
"639.381897",0.058619,-4.0925,0.019705,1.7054
"735.5708618",10.16,3.3449,0.019705,1.7054
"374.0366821",0.25262,-1.985,0.019705,1.7054
"1084.259644",0.33174,-1.5919,0.019705,1.7054
"1262.176241",0.25663,-1.9623,0.020267,1.6932
