"","3A","3B","3C","3D","3E","3F","3G","3H","4A","4B","4C","4D","4E","4F","4G","4H"
"Label","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Injured","Injured","Injured","Injured","Injured","Injured","Injured","Injured"
"103.9528122","-0.55125900","-0.42716339","-0.19045264","-0.30758338","-0.43343897","-0.33031048","-0.42058763"," 2.30863728","-0.24747781","-1.14845881","-0.39176780","-0.40478877","-0.07069184"," 0.67870358","-0.53843653"," 2.47507620"
"103.9530487","-0.84793688","-0.07993452","-0.19718550"," 0.09601057","-1.47121338","-0.14012212"," 0.01414235"," 1.82311861","-0.18321481","-0.07508258","-0.15402627","-0.09444912","-0.73291728","-0.38280205","-0.37166422"," 2.79727719"
"105.9515762","-0.21748094","-0.02359902","-0.11939778","-0.29789259","-0.69416987","-0.29395587","-0.13954780"," 2.96462975","-0.56650960","-0.14440856","-0.82931387","-0.55170827","-0.35717404","-0.31401699","-0.36030303"," 1.94484848"
"105.9515762.1","-0.26993396","-0.03394214","-0.16058995"," 0.19831544","-0.26962655","-0.26644989","-1.66952514"," 2.25744739","-0.14654929","-0.12748293","-0.29652123"," 0.16580390","-0.65209435","-0.49668108","-0.60707705"," 2.37490683"
"118.0855179"," 0.55665258"," 0.38647467","-2.33912527","-1.00453176","-0.01788154","-0.03874629","-0.11483132","-0.21457840","-1.36927943"," 1.21822862","-0.71094138"," 0.51867674"," 0.18464847"," 1.77328416"," 0.59816719"," 0.57378297"
"121.0861588"," 0.34722026"," 0.57972370"," 0.60585597"," 0.38817448"," 0.71695461"," 0.60691996"," 0.56546516","-2.16232887"," 0.05152580"," 0.08486095"," 0.07161690"," 0.05118163"," 0.41131129"," 0.27992793"," 0.20193080","-2.80034058"
"123.0534821"," 0.3456856","-0.9213504","-1.4067713","-0.6339814","-0.0634212"," 0.6249104","-0.6481091","-0.8491993","-0.7257010"," 0.4811233","-0.6368046"," 2.8408845"," 0.1051253"," 0.7482089"," 0.2346698"," 0.5047303"
"123.0882111","-0.27745620","-0.59948463"," 1.49892953"," 0.08215465"," 0.04487789"," 0.64784071"," 1.32792190","-1.90453954","-0.50529394","-0.04188065"," 1.26406320","-0.35245809"," 0.31210488"," 0.17743860"," 0.38522104","-2.05943935"
"123.0959244"," 0.28252961"," 0.26115913"," 0.37754965","-0.06421879"," 0.36525746"," 0.44096034"," 0.48930725","-2.80643551"," 0.53207702"," 0.51798984","-0.05029862"," 0.47171078"," 0.36908070"," 0.58818904"," 0.42181446","-2.19667236"
"124.9875717"," 1.05349011"," 0.79785530","-2.81162280","-0.55965219"," 0.92648006","-0.47597186"," 0.29100736"," 0.04370945"," 0.41961528"," 0.09807560","-0.19746722","-1.37606404"," 0.43731598"," 0.89179475"," 0.80185482","-0.34042060"
"129.0162506","-0.56851459","-0.50748593","-0.06406409","-0.05692913","-0.68868541","-0.39261877","-0.33535900"," 2.54274775","-0.22882648","-0.34227006","-0.23731308","-0.26880995","-0.43078459","-0.60558283","-0.31648021"," 2.50097638"
"130.048111"," 0.2734151"," 0.2280993","-0.9004339","-0.1677263"," 0.3407769"," 0.8867606"," 0.2493952","-1.2834186","-2.5506559"," 0.5475295","-0.1520167"," 0.9321815"," 0.6761382"," 0.9922937"," 1.0316171","-1.1039557"
"132.0746613"," 0.787192705"," 0.046670406","-0.388246152","-0.002791837"," 0.737531373","-0.457257887"," 0.110487778","-2.504168239","-0.261440769"," 0.600272690"," 0.350050810"," 1.822379858"," 0.112419232"," 0.564547481"," 0.199310375","-1.716957824"
"132.9847412","-0.47169025","-0.46677985","-2.78330239"," 0.04883717"," 0.16137433"," 0.70435208","-0.62337426","-0.29088133"," 0.72652754"," 1.70473723","-0.37265945"," 0.93265611","-0.34834882"," 1.08599367"," 0.18556204","-0.19300381"
"134.0162048"," 0.86933344","-1.15112757","-1.71495504","-0.81481276"," 0.42774057"," 0.05969217","-1.05270423","-0.11832019","-0.77502844"," 0.91774618","-0.44128943"," 2.20613237"," 0.43656239"," 1.13841649","-0.07772022"," 0.09033427"
"135.0003815"," 1.80605490"," 0.04983621"," 0.54407314"," 1.55017832"," 0.18105083"," 0.05595608"," 0.98734224","-1.08232728","-0.33938859","-0.26447265","-0.04283181"," 0.85464691","-0.99225842","-1.42821462","-0.18281111","-1.69683415"
"135.0003815.1"," 2.26613654"," 0.01215086"," 0.23539441"," 0.80411742","-0.88436784","-0.47697961","-1.84391018","-1.21994203"," 0.55967032","-0.45188250","-0.83891201"," 1.24195739"," 0.08011994"," 0.23912086"," 0.58524450","-0.30791807"
"136.109848"," 0.10416098"," 0.22657161","-0.10956994"," 0.40351943"," 0.69677463"," 0.59750959"," 0.74884616","-2.42027648"," 0.65663740"," 0.05739663"," 0.04202463"," 0.44043089"," 0.42892073"," 0.23081564"," 0.43499370","-2.53875561"
"136.109848.1"," 0.3925977"," 0.3267876"," 0.3796916"," 0.3754267"," 0.3566394"," 0.3513623"," 0.3734733","-2.5128651"," 0.3938398"," 0.3754874"," 0.3962504"," 0.3332553"," 0.3312482"," 0.3203614"," 0.4143426","-2.6078985"
"137.0446472"," 0.60109002","-0.46987358","-1.18045297","-1.03235284"," 0.62265103"," 1.01484470","-0.38350882","-1.35737091","-0.80093182"," 0.34704961","-0.01719715"," 2.74963580"," 0.16762489"," 0.10523842"," 0.06427067","-0.43071706"
"138.9992065","-0.58482715","-0.34827773","-0.22550791","-0.02273164","-0.64801535","-0.49246350","-0.04954359"," 2.55007154","-0.36788235","-0.48881825","-0.27444984","-0.33960965","-0.30462523","-0.43027495","-0.47319633"," 2.50015193"
"154.9676056"," 1.19671388","-0.76978532"," 0.13119814"," 1.03916310","-0.01702193","-1.69457011"," 0.18374849"," 0.49280587","-1.11110487","-1.33712819","-0.04492480"," 0.11371729"," 1.23238845"," 1.11108980"," 0.92018659","-1.44647638"
"154.9676056.1"," 0.5806644","-0.3093230","-1.8237775"," 0.2626142","-0.8837348"," 0.1889700"," 0.4605732","-0.6872201","-1.2124592"," 0.8518419","-0.3553728"," 1.7947907"," 0.5564904"," 1.2488020"," 0.6715654","-1.3444248"
"158.963089","-0.3531563"," 1.6808257","-1.2101540"," 0.7249707"," 1.8733350"," 0.9746005","-1.0678480","-0.5422724"," 0.3558101","-0.6989285","-1.3486076","-0.9618021","-0.5933998"," 0.4127598"," 0.3981722"," 0.3556947"
"159.0244751"," 0.45380680","-0.01534610","-2.85305896"," 0.25791586","-0.13427616"," 1.16711526","-0.53329283","-0.93965600","-0.22786124"," 0.07805874"," 0.23649618"," 1.77491928","-0.16784271"," 0.79180135","-0.18337374"," 0.29459427"
"162.0163116"," 0.733946764","-0.453317354","-2.000623125"," 0.008274500"," 0.985652725","-2.000623125"," 0.171602587","-0.600988798","-0.004878475"," 0.492539423"," 0.815572764"," 0.403908585"," 0.395431689"," 1.108470423"," 1.075040395","-1.130008979"
"164.9288177"," 1.07927134","-0.18385373"," 0.46462943","-1.19446597"," 0.46274854"," 0.39145311","-0.56759956","-2.09645563"," 0.92807135"," 0.26318592","-0.59715334"," 1.57758058"," 0.12969791"," 0.89762820"," 0.01855029","-1.57328846"
"169.9841309"," 0.5217567","-0.4042283","-1.3054955","-1.2124818"," 0.6972308"," 1.3643562","-0.9263251","-0.1623037","-1.4967249"," 0.8756038","-0.5148265"," 0.8666578","-0.6415261"," 0.3888786"," 0.0603857"," 1.8890424"
