"","3A","3B","3C","3D","3E","3F","3G","3H","4A","4B","4C","4D","4E","4F","4G","4H"
"Label","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Contra. to Inj.","Injured","Injured","Injured","Injured","Injured","Injured","Injured","Injured"
"103.9528122","143123.1","153615.9","175811.3","164454.1","153067.3","162337.0","154192.9","730856.5","170187.3","101821.7","156747.4","155588.1","188234.9","288571.6","144173.2","803605.8"
"103.9530487"," 213160.3"," 307977.3"," 291152.2"," 335066.3"," 158128.4"," 299222.6"," 322177.3"," 766517.1"," 293107.7"," 308694.1"," 297235.8"," 305842.9"," 225237.4"," 266376.2"," 267801.6","1222455.1"
"105.9515762"," 70913.42"," 78165.45"," 74493.91"," 68106.78"," 55816.26"," 68241.56"," 73743.87","350557.22"," 59511.92"," 73564.08"," 52153.73"," 59955.94"," 66109.04"," 67557.50"," 66005.24","210058.73"
"105.9515762.1","109778.96","123044.44","115737.53","137664.18","109795.27","109964.00"," 55807.97","372481.19","116525.73","117604.66","108377.10","135517.58"," 91262.08"," 98382.31"," 93269.80","394242.25"
"118.0855179","315993.43","276467.69"," 32521.21"," 92744.18","201257.37","197986.94","186504.88","172454.56"," 69646.81","531235.59","116790.13","306709.78","235948.97","821430.64","326463.98","320272.63"
"121.0861588","407975.625","596746.071","622805.214","436239.950","746912.115","623890.000","582990.167","  6729.972","251531.314","265626.370","259934.230","251389.759","453064.803","365455.168","321684.409","  2370.338"
"123.0534821"," 265788.92"," 112533.32","  80961.99"," 136753.06"," 201380.87"," 321213.37"," 135448.81"," 118177.86"," 128504.23"," 291363.68"," 136491.43","1444098.19"," 225772.10"," 349233.65"," 246508.98"," 296066.86"
"123.0882111"," 378554.39"," 269657.24","2459006.69"," 552887.90"," 531599.22","1003269.80","2053666.80","  68202.02"," 297783.66"," 485171.72","1920069.57"," 349798.29"," 704418.73"," 611260.04"," 760814.64","  57934.37"
"123.0959244","1915719.44","1868790.47","2139067.83","1281036.21","2108768.77","2302423.69","2435305.15","  53138.66","2559236.97","2517735.95","1301899.75","2386076.12","2118146.41","2731445.03","2251827.98"," 107831.98"
"124.9875717","2437803.4","2085756.4"," 230604.0"," 911102.6","2256031.0"," 958826.3","1530964.1","1316554.8","1655930.2","1360956.5","1136409.3"," 553661.3","1673910.1","2208790.6","2090852.2","1041493.8"
"129.0162506","  4012.664","  4433.255","  9146.576","  9253.790","  3297.547","  5348.135","  5872.444","646200.273","  6988.539","  5806.529","  6892.338","  6546.733","  5024.929","  3776.930","  6056.341","603583.208"
"130.048111","106638.097"," 99764.432"," 18982.089"," 55746.667","117740.723","262765.203","102937.675"," 10809.032","  1677.193","159569.470"," 57049.300","280912.884","192785.189","306871.595","325137.356"," 14072.910"
"132.0746613"," 522186.964"," 114900.692","  47224.131"," 103849.771"," 471771.994","  41009.932"," 130913.834","      0.000","  61200.276"," 356337.355"," 213644.392","4334707.484"," 131431.802"," 331238.833"," 156982.182","   3121.848"
"132.9847412"," 709475.3"," 710834.5"," 288145.1"," 869072.1"," 908044.0","1122085.7"," 668742.8"," 761282.5","1131827.0","1657213.0"," 737397.9","1226520.9"," 744418.9","1302066.1"," 916645.9"," 790888.5"
"134.0162048","168076.34"," 48012.69"," 33845.90"," 59146.95","127813.52","101731.16"," 51034.45"," 91098.60"," 60624.35","173198.89"," 74564.08","385064.28","128514.66","198598.52"," 93421.34","103682.76"
"135.0003815","401506.59","157346.46","204809.04","350281.95","168753.74","157860.94","259438.44"," 86017.41","127847.24","133059.52","149758.00","241710.14"," 90250.83"," 71525.36","138983.49"," 61977.38"
"135.0003815.1","588304.0","229808.5","252231.5","319745.8","158121.5","187402.8","105974.5","137471.5","288756.2","189374.5","161147.6","383800.2","236415.8","252623.8","291852.4","201092.6"
"136.109848","1050134.84","1218071.92"," 810499.93","1509402.70","2153539.69","1909444.91","2293820.69","  49268.42","2051292.66"," 992274.39"," 973959.97","1578456.34","1556590.87","1224353.06","1568089.48","  42678.59"
"136.109848.1","2194412.25","2040597.61","2163359.96","2153195.42","2108985.35","2096731.26","2148555.79","  88701.91","2197424.26","2153339.84","2203281.42","2055223.95","2050673.72","2026168.43","2247742.29","  79865.17"
"137.0446472"," 1449890.6","  497392.4","  244576.8","  283575.2"," 1481458.4"," 2192008.1","  542211.0","  204955.5","  357330.4"," 1124916.1","  781793.7","12401635.9","  940322.8","  883508.4","  848080.1","  517234.1"
"138.9992065","  13873.54","  19174.34","  22680.76","  29931.33","  12724.70","  15742.01","  28853.41","1010689.94","  18666.95","  15820.71","  21211.99","  19403.06","  20354.21","  17139.82","  16162.44"," 943975.90"
"140.0657654","103934.22"," 21272.58"," 40187.09"," 31342.49"," 71017.17"," 92229.48"," 55721.81","     0.00"," 46907.50"," 97919.26"," 28740.99","124132.50"," 56231.60","137781.67"," 68429.07","     0.00"
"144.0992279"," 47200.974"," 42161.855","  8676.379"," 12726.723"," 27105.327"," 23044.196"," 24117.785","  1850.857"," 11770.482"," 90007.944","  7454.544"," 57612.839"," 45940.390","103349.872"," 56934.882","     0.000"
"154.9676056","8385966","2389749","4247612","7583558","3864130","1324223","4392524","5350552","1921867","1663641","3795909","4200475","8579138","7939887","7028902","1551471"
"154.9676056.1","1469615.4"," 869631.7"," 356107.7","1218348.6"," 619820.0","1166584.1","1369165.9"," 695953.7"," 510623.2","1724387.0"," 846340.2","3006513.0","1448819.6","2179067.1","1550520.7"," 472403.0"
"158.963089"," 3096395","10110833"," 1880689"," 5797877","11309116"," 6704147"," 2043025"," 2773780"," 4677270"," 2532150"," 1735136"," 2173044"," 2692486"," 4834839"," 4793979"," 4676956"
"159.0244751","1056334.87"," 646416.71","  33144.76"," 860487.42"," 570747.33","2228897.51"," 375872.53"," 245639.03"," 517484.91"," 712815.00"," 841407.90","4211274.34"," 551040.69","1504744.23"," 542154.24"," 894168.74"
"162.0163116","183701.797"," 20460.997","     0.000"," 48029.997","292545.724","     0.000"," 64959.004"," 15572.911"," 46876.241","117571.275","213622.140"," 99803.227"," 98251.450","367110.727","345110.374","  5856.654"
"164.027832"," 93215.35"," 30616.17"," 28049.52"," 18088.13"," 37238.45"," 50707.13"," 30549.54","     0.00"," 43730.22","112988.87"," 30817.05","144881.41"," 93052.33","123778.74","129056.19","     0.00"
"164.9288177","464745.43","128451.70","248575.74"," 45910.29","248100.21","230730.35"," 86910.32"," 18327.63","398440.90","202485.05"," 84334.35","771856.30","176755.48","386281.44","157844.81"," 31218.95"
"169.9841309","165718.79"," 61754.89"," 23627.32"," 26090.16","199806.88","406880.98"," 35396.29"," 79923.49"," 19269.99","241652.45"," 54886.82","239358.87"," 47952.40","143831.35","101337.98","711835.61"
"173.0754089","1108686.21","1571782.51"," 873267.54","2172511.61","1550744.05"," 645603.71","1591639.99"," 860575.91","1925492.45"," 842585.90","1561859.22","2058648.99","1607210.77","1735528.39","1463212.04","  99958.18"
"174.0788574"," 54477.19"," 99933.72"," 70634.16","111069.13"," 99173.86"," 43158.89"," 95892.45"," 21412.58","102633.71"," 78906.85"," 79139.73","175205.96","139135.84","147972.17","102733.04"," 15674.03"
"174.0788574.1"," 51258.33","114176.81"," 87363.76","241732.82","111684.36"," 34955.57"," 86949.98"," 32392.46","104234.36"," 57747.12","120801.25","169870.36"," 97213.47","117628.54","106434.25"," 15967.94"
"176.0621643","501137.9","514616.2","427299.4","467406.3","493938.4","215352.0","538012.2","417863.0","477338.9","590994.7","445390.4","577345.2","462629.5","548561.6","591036.4","531001.9"
"176.0621643.1","343609.0","356670.2","177645.8","219947.8","167122.4","295995.9","229447.3","519368.9","160487.0","449533.3","377529.3","418371.3","197358.8","231520.0","177084.4","241838.7"
"176.0621643.2"," 76475.10"," 33896.14","  1616.00"," 12800.55"," 40545.63","100312.43"," 15528.43"," 41450.83"," 29725.77","101029.01"," 18554.84"," 46451.80"," 49970.28"," 74261.69"," 90772.92","     0.00"
"187.0926361","170795.72","439232.00","635677.70","417008.42","383070.36","287530.24","518379.81"," 24536.36","517253.32","305189.21","434070.76","781955.95","492656.18","448853.90","515062.46"," 21840.17"
"191.0377502"," 96906.605"," 30647.099"," 47517.375"," 60052.005"," 85630.477"," 38245.979"," 67191.313","     0.000"," 67356.048"," 77443.558"," 78844.915","259450.684","119473.113","138351.660","218135.257","  1762.958"
"195.1204834"," 61221.50","134095.51"," 62081.44"," 79387.27","141496.00"," 79130.41"," 82900.68","378376.29"," 68158.12"," 77993.03","132165.37"," 48648.25","126433.80","144438.95","129917.28","246688.09"
"212.1399384","354589.33","385471.36","440447.09","202660.40","413027.53","430814.74","294969.38","110594.70","179935.31","153327.33","349376.67","201562.56","153645.52","455961.58","307021.77"," 96559.42"
"214.0030365","175785.887"," 29790.732"," 18524.303","  7868.578"," 49964.205"," 61993.033"," 40210.076","     0.000"," 21685.820","219296.491"," 54287.858","137781.081","138061.313","255231.660","112634.869","     0.000"
"215.0132751","139486778","131120110","108874445"," 87997558","119382796"," 65521628","129207066","184284197","116186362","175622375","145687846","122103073","140030870","127864353","141569030","  2984698"
"215.0132751.1","185370546","318583391","214371631","236436084","149070864"," 51010693","241072261"," 45659610","118428349","273425184","215137104","214176600","226589033","165919869","154482743","  7022873"
"215.0132751.2","108448518","132008187","116838871","134917468","134485139","281364108","119940758"," 72876001","167730086","116653453","140189924","102437374","143213797","187123130","157512048","161069083"
"215.0132751.3","144667966","150366706","121543513","142414238"," 74577160"," 65128336","177021600","164987856","156701068","151018927","132494909","147770252","117816145","113524606","136945643","164588952"
"215.0132751.4"," 9481546","23531699","26860790","27288550","14854630","26393358","28944565","11055834","26375560","15999618","23759637","24535006","19504083","15682902","21853811","12349761"
"215.0132751.5"," 9510337","17834287","23394913","11949470"," 8603651","36695154","24001544","31066741","15762997","16222262","16810790","11344177","11824115","10500242","16462786","67129721"
"216.0173798"," 8375806.06"," 7471668.35"," 6782309.98"," 6889882.97"," 6708838.85"," 3549329.96"," 8978919.60"," 3903809.05","15206588.88"," 8642284.44"," 9158999.93"," 8726377.81"," 7389335.77"," 7230065.51"," 7775256.04","   63090.23"
"216.0173798.1","17938796.3","11153114.0","16436721.3","18654759.5"," 9004464.0"," 3379346.3"," 9286831.2"," 2451539.0","17549558.3"," 8765918.5","16454817.3","16690546.5","14735526.4","17575107.7"," 8837941.9","  290530.4"
"216.0173798.2"," 7298476"," 6999348"," 6172939"," 4863197"," 6525838","10636846"," 7763491"," 7020533"," 6621246"," 7446281"," 7353888"," 6391159"," 6973639"," 6898415"," 7571174"," 4795959"
"216.0173798.3"," 645249.2","1394362.0","1843609.5","1618556.5","1031790.1","1744472.7","1939740.2"," 779587.1","1627823.1","1049636.0","1590076.2","1540468.3","1344832.5","1050531.4","1472676.5"," 779333.5"
"217.016983","2391360.35","1758210.67","1298474.15","1601901.86","1948671.92"," 909941.89","1991542.25","1900581.29","1768399.38","1896402.54","1896325.56","1766459.74","1660150.92","1619454.93","1789877.10","  24999.19"
"217.0172577","1491759.1","1194889.8","1108352.6","1105370.8","1216713.1","1653119.1","1551973.7","1663592.1","1294051.5","1391416.8","1327956.5","1268916.8"," 804960.8"," 594021.4","1387318.8","1904304.9"
"217.0190277","4006435.2","1737210.7","2155387.4","2606408.5","1619267.2"," 462625.2","2426075.9"," 644640.3","2778808.3","1625204.5","2355127.6","2351666.9","5930790.0","2314210.2"," 958233.4","      0.0"
"217.1023865"," 42730308"," 90453704"," 59649390","123749769"," 96743312"," 29270075"," 77794040"," 26409012","100169518"," 48031333"," 74619270","120218919"," 98611518"," 60249204"," 85885743","  8439052"
"218.1047668","1427039.8","6686438.1","1212820.7","3047542.4","7354505.6","2290433.8","5601696.8","2351877.3","7037237.5","3810231.9","5425832.1","8763525.0","7393455.0","7754823.2","6088543.3"," 682432.5"
"219.105484"," 209503.6","1020582.7"," 340198.1"," 821561.9"," 998106.4"," 366715.7"," 590880.5"," 861570.9","1106005.5"," 580116.5"," 852591.5","1362258.4"," 958505.9","1140104.6"," 971800.0"," 344250.5"
"222.1118164","149853.32"," 18307.70","     0.00"," 67059.46","285248.60","     0.00"," 44401.68"," 49345.90"," 52964.63","118230.62","153450.80"," 75188.35"," 57802.08","337145.79","300727.52"," 48662.11"
"223.1513977"," 24727.398"," 65367.874"," 71358.847"," 53283.322"," 12164.300"," 46296.511"," 47122.714","482843.346"," 77524.926"," 35790.443"," 52005.402"," 44930.805"," 66518.685","  8211.787"," 65406.033","321319.839"
"226.9495697","38749688","38315736","43353381"," 6621864","11141988","20587883"," 5632029","27626861","39132048","21067637","18272549","40484992","40437710","40753939","36828537","12104504"
"230.9788361","2022907.8","2324781.2"," 913448.9","1712856.7","3273629.2","2159510.3","3537743.1","1901481.6","2151212.0","1698245.9","1684101.7","2040095.2"," 854760.1","2166949.1","2043412.1","1372156.4"
"231.0792694"," 676610.4","2407771.4","1525428.3","1004341.8","2405895.0"," 630766.1","1532307.2"," 159966.5","2035556.9"," 907288.3","1483023.1","1585410.3","1989556.2","2779191.6","2098258.2"," 106782.5"
"231.1162872","1893707","4528546","6241495","4754020","4505287","2584215","5004585","1224846","5319103","3475450","4719780","6115454","5363261","5167424","5522098","1001497"
