"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"103.9528122",0.030658,0.01594,0.02108,-0.029712,-0.0053589,-0.0037202,-0.016014,-0.0037158,-9.1681e-05,0.014225,0.00039158,0.022774,0.038909,-0.013622,-0.0021519,0.20404
"103.9530487",0.034087,0.0097407,0.0085001,-0.023184,0.010677,-0.015582,0.011436,-0.034881,0.0124,0.014718,0.0071221,0.0081835,-0.0040858,-0.010335,0.02305,0.62314
"105.9515762",0.028166,0.0159,0.0010328,-0.050558,0.0037403,-0.003017,-0.0015394,-0.010704,0.0086842,0.012426,-0.0014921,0.0060301,0.012499,0.014199,-0.0012852,0.43809
"105.9515762.1",0.028901,0.017005,0.015308,-0.034304,0.018947,-0.0056312,-0.011194,0.0040376,-0.010326,-0.010581,0.011154,0.019997,-0.040973,-0.010906,0.0075302,0.14934
"118.0855179",-0.0071136,0.035651,-0.022483,0.016486,0.0026847,-0.015353,-0.028394,-0.018598,0.00050782,0.046428,0.005371,0.014829,0.020234,-0.0074469,0.023605,-0.26274
"121.0861588",-0.032023,-0.018873,-0.01381,0.024789,-0.012937,-0.00755,0.010385,0.028009,-0.00095713,-0.010344,-0.0080475,0.00018564,0.0052546,0.0053829,-0.0075527,0.22815
"123.0534821",-0.0028628,0.017366,-0.010001,0.032498,0.02124,-0.024837,-0.025934,-0.02391,-0.08187,0.034407,0.00067254,0.0085806,-0.0085107,-0.0053159,-0.0040757,-0.17297
"123.0882111",-0.016663,-0.029513,-0.013143,0.029468,-0.024656,0.016736,0.022056,0.018599,0.0010767,0.027789,-0.030381,-0.022291,0.011432,-0.017991,0.0097637,0.17714
"123.0959244",-0.029717,-0.017611,-0.015026,0.041483,-0.0055543,-0.0070725,-0.0054379,0.00623,-0.0071245,-0.0073321,0.014469,-0.0021239,0.0096728,0.0053214,0.010804,0.26518
"124.9875717",-0.01635,0.033926,-0.0017309,0.0075479,-0.011547,0.018593,-0.0018406,-0.010148,0.045142,-0.022453,0.018496,-0.0065575,0.045758,0.0073269,-0.024954,0.073336
"129.0162506",0.033356,0.012502,0.013648,-0.036441,0.0081731,0.0021471,0.001441,-0.015996,0.0021087,0.010845,0.00087331,-0.0040468,-0.0042624,0.0034049,-0.00012926,0.075024
"130.048111",-0.01783,0.012079,-0.029619,0.029982,-0.011347,-0.021801,0.001174,0.021223,-0.018701,0.074887,-0.027001,0.010764,-0.011998,-0.0045289,-0.020481,-0.008202
"132.0746613",-0.03039,-0.0054382,-0.007352,0.039911,0.016394,-0.0093331,-0.024388,-0.0071062,-0.026586,0.012424,-0.020073,-0.0093463,-0.019602,-0.022204,-0.0074348,0.10928
"132.9847412",-0.011851,0.030213,-0.00017585,0.020995,0.0088367,-0.012479,0.011018,-0.022902,-0.040378,-0.0049021,0.042274,-0.019732,-0.0021367,0.0071912,0.079446,-0.21872
"134.0162048",-0.0078549,0.026104,-0.0073989,0.017813,0.02307,0.0020756,-0.037658,-0.0099523,-0.074778,0.032807,-0.0097358,0.011201,-0.00061598,-0.00034161,0.013577,-0.12477
