"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"503.6004944",3.9635,3.5371,3.3985,3.3269,3.2956,3.2844,3.2827,3.2825
"488.589325",3.8634,3.377,3.2597,3.192,3.1617,3.1501,3.1486,3.1483
"503.2654419",3.5465,3.1691,3.0629,2.9996,2.9713,2.9612,2.9599,2.9598
"853.4656982",3.4883,2.986,2.8362,2.7728,2.7468,2.7364,2.735,2.735
"518.2730713",3.3942,2.9594,2.8617,2.8022,2.7763,2.7659,2.765,2.765
"517.9370728",3.3526,3.0075,2.8951,2.831,2.8042,2.7938,2.7925,2.7924
"547.6247168",3.3223,3.1574,3.0131,2.9458,2.918,2.907,2.9056,2.9054
"517.9370728.1",3.2992,2.9675,2.8223,2.759,2.7331,2.7227,2.7216,2.7214
"547.2894897",3.2339,3.0296,2.8795,2.8158,2.7891,2.7786,2.7772,2.7771
"770.8488159",3.1996,2.7421,2.6104,2.5623,2.5453,2.5419,2.5407,2.5405
"532.6143799",3.0051,2.6005,2.4847,2.4291,2.4063,2.3972,2.3966,2.3965
"875.9797974.1",2.9002,2.6478,2.5094,2.4612,2.4385,2.4295,2.4283,2.4282
"576.9759521",2.8825,2.7096,2.5644,2.508,2.4846,2.4756,2.4744,2.4742
"864.9949951",2.8319,2.3832,2.2606,2.2159,2.1966,2.1883,2.1874,2.1873
"1450.719727",2.6625,2.3326,2.2336,2.1837,2.1666,2.1584,2.1581,2.158
"787.9272838",2.63,2.3153,2.2747,2.2299,2.2153,2.2076,2.2066,2.2065
"1105.628419",2.605,2.1958,2.0781,2.0397,2.0208,2.0132,2.0122,2.0121
"644.8666992",2.5628,2.1666,2.0736,2.0276,2.0148,2.0073,2.0065,2.0063
"944.5477295",2.5423,2.1641,2.076,2.0296,2.0112,2.0035,2.003,2.0029
"1383.734073",2.5248,2.1398,2.0278,1.9862,1.9678,1.9604,1.9595,1.9594
"687.9970645",2.5236,2.1379,2.025,1.9849,1.9711,1.9685,1.9679,1.9677
"1126.002331",2.4833,2.1163,2.0727,2.0565,2.0375,2.03,2.029,2.0289
"1158.973725",2.4534,2.0794,2.0714,2.0418,2.0224,2.0154,2.0145,2.0144
"843.482605",2.4419,2.0898,1.9806,1.937,1.9191,1.9118,1.9112,1.9112
"135.0003815",2.4141,2.0546,2.0641,2.0222,2.0169,2.0096,2.0089,2.0088
"865.4962769",2.3959,2.0674,1.9638,1.9212,1.9032,1.8959,1.8953,1.8952
"727.1136475.1",2.3947,2.1779,2.0671,2.0208,2.0033,1.9958,1.9955,1.9955
"622.3519287.1",2.3932,2.0631,1.9672,1.923,1.909,1.9038,1.9029,1.9027
"806.9539185",2.3925,2.0126,1.9031,1.8645,1.8482,1.8441,1.8439,1.8439
"473.9107666",2.385,2.0086,1.9338,1.8906,1.88,1.8733,1.8724,1.8722
"894.5038631",2.3755,2.0153,1.9083,1.8707,1.8531,1.847,1.8466,1.8465
"644.3634033",2.3717,2.0207,1.9227,1.885,1.8695,1.8624,1.8616,1.8614
"807.4535522",2.3567,2.01,1.903,1.8638,1.8468,1.8405,1.8401,1.84
"887.0074463",2.3351,1.998,1.9121,1.8708,1.853,1.846,1.8457,1.8456
"718.8998105",2.321,2.0177,1.9095,1.868,1.8503,1.8436,1.843,1.8429
"788.9327393.1",2.3151,2.2897,2.3375,2.2852,2.2704,2.2635,2.2623,2.2622
"1008.805664",2.2693,2.0019,1.9471,1.9126,1.9283,1.921,1.9202,1.9203
"872.9935153",2.2376,1.9267,1.8292,1.7904,1.7735,1.7686,1.7681,1.768
"875.4784913",2.2267,2.2844,2.1638,2.1188,2.0993,2.0919,2.0908,2.0907
"842.4829102",2.2264,1.8848,1.7845,1.7476,1.7335,1.7269,1.7268,1.7268
"903.0092163",2.2189,1.9496,1.9798,1.9554,1.9373,1.9307,1.9298,1.9297
"828.9661541",2.2185,1.9216,1.8244,1.7855,1.7688,1.7623,1.762,1.7619
"886.507761",2.2132,1.9284,1.8444,1.8035,1.7864,1.78,1.7796,1.7795
"715.3693848",2.2073,2.1988,2.1664,2.1203,2.1002,2.0959,2.0954,2.0954
"857.0001831",2.2023,1.8578,1.7566,1.7195,1.7109,1.7071,1.7071,1.707
"132.9847412",2.1954,1.8538,1.8079,1.8073,1.7991,1.7994,1.7986,1.7985
"1351.001587.1",2.1918,1.9536,1.8614,1.8213,1.8057,1.7991,1.7987,1.7986
"1040.981201.5",2.1884,1.956,1.8618,1.8234,1.8139,1.8071,1.8065,1.8064
"966.9476929.1",2.1881,1.8443,1.7646,1.743,1.7281,1.722,1.7212,1.7211
"458.103302",2.1879,1.85,1.7493,1.7183,1.7075,1.7043,1.7035,1.7034
"806.4536293",2.1793,1.8636,1.7642,1.7351,1.7187,1.7129,1.7124,1.7123
"601.9725435",2.1691,1.8455,1.801,1.8087,1.7953,1.7891,1.7882,1.7881
"245.0999756",2.1678,1.8242,1.7526,1.7183,1.7105,1.704,1.7032,1.7031
"567.0446777",2.1675,2.2232,2.1052,2.0654,2.0575,2.0581,2.0577,2.0576
"622.6871882",2.1624,1.8476,1.8035,1.7635,1.7484,1.7423,1.7422,1.7422
"673.34198",2.1594,1.8198,1.723,1.6889,1.6813,1.675,1.6746,1.6745
"1041.481021",2.1574,1.8255,1.7477,1.7185,1.7022,1.6997,1.7003,1.7003
"850.4764404",2.1561,1.8674,1.7753,1.7378,1.7213,1.7152,1.715,1.7149
"901.5258179",2.148,1.8975,1.8272,1.7863,1.7708,1.7642,1.7637,1.7636
"1149.654311",2.1438,1.8394,1.7444,1.7163,1.7001,1.6938,1.6931,1.693
"864.4938354",2.1437,1.8688,1.7843,1.7447,1.729,1.7224,1.7224,1.7223
"666.8763583",2.1422,1.813,1.7969,1.7601,1.7434,1.7392,1.7383,1.7382
"1293.768921",2.137,1.8124,1.8004,1.7641,1.7475,1.7408,1.74,1.7399
"853.9689331.1",2.1341,2.0488,1.9638,1.9214,1.9036,1.8996,1.8992,1.8993
"872.4914907",2.1311,1.8213,1.7293,1.6991,1.6832,1.6784,1.678,1.6779
"451.0044861.2",2.1267,1.8019,1.722,1.6922,1.6785,1.6735,1.6747,1.6748
"1249.741939",2.1221,1.7947,1.7031,1.6775,1.6616,1.6561,1.6553,1.6552
"787.4291382.1",2.1071,1.8871,1.7845,1.7453,1.7572,1.7505,1.7496,1.7499
"630.8485107.1",2.1062,1.7718,1.7236,1.6938,1.6789,1.6738,1.6729,1.6728
"1458.505737",2.0987,1.7792,1.6861,1.6535,1.6419,1.6387,1.6382,1.6381
"1137.994644",2.0982,1.8156,1.7432,1.7126,1.6968,1.6922,1.6914,1.6914
"123.0534821",2.0956,1.7858,1.7084,1.672,1.6598,1.6535,1.6542,1.6541
"1116.012817.2",2.095,2.0076,1.946,1.9029,1.8849,1.8787,1.8778,1.8777
"1608.972572",2.0906,2.0034,1.8981,1.8564,1.8441,1.8391,1.8383,1.8385
"1372.981201",2.0895,1.8442,1.824,1.7882,1.7712,1.7646,1.7641,1.7644
"820.4660645",2.0866,1.8144,1.727,1.6907,1.6747,1.6703,1.6697,1.6696
"608.3331909",2.0781,1.8116,1.7204,1.69,1.6741,1.6678,1.6671,1.667
"593.670516",2.0775,1.7635,1.7101,1.6732,1.66,1.6542,1.6541,1.6542
"666.3777615",2.0767,1.776,1.7536,1.7172,1.7024,1.6962,1.6953,1.6952
"879.513916",2.0725,1.8292,1.7873,1.7472,1.731,1.7253,1.7247,1.7246
"222.1118164",2.0701,1.7413,1.6487,1.62,1.6107,1.6081,1.6073,1.6073
"908.5192261",2.0698,1.8107,1.7374,1.7001,1.6861,1.6802,1.6796,1.6795
"875.9797974",2.0627,1.9007,1.7978,1.7879,1.7714,1.7648,1.7639,1.7639
"134.0162048",2.0619,1.7407,1.6749,1.6458,1.6355,1.6293,1.6286,1.6285
"906.8187866",2.0602,1.7774,1.7205,1.7039,1.6878,1.6855,1.6848,1.6847
"850.9814208",2.0589,1.7684,1.6841,1.652,1.6363,1.6314,1.6311,1.631
"703.8631592",2.0581,1.7674,1.6761,1.6393,1.64,1.6337,1.6331,1.6329
"644.8666119",2.0524,1.8256,1.7367,1.6978,1.6831,1.6767,1.6762,1.6761
"900.5236206",2.0501,1.7948,1.7455,1.7064,1.6905,1.6851,1.685,1.6849
"1162.694299",2.0472,1.7532,1.6942,1.6585,1.6431,1.64,1.6396,1.6396
"829.4660645",2.0463,1.7683,1.6825,1.6525,1.637,1.6317,1.6315,1.6314
"666.8779907",2.0455,1.81,1.7146,1.678,1.669,1.6629,1.6625,1.6624
"851.480835",2.039,1.7488,1.6608,1.6315,1.6161,1.6113,1.6113,1.6112
"922.5357666",2.0357,1.7713,1.7143,1.6769,1.6634,1.6579,1.6577,1.6576
"776.9439697",2.0342,1.7853,1.6919,1.6581,1.6424,1.6381,1.6374,1.6373
"623.0206533",2.0321,1.7468,1.7336,1.6947,1.6802,1.6742,1.6738,1.6738
"828.4647827",2.032,1.7448,1.6609,1.6295,1.614,1.6093,1.6094,1.6093
"1609.974888",2.0285,2.0348,1.9448,1.9277,1.9095,1.9023,1.9016,1.9015
"897.9934943",2.0246,1.8958,1.7955,1.7762,1.7595,1.755,1.7541,1.754
"608.0111694",2.0136,1.7582,1.7295,1.6912,1.6757,1.6696,1.6694,1.6693
"1451.220915",2.0112,1.7556,1.6675,1.6333,1.6306,1.6245,1.6237,1.6237
"636.3665325",2.0096,1.806,1.7113,1.6762,1.6605,1.6542,1.6534,1.6533
"754.4265747",2.0066,1.8315,1.7465,1.7122,1.6963,1.6901,1.6896,1.6895
"675.8554946",2,1.6824,1.6211,1.59,1.5783,1.5726,1.5725,1.5725
"810.4417725.1",1.9978,1.7879,1.7448,1.7059,1.695,1.6937,1.6931,1.6932
"1250.74707",1.997,1.7137,1.6801,1.6491,1.6335,1.6274,1.6268,1.6267
"776.4400024",1.9923,1.7616,1.6728,1.6378,1.6223,1.6173,1.6169,1.6168
"777.4430348",1.9916,1.7881,1.693,1.6561,1.6403,1.6347,1.6341,1.6341
"988.9308281",1.9916,1.6996,1.6722,1.6491,1.6372,1.6344,1.6336,1.6335
"897.4891968",1.9845,1.8795,1.7792,1.7602,1.7444,1.7391,1.7384,1.7382
"878.50885",1.9778,1.723,1.6539,1.619,1.6101,1.6041,1.6039,1.6039
"547.6249254",1.9758,1.8438,1.776,1.7363,1.7254,1.7188,1.7181,1.7179
"576.9758911",1.9657,1.9095,1.8124,1.7732,1.7581,1.7514,1.7508,1.7508
"730.9595947.5",1.9552,1.7365,1.7541,1.7302,1.7194,1.7133,1.7143,1.7144
"727.1136475.10",1.9332,1.6356,1.5471,1.5259,1.5115,1.5079,1.5076,1.508
"856.4962223",1.9314,1.6675,1.6303,1.5938,1.5861,1.5806,1.5808,1.5807
"857.4991455",1.9305,1.6961,1.6135,1.5806,1.569,1.5648,1.5644,1.5644
"680.39513",1.9243,1.7238,1.6349,1.599,1.5966,1.5907,1.5902,1.5901
"730.9595947.3",1.9155,1.6111,1.5235,1.4897,1.502,1.4962,1.4956,1.4955
"834.4817505",1.9153,1.6362,1.5499,1.5178,1.5144,1.5087,1.5097,1.5097
"850.9799222",1.9152,1.6222,1.5407,1.5272,1.5133,1.5083,1.5086,1.5085
"176.0621643",1.9137,1.7337,1.6569,1.6266,1.6135,1.6155,1.6149,1.6148
"608.3347749",1.9109,1.6662,1.5785,1.5483,1.5513,1.5459,1.5455,1.5455
"562.3007813",1.9046,1.9004,1.7992,1.7598,1.7448,1.7382,1.7373,1.7372
"586.3226003",1.9038,1.7307,1.6391,1.6023,1.598,1.5939,1.5932,1.5931
"608.8376309",1.9006,1.6007,1.5142,1.4846,1.4731,1.4723,1.4726,1.4726
"791.4488723",1.8975,1.6184,1.5308,1.5352,1.5216,1.5163,1.5155,1.5154
"681.3938599",1.8915,1.591,1.6031,1.5749,1.56,1.5575,1.5567,1.5566
"1314.743774",1.8879,1.8995,1.8948,1.8523,1.8374,1.8307,1.8302,1.8301
"858.0008321",1.8864,1.6886,1.6224,1.5874,1.5745,1.5692,1.569,1.5689
"246.0919189",1.8815,1.5829,1.51,1.4882,1.4862,1.4823,1.4816,1.4815
"1329.015625.1",1.8791,1.6703,1.6804,1.6447,1.6387,1.6443,1.6438,1.6437
"627.3157959.1",1.8766,1.8652,1.7739,1.7346,1.7434,1.7416,1.7413,1.7412
"821.469809",1.8714,1.5866,1.5034,1.4793,1.4676,1.462,1.4627,1.4628
"901.0245054",1.8658,1.6602,1.608,1.5742,1.563,1.557,1.557,1.557
"162.0163116",1.8619,1.5736,1.5017,1.4807,1.4791,1.4773,1.4766,1.4765
"492.7526855",1.8502,1.7316,1.6745,1.6406,1.6286,1.6303,1.6295,1.6294
"576.6417236",1.847,1.806,1.7174,1.6789,1.6741,1.6678,1.667,1.667
"879.0131226",1.8457,1.656,1.6049,1.5705,1.5606,1.5548,1.5545,1.5545
"593.3366928",1.8451,1.5869,1.5402,1.5086,1.5015,1.4976,1.4979,1.498
"835.9889195",1.843,1.6289,1.5426,1.5129,1.5026,1.4972,1.4976,1.4975
"1254.987434",1.8389,1.5509,1.4712,1.4474,1.4338,1.4387,1.4388,1.4387
"1029.990398",1.8326,1.5796,1.5679,1.5807,1.5949,1.5893,1.589,1.5889
"244.0937195",1.8299,1.5486,1.4788,1.4601,1.4531,1.4497,1.4489,1.4489
"1205.716109",1.8298,1.6097,1.631,1.5971,1.5828,1.5774,1.577,1.5769
"1490.977051",1.8276,1.5392,1.4607,1.4288,1.4169,1.4221,1.4243,1.4243
"745.4163818.2",1.8261,1.5642,1.6918,1.6617,1.6625,1.659,1.6583,1.6582
"1206.719693",1.8246,1.5923,1.5331,1.5106,1.4966,1.4923,1.4918,1.4917
"478.2284851.1",1.8232,1.5344,1.4668,1.4666,1.4577,1.4526,1.4523,1.4522
