"","14R","17L","19R","20L","30R","23R","25L","26R","28L","41L","42R","43L","44L"
"Label","Injured","Injured","Injured","Injured","Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured"
"103.9528122","-1.5617882","-1.5715477","-0.7594518","-1.6717189"," 0.5869599"," 0.5125229"," 0.3697034"," 0.7894460"," 0.7100642"," 0.7304124"," 0.9225593"," 0.3732982"," 0.5695404"
"103.9530487","-1.2811023","-1.2501938","-1.3997904","-1.3940122"," 0.2500246"," 0.2419062"," 0.7139867","-0.2579814"," 0.7537008"," 1.0227414"," 0.4025705"," 1.1420149"," 1.0561349"
"105.9515762","-1.6008483","-1.4268921","-1.2779474","-1.3069517"," 0.1375271"," 0.4593348"," 0.5957063"," 0.8247594"," 0.8311010"," 0.6518965"," 1.0474703"," 0.6194753"," 0.4453690"
"105.9515762.1","-1.2276291","-0.9640175","-1.3417576","-1.4047040"," 0.2955838"," 0.4842489"," 0.2772245"," 0.3236550"," 0.4421961"," 1.5546720","-0.4969174"," 0.6346365"," 1.4228087"
"118.0855179","-0.6688403"," 0.2927982"," 1.2739800"," 0.3549647"," 0.3358947"," 0.3127171"," 1.3962882"," 0.9938962"," 0.0949329","-0.4686273","-1.6807715","-0.4067153","-1.8305177"
"121.0861588"," 1.3468218"," 1.3309735"," 1.5083746"," 1.4478850","-0.8804870","-0.4391636","-0.7007074","-0.6494607","-1.0619916","-0.5314583","-0.1775269","-0.5318998","-0.6613597"
"123.0534821","-0.1136149"," 2.3056832"," 0.8498872"," 0.4926372"," 0.6805082"," 0.1763105"," 0.2888077"," 0.1772573","-0.6793890","-1.1323420","-0.9995503","-1.3840576","-0.6621375"
"123.0882111"," 2.1196290"," 0.7666699"," 1.2101707"," 1.3840758","-0.6620004","-0.8058263","-0.5024207","-0.3926380","-0.4479593","-0.7236341","-0.4563524","-0.7824321","-0.7072822"
"123.0959244"," 1.1242816"," 1.4874292"," 1.5684599"," 1.4527177","-0.3688915","-0.3114453","-0.6968409","-0.4082372","-0.4932391","-0.7806744","-0.7902510","-0.9064276","-0.8768815"
"124.9875717"," 0.3030477","-1.3482221"," 1.8291552"," 1.7031451"," 0.1027633"," 0.9893029","-0.6040837","-0.4627192","-0.3997443","-1.2593531","-0.4112376","-0.5836926"," 0.1416385"
"129.0162506","-1.3168868","-1.3414578","-1.6041774","-1.3786458"," 0.8192785"," 0.8776438"," 0.8483614"," 0.8072526"," 0.7777535"," 0.3586345"," 0.4311771"," 0.3603617"," 0.3607048"
"130.048111"," 0.4216348"," 1.0601334"," 1.0955343"," 1.1186923","-0.1389746"," 0.3144717"," 1.2247579"," 0.1439930","-0.7650872","-0.2460393","-1.4097054","-1.4097054","-1.4097054"
"132.0746613"," 0.6576782"," 1.8022573"," 0.8244265"," 0.5404935","-0.9492010"," 0.4252090","-0.5097634","-0.8136774","-1.5611740"," 0.4616439","-1.5611740"," 0.2350563"," 0.4482252"
"132.9847412","-0.6724766"," 0.6468292"," 0.8018102","-0.1082721","-0.4908954","-1.7944142","-0.4416090"," 1.3672274","-0.5888827"," 1.6407738","-0.5485347","-0.7979571"," 0.9864012"
"134.0162048"," 0.30570416"," 1.38099389"," 0.94732521"," 0.45337320"," 0.52163103"," 0.04096512"," 0.63104872"," 0.62688443","-1.88030890","-0.27497550","-1.88030890","-0.82618437","-0.04614808"
"135.0003815.1"," 0.6023379"," 0.8422142"," 0.7266102"," 0.7665103"," 0.6635493"," 0.6161573"," 0.5621475"," 0.4079768"," 0.5064882","-1.0902795","-1.5345707","-1.5345707","-1.5345707"
"136.109848"," 1.13572752"," 1.45533509"," 1.28717855"," 1.45097330","-0.93461368","-0.92057956","-1.02073788","-0.97917698","-0.98699018","-0.07862552"," 0.06869351","-0.30716704","-0.17001712"
"136.109848.1"," 1.32580245"," 1.27668806"," 1.26663523"," 1.33990811","-1.01639586","-0.93578297","-1.07615337","-0.98248206","-1.05913247","-0.03620398"," 0.15392598","-0.14749070","-0.10931842"
"137.0446472"," 0.20355965"," 2.83304286"," 0.31991733"," 0.28098328","-0.18943251"," 0.03253798"," 0.11330679","-0.80940992","-0.57587965","-1.23350086","-0.85587158","-0.53576642"," 0.41651304"
"138.9992065","-1.3279818","-1.3786425","-1.4491334","-1.4825041"," 0.8292285"," 0.8984691"," 0.8593320"," 0.8088058"," 0.7779070"," 0.3398136"," 0.4483670"," 0.3293569"," 0.3469821"
"154.9676056"," 0.5032171"," 0.6429416"," 1.5213807"," 1.3532421","-0.7312040"," 0.2258325","-0.6798072","-0.5690027"," 0.9897979"," 0.2601081","-1.8231824","-0.9206575","-0.7726663"
"154.9676056.1"," 0.02171129"," 1.91879861"," 1.43707326"," 0.92777793","-0.85092833"," 0.75914717","-0.77671905","-0.73469630","-0.85301979","-1.35170525"," 0.04999733","-0.62102330"," 0.07358643"
"158.963089","-0.8484455","-0.4721179"," 0.8652092"," 0.8510168"," 0.8096899"," 0.8871135"," 0.6893326","-0.3576656"," 0.4147134","-0.6380577","-2.6186507"," 0.1222847"," 0.2955774"
"159.0244751"," 0.08403254"," 1.91665873"," 0.74553249","-0.41613195"," 0.15324112"," 0.41726826"," 0.90902122","-0.56654736","-0.57096047","-1.54617615","-0.72162646","-1.41177304"," 1.00746106"
"162.0163116"," 1.2111367"," 0.8724600"," 1.4521040"," 1.4246010","-0.3894961"," 0.6113383","-0.1424900","-0.3685218","-0.2481249","-1.1057518","-1.1057518","-1.1057518","-1.1057518"
"164.9288177"," 0.2588362"," 1.5719762"," 1.1614098"," 0.6306081","-0.3305702"," 0.6961448"," 0.5185549"," 0.1658723","-1.2851357"," 0.4677107","-1.2851357","-1.2851357","-1.2851357"
"169.9841309","-0.1735192"," 0.9660599"," 0.5719424"," 0.3009703"," 1.8094195","-0.8824755"," 0.7814373"," 0.5074702"," 0.6246977","-1.5251490","-1.0012678","-1.0891447","-0.8904413"
"173.0754089"," 0.4211345"," 0.6790251"," 0.5195898"," 0.3602107","-2.1457723"," 0.8862862","-1.1751657","-1.1464718","-0.9872104"," 0.2465791"," 0.8105862"," 0.6886122"," 0.8425964"
"176.0621643"," 0.4900425"," 0.6809341"," 0.6433127"," 0.6981756"," 0.6193794"," 0.6384796"," 0.6705155"," 0.6446150"," 0.6590043","-1.4143609","-1.2550386","-1.5557006","-1.5193586"
"176.0621643.1"," 0.9264121"," 0.9941692"," 0.6038686"," 0.4270637"," 0.6326311"," 0.5337605"," 0.4279930"," 0.7230875"," 0.3795452","-1.2258658","-1.3153502","-1.4810573","-1.6262574"
"187.0926361"," 1.0397662"," 1.4435884"," 1.0627430"," 1.1571417","-1.0112493"," 1.0845972","-1.0717526","-1.2528064","-0.7336442","-0.7626951","-0.1932192","-0.3544557","-0.4080139"
"191.0377502"," 0.5866424"," 1.0493371"," 0.8050826"," 0.9819573","-0.8897145","-0.0618997"," 0.8339699"," 0.5847416","-1.5148921"," 0.2545680","-1.5148921","-1.5148921"," 0.3999916"
"195.1204834","-0.74711752","-1.80837388","-0.65282179","-0.76533468","-0.08444604"," 0.49898421","-0.39773843","-0.59166636","-0.41521714"," 1.21733524"," 1.04590523"," 1.36961310"," 1.33087806"
"212.1399384"," 1.5290742"," 0.7311973"," 1.9152949"," 1.3416166","-0.3363232","-0.3331472","-0.7927340","-0.5297269","-0.6969341","-0.6342650","-0.6050096","-0.8626399","-0.7264032"
"215.0132751"," 0.80856354"," 0.68594279"," 0.71795488"," 0.78865071","-1.89100336"," 0.71954613","-1.63318761","-1.26606273","-0.40309123"," 1.05197442"," 0.22049565","-0.03521885"," 0.23543566"
"215.0132751.1"," 0.8337515"," 0.8310483"," 0.6768188"," 0.6336710","-1.2336107"," 0.8056261","-1.6127004","-1.6285085","-0.9787798"," 0.1927141"," 1.1287113"," 0.1687653"," 0.1824927"
"215.0132751.2"," 0.58668543"," 0.08841390"," 1.04528898"," 0.77170919"," 0.80717446"," 0.07558302"," 0.75798535"," 0.91379301","-0.91859587","-0.55983418","-1.83157623","-1.83608811"," 0.09946104"
"215.0132751.3"," 0.56562592"," 0.78521591"," 0.25464931"," 0.63211775"," 1.00214530","-0.92160314"," 0.82066835"," 0.88679320"," 0.48929868"," 0.04673898","-1.29199981","-1.75600611","-1.51364434"
"215.0132751.4"," 1.63525917"," 1.71662811"," 0.58265283"," 1.42339632","-0.02277195","-0.75008393","-0.67776939","-0.42157386","-0.58159492","-0.66892673","-0.25769668","-1.04316441","-0.93435455"
"215.0132751.5"," 0.11828421","-0.28643163","-0.36597844"," 0.09675941"," 1.54302003","-0.27107600"," 1.33867114"," 1.42796139"," 0.66322066","-0.61112348","-0.85567937","-1.48901999","-1.30860793"
"216.0173798"," 0.8133305"," 0.7921025"," 0.7095790"," 0.7414729","-1.3705660"," 0.7935691","-1.4848310","-1.3719132","-1.4047213"," 0.9001423"," 0.3982838"," 0.1989323"," 0.2846191"
"216.0173798.1"," 0.80917542"," 0.81672899"," 0.84415229"," 0.47910206","-1.33444154"," 0.38557621","-1.46321173","-1.40673354","-1.32336181"," 0.30634136"," 0.86492604","-0.02370833"," 1.04545460"
