"","14R","17L","19R","20L","30R","23R","25L","26R","28L","41L","42R","43L","44L"
"Label","Injured","Injured","Injured","Injured","Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured"
"103.9528122"," 156747.4"," 155588.1"," 288571.6"," 144173.2"," 803605.8"," 759368.7"," 681195.9"," 937421.1"," 882492.1"," 896257.6","1037310.9"," 683061.1"," 793028.0"
"103.9530487"," 297235.8"," 305842.9"," 266376.2"," 267801.6","1222455.1","1213323.6","1876407.5"," 764667.7","1946509.0","2495560.1","1407403.9","2786175.0","2573724.7"
"105.9515762"," 52153.73"," 59955.94"," 67557.50"," 66005.24","210058.73","271861.97","303258.97","364365.62","366222.18","317227.69","435565.75","309091.19","268836.09"
"105.9515762.1"," 108377.10"," 135517.58","  98382.31","  93269.80"," 394242.25"," 462622.75"," 388153.51"," 403737.01"," 446420.10","1146414.78"," 201360.98"," 525530.11","1025159.71"
"118.0855179","116790.13","306709.78","821430.64","326463.98","320272.63","312905.53","928759.55","620069.93","251448.27","142793.63"," 42281.91","151951.67"," 36379.60"
"121.0861588","259934.230","251389.759","365455.168","321684.409","  2370.338","  6012.167","  3463.185","  3858.461","  1616.458","  4948.753"," 10439.298","  4944.147","  3762.837"
"123.0534821"," 136491.43","1444098.19"," 349233.65"," 246508.98"," 296066.86"," 181083.56"," 202077.42"," 181250.82","  78617.47","  50548.56","  57536.25","  39547.19","  79951.11"
"123.0882111","1920069.57"," 349798.29"," 611260.04"," 760814.64","  57934.37","  48341.93","  70820.53","  81313.77","  75844.95","  53610.34","  75048.01","  49786.40","  54725.05"
"123.0959244","1301899.75","2386076.12","2731445.03","2251827.98"," 107831.98"," 118677.49","  62393.95"," 100981.28","  87630.55","  54250.49","  53390.66","  43983.85","  46206.16"
"124.9875717","1136409.3"," 553661.3","2208790.6","2090852.2","1041493.8","1532217.5"," 765555.6"," 814163.8"," 836800.0"," 575507.8"," 832622.4"," 772383.7","1059275.3"
"129.0162506","  6892.338","  6546.733","  3776.930","  6056.341","603583.208","682036.419","641477.785","588575.575","553323.780","230082.274","267821.018","230915.811","231081.782"
