"","14R","17L","19R","20L","30R","23R","25L","26R","28L","41L","42R","43L","44L"
"Label","Injured","Injured","Injured","Injured","Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured","Sham-Injured"
"103.9528122","156747.4026","155588.0743","288571.6108","144173.2055","803605.8266","759368.6665","681195.8673","937421.0869","882492.0546","896257.5975","1037310.89","683061.1169","793027.971"
"103.9530487","297235.7509","305842.867","266376.231","267801.572","1222455.107","1213323.555","1876407.484","764667.7057","1946508.963","2495560.134","1407403.932","2786175.002","2573724.712"
"105.9515762","52153.72571","59955.93511","67557.49788","66005.23698","210058.7297","271861.97","303258.9708","364365.6215","366222.1788","317227.6894","435565.749","309091.1949","268836.0903"
"105.9515762.1","108377.0965","135517.5792","98382.30583","93269.79966","394242.2507","462622.749","388153.5147","403737.0092","446420.1024","1146414.785","201360.9837","525530.1099","1025159.709"
"118.0855179","116790.1309","306709.7822","821430.6403","326463.9806","320272.6267","312905.5266","928759.5474","620069.9333","251448.275","142793.6325","42281.91299","151951.6671","36379.60004"
"121.0861588","259934.2303","251389.7592","365455.1682","321684.4094","2370.338355","6012.167327","3463.185261","3858.460967","1616.457826","4948.75326","10439.29842","4944.147287","3762.83715"
"123.0534821","136491.433","1444098.188","349233.6522","246508.9815","296066.8628","181083.5603","202077.425","181250.815","78617.47183","50548.55573","57536.25144","39547.18988","79951.11436"
"123.0882111","1920069.569","349798.2857","611260.039","760814.6402","57934.366","48341.93283","70820.53143","81313.77385","75844.94613","53610.33948","75048.00998","49786.40311","54725.04583"
"123.0959244","1301899.751","2386076.117","2731445.033","2251827.977","107831.9779","118677.4903","62393.95145","100981.2798","87630.55224","54250.48921","53390.65501","43983.84753","46206.16303"
"124.9875717","1136409.336","553661.2622","2208790.636","2090852.197","1041493.818","1532217.503","765555.5899","814163.8041","836800.0489","575507.7677","832622.3604","772383.7434","1059275.287"
"129.0162506","6892.337758","6546.7332","3776.929527","6056.3412","603583.2079","682036.4194","641477.7854","588575.5746","553323.7796","230082.2743","267821.0175","230915.8111","231081.782"
"130.048111","57049.29967","280912.884","306871.5953","325137.3563","14072.90986","43656.99215","423714.4655","28523.61401","2947.76001","10771.94302","589.552002","589.552002","589.552002"
"132.0746613","213644.392","4334707.484","331238.8332","156982.182","3121.848202","115925.6068","9915.416565","4458.603729","624.3696404","127583.0871","624.3696404","70307.00357","123159.2561"
"132.9847412","737397.8862","1226520.914","1302066.089","916645.8565","790888.5133","478394.7356","806065.5036","1619331.774","761558.343","1799503.316","773501.4956","702562.4046","1398139.558"
"134.0162048","74564.0782","385064.2807","198598.5242","93421.34313","103682.7571","49772.14722","122534.7507","121758.1408","2648.66168","30725.03133","2648.66168","13243.3084","43573.58786"
"135.0003815.1","161147.6134","383800.2463","252623.7873","291852.3588","201092.5807","169408.8611","139340.9206","79772.5665","113927.8092","353.0455952","70.60911904","70.60911904","70.60911904"
"136.109848","973959.966","1578456.337","1224353.064","1568089.482","42678.58777","43593.09435","37471.81936","39899.96249","39431.77424","155530.5424","194298.8798","110121.4152","135473.5562"
"136.109848.1","2203281.415","2055223.952","2026168.43","2247742.287","79865.16602","89524.78647","73383.7464","83795.01066","75174.34087","320099.1096","419020.7689","273420.2969","288609.719"
"137.0446472","781793.72","12401635.91","883508.4029","848080.1164","517234.0582","653159.0979","711034.6985","269563.3794","344564.0154","172607.1998","256714.6503","359403.2775","977929.7117"
"138.9992065","21211.98545","19403.05637","17139.82005","16162.43661","943975.8971","1066275.536","995322.4451","910658.2036","862471.6696","399012.5071","482986.3689","391738.5038","404076.9543"
"154.9676056","3795909.055","4200475.157","7939886.778","7028901.776","1551470.605","3104562.6","1610357.428","1745024.125","5401099.44","3182656.224","703087.7436","1352406.286","1505538.954"
"154.9676056.1","846340.2385","3006512.96","2179067.141","1550520.724","472402.9815","1385295.456","496417.9906","510554.5438","471743.2629","338058.2703","862488.5723","550844.5439","876190.824"
"158.963089","1735136.073","2173043.961","4834838.824","4793978.998","4676955.661","4898585.81","4352167.452","2326979.782","3693048.525","1967762.81","602002.7475","3100552.944","3439097.688"
"159.0244751","841407.9021","4211274.337","1504744.231","542154.2378","894168.7358","1127673.31","1737228.071","475026.7152","473188.0916","200840.1961","414508.4162","226018.7634","1894199.015"
"162.0163116","213622.14","99803.22733","367110.7275","345110.3737","5856.653992","55504.2012","10202.19257","6139.282593","8046.525194","1171.3307984","1171.3307984","1171.3307984","1171.3307984"
"164.9288177","84334.35071","771856.304","386281.4407","157844.8145","31218.95214","176286.3886","130671.4052","72099.58357","6243.790428","119936.2612","6243.790428","6243.790428","6243.790428"
"169.9841309","54886.81527","239358.8734","143831.3516","101337.98","711835.6131","21956.89007","188552.0597","132333.2462","153979.2329","9569.172382","18832.12792","16810.43856","21732.01803"
"173.0754089","1561859.222","2058648.989","1735528.388","1463212.04","99958.181","2570252.641","282637.9788","291457.7071","345656.9264","1295565.072","2370113.09","2079893.397","2452767.966"
"176.0621643","445390.3593","577345.1751","548561.5536","591036.3564","531001.9427","544969.4062","569226.1392","549533.5367","560388.2957","33454.74069","41544.65202","27606.82079","29004.88959"
"176.0621643.1","377529.3416","418371.3121","231519.995","177084.4256","241838.6591","208175.397","177334.0923","277384.4323","164776.104","14450.85808","12617.61387","9814.672673","7875.465446"
"187.0926361","434070.7554","781955.9531","448853.9035","515062.46","21840.17293","463381.6356","19996.64399","15358.5085","32732.68859","31375.6178","71957.1232","56886.6258","52614.75436"
"191.0377502","78844.915","259450.6844","138351.6599","218135.2572","1762.957872","14849.77187","149032.05","78460.06154","352.5915744","33536.89404","352.5915744","352.5915744","48764.37943"
"195.1204834","132165.3671","48648.2486","144438.9491","129917.2766","246688.0893","427335.8073","183659.1616","153001.8548","180660.7714","840567.4305","715250.6016","970183.1213","935429.8177"
"212.1399384","349376.6718","201562.5645","455961.5757","307021.7689","96559.42063","96771.06892","70492.90841","84506.4119","75305.70353","78630.49214","80232.4489","67176.23064","73791.24472"
"215.0132751","145687845.6","122103072.6","127864353","141569030.3","2984697.661","128157722.3","4326719.486","7341549.303","25442421.85","206857734.9","62459582.9","43217036.15","63818081.63"
"215.0132751.1","215137103.5","214176599.5","165919869.1","154482743.2","7022873.226","205350748","3749661.137","3652816.014","10708028.96","74452907.1","350556626.9","71559142.84","73203796.31"
"215.0132751.2","140189924","102437373.8","187123130.5","157512048.4","161069083","101613094.6","156156774.2","172253603.1","54334974","68106282.48","30578344.26","30491594.66","103152417.3"
"215.0132751.3","132494908.6","147770252.1","113524605.9","136945643.1","164588952.3","63278049.95","150396490.4","155420225.5","127563863.4","102381777.5","52640616.59","41801104.99","47150876.5"
"215.0132751.4","23759636.51","24535005.93","15682902.35","21853810.76","12349761.49","9268290.274","9536611.882","10551281.28","9905538.808","9569950.955","11256236.89","8255940.833","8618193.353"
"215.0132751.5","16810789.83","11344176.64","10500241.83","16462785.6","67129720.59","11514736.54","55038546.77","60027875.32","28548614.56","8274331.578","6524018.616","3525382.473","4200986.662"
"216.0173798","9158999.927","8726377.809","7230065.513","7775256.045","63090.22774","8755597.431","48623.77459","62896.78118","58364.79706","11163101.79","3556185.506","2257574.707","2744512.972"
"216.0173798.1","16454817.34","16690546.53","17575107.68","8837941.927","290530.4148","7410772.022","227971.3399","253553.4212","296655.8227","6383565.066","18276257.56","3428788.692","25676029.17"
"216.0173798.2","7353888.385","6391158.898","6898414.828","7571174.024","4795959.143","5112090.807","4176189.229","4694485.819","3504357.107","3445168.956","3393223.166","4852889.789","2221363.518"
"216.0173798.3","1590076.22","1540468.261","1050531.364","1472676.524","779333.5403","618328.6402","619097.8205","658821.0029","625534.1261","649023.3787","758495.321","470887.6324","517453.0227"
"217.016983","1896325.557","1766459.742","1619454.931","1789877.096","24999.19422","1824170.059","41419.09194","90371.12783","303054.84","1131321.709","809056.7287","614825.0855","754675.6651"
"217.0172577","1327956.499","1268916.758","594021.3504","1387318.823","1904304.91","945483.244","1660949.953","2014219.051","647103.3616","1382699.213","206719.8225","112540.7771","159135.3522"
"217.0190277","2355127.573","2351666.884","2314210.162","958233.4464","2288.390638","7882797.477","2288.390638","2288.390638","11441.95319","2684168.375","3914741.635","841033.638","870655.3166"
"217.1023865","74619269.78","120218918.8","60249204.22","85885742.86","8439052.065","38208389.8","6569804.009","6669658.731","5629033.136","59365323.46","31057034.22","25267249.33","111438776"
