"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"103.9528122",-0.0010307,-0.037805,-0.011881,-0.04002,0.013153,-0.010819,-0.0075192,-0.00069494,-0.015005,-0.0065334,0.035862,-0.022983,0.3026
"103.9530487",0.0051158,-0.034857,-0.022803,-0.036216,0.0073877,-0.022072,0.0073738,-0.011609,-0.011009,0.014663,0.0034342,0.041924,-0.034862
"105.9515762",0.00050255,-0.039345,-0.010427,-0.042058,0.0078412,-0.0028604,-0.0067488,0.014072,-0.0080122,0.0060671,0.0083538,-0.0048479,-0.66714
"105.9515762.1",0.0021343,-0.02528,-0.024423,-0.052628,-0.0018847,-0.028774,0.0080241,-0.039219,-0.01647,0.010748,-0.012066,0.0054373,0.05391
"118.0855179",-0.025458,0.013953,0.0090089,-0.013381,-0.035541,0.002202,0.018105,0.035634,0.032164,-0.033402,0.048567,0.010929,0.3462
"121.0861588",0.0070358,0.038927,0.013113,0.035712,-0.0045681,0.019889,-0.0047986,0.012933,0.012184,-0.0079683,0.0018361,-0.0056816,0.36017
"123.0534821",-0.013321,0.022028,0.023584,0.023087,-0.045045,-0.00073777,-0.031045,-0.027897,0.039127,-0.042636,0.0019238,-8.237e-05,0.25442
"123.0882111",-0.0015472,0.036802,0.010013,0.043789,0.0065392,0.024772,0.0048583,0.011225,-0.0095033,0.024342,-0.0055811,-0.01009,-0.0076541
"123.0959244",-0.0031375,0.039191,0.015245,0.037209,-0.01058,0.002931,-0.0086343,0.012441,0.01338,-0.014055,-0.0042383,-0.01513,-0.30087
"124.9875717",-0.00025718,0.017932,0.019721,0.020028,0.0072156,-0.011953,0.030298,0.037912,-0.085418,-0.067911,0.021298,-0.02035,-0.088177
"129.0162506",-0.0070699,-0.039661,-0.001239,-0.040117,0.0052439,-0.010836,0.0052272,-0.010155,-0.01002,0.0035738,0.0016548,0.0068928,0.11442
"130.048111",-0.017414,0.03254,0.020052,-0.003067,-0.024676,0.02149,-0.0032052,0.0041817,0.014636,-0.025286,0.019191,0.040581,0.096464
"132.0746613",0.0128,0.036033,0.0034897,-0.0021691,-0.036638,-0.014312,0.015506,-0.039258,0.023649,-0.0050035,-0.0085598,0.017405,-0.0036872
"132.9847412",-0.00022972,0.015406,-0.040764,-0.022256,-0.020952,0.028007,-0.038246,-0.025021,0.0056413,-0.015637,-0.0047893,-0.075174,0.0020979
"134.0162048",-0.010343,0.027597,0.0084506,4.9475e-05,-0.049208,0.020486,0.015992,-0.055257,0.016705,-0.046851,0.013668,-0.00445,-0.0060271
"135.0003815.1",-0.026557,0.021302,0.028398,0.013906,-0.015669,-0.0097792,-0.0026652,0.0076324,0.0067711,-0.0074475,0.0032254,0.0035142,-0.0040986
"136.109848",0.012974,0.037062,0.00015019,0.036991,0.0012267,0.015957,-0.014988,0.0066443,0.015382,-0.0085597,-0.015052,-0.0023161,-0.0050267
"136.109848.1",0.014915,0.036163,-0.00077079,0.037102,0.0047406,0.018377,-0.0088959,0.0054863,0.012357,-0.0013273,-0.01072,-0.005345,-0.0004388
"137.0446472",0.0021471,0.02034,0.016273,0.033709,-0.059542,-0.015298,-0.031379,-0.038031,0.033209,-0.0043039,-0.021325,0.035885,-0.0051437
"138.9992065",-0.0072271,-0.03955,-0.0011597,-0.039938,0.0050522,-0.011682,0.0044125,-0.0097031,-0.011293,0.0027132,0.011085,0.0043193,0.0014256
"154.9676056",-0.0098076,0.038711,0.0014404,0.0036298,-0.0015213,-0.041538,-0.0064577,0.036585,-0.012919,0.0053792,-0.011975,-0.0034082,-0.002561
