"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"103.9528122",0.039186,0.027603,-0.0030077,-0.013139,-0.0029464,0.011934,-0.014118,-0.0018313
"103.9530487",0.040624,0.019904,0.0030492,-0.021335,0.012156,0.024586,0.011398,0.01891
"105.9515762",0.041967,0.027783,-0.00033695,-0.0030864,-0.0002365,0.0055911,-0.015101,0.0058494
"105.9515762.1",0.03237,0.026403,0.012556,-0.035885,0.0028747,0.026393,0.023864,-0.024057
"118.0855179",-0.026306,0.031444,-0.0040547,0.0077849,-0.016866,-0.048348,0.010466,0.033318
"121.0861588",-0.036115,-0.033813,0.0095759,0.011807,-0.00056352,-0.017503,-0.0048405,0.006786
"123.0534821",-0.032784,-0.0032002,-0.012691,0.0039001,-0.032013,-0.047396,0.046995,0.010071
"123.0882111",-0.040011,-0.024586,0.00049265,0.023523,0.014467,0.0050726,-0.0093802,-0.011809
"123.0959244",-0.042831,-0.022546,0.0014438,0.013644,-0.0039647,-0.027033,-0.0029509,-0.00028793
"124.9875717",-0.020072,-0.014203,-0.00045825,0.02485,-0.010505,-0.022913,-0.048385,-0.028245
"129.0162506",0.03649,0.033991,-0.0092875,2.7544e-05,-0.012459,0.01811,0.0020055,-0.0027178
"130.048111",-0.040416,0.010718,0.0053246,0.013914,-0.023398,-0.022851,0.022552,0.036711
"132.0746613",-0.024581,-0.025575,0.028516,-0.0175,-0.012414,-0.01014,0.055247,-0.011681
"132.9847412",-0.0082402,0.0091952,0.021163,-0.063865,0.020892,-0.028345,0.011432,-0.047189
"134.0162048",-0.032112,0.001342,0.0029705,-0.025325,-0.028716,-0.025483,0.062515,-0.027041
"135.0003815.1",-0.038657,0.017683,-0.015351,0.034609,-0.021643,-0.017578,0.0085921,0.0060941
"136.109848",-0.030294,-0.039655,0.012669,-0.0066391,0.0097331,-0.015464,-0.0065621,0.0086456
"136.109848.1",-0.028257,-0.04158,0.013762,-0.005785,0.012358,-0.008163,-0.0076592,0.004128
"137.0446472",-0.02239,-0.022628,-0.0040661,0.010774,-0.012357,-0.041185,0.077192,0.012718
"138.9992065",0.036281,0.034118,-0.009356,0.00049841,-0.012284,0.017706,0.0022066,-0.0013889
"154.9676056",-0.040366,0.001991,0.016358,0.014028,0.010371,-0.019787,-0.020283,0.0040392
"154.9676056.1",-0.02191,-0.03486,0.0077819,0.028627,-0.021869,-0.055346,0.018958,0.0067265
"158.963089",-0.017605,0.019882,-0.0028242,-0.0076983,-0.0063642,-0.037189,0.021755,-0.0086918
"159.0244751",-0.017652,-0.0099278,-0.0092818,0.022458,-0.014564,-0.031866,0.088234,0.0074979
"162.0163116",-0.042537,-0.011416,0.0011596,0.039839,-0.013617,-0.018452,-0.0028689,0.0031108
"164.9288177",-0.036771,0.0034784,0.017725,-0.0013706,-0.036166,-0.01674,0.028529,0.027623
"169.9841309",-0.026317,0.016897,-0.039443,-0.0028116,-0.0040697,-0.038432,0.020869,0.010407
"173.0754089",0.0051838,-0.042098,0.035973,0.02101,-0.0015855,-0.0037583,0.0017556,-0.00037212
"176.0621643",-0.034484,0.01963,-0.019058,0.044353,-0.0209,-0.02371,0.0049826,0.0030919
"176.0621643.1",-0.037155,0.015454,-0.017846,0.039448,-0.022386,-0.011395,0.013292,-0.0057224
"187.0926361",-0.026718,-0.037464,0.014283,0.035525,-0.019658,-0.011941,0.0017624,0.0089591
"191.0377502",-0.032385,0.0027363,0.02251,-0.0034027,-0.011793,-0.019107,0.048361,-0.025739
"195.1204834",0.038891,-0.0060022,0.015038,-0.029521,0.0044635,0.035245,-0.021533,-0.0053566
"212.1399384",-0.041673,-0.025663,0.0029746,0.011896,0.0013934,-0.0084636,-0.015256,-0.0075218
"215.0132751",-0.011293,-0.033762,0.038905,0.01142,0.0012799,0.014713,-0.022734,0.0012784
"215.0132751.1",-0.0049647,-0.048392,0.022748,0.014917,-0.011649,0.013666,-0.019497,0.015806
"215.0132751.2",-0.035193,0.016247,-0.0057656,-0.0045126,-0.017862,-0.011752,0.029161,-0.046599
"215.0132751.3",-0.036833,0.028265,-0.017025,-0.0058263,-0.0035513,-0.0023034,0.0032571,0.0097649
"215.0132751.4",-0.039357,-0.025154,-0.0073628,0.010373,-0.0042944,-0.0021776,-0.001095,-0.00040314
"215.0132751.5",-0.017735,0.040825,-0.029699,0.010253,-0.013364,0.0011624,-5.5256e-05,-0.0032579
"216.0173798",-0.0094876,-0.041715,0.034234,-0.0032663,-0.013688,0.017696,-0.010059,0.0038848
"216.0173798.1",-0.0045132,-0.048251,0.02658,0.0013208,-0.0029745,0.0096362,0.00053688,-0.0070849
"216.0173798.2",-0.037516,-0.013686,-0.0045232,0.018455,-0.020605,-0.013125,-0.014931,0.009808
"216.0173798.3",-0.039978,-0.02353,-0.0052009,0.012538,-0.0069219,0.0028858,-0.0077631,0.0063332
"217.016983",-0.010657,-0.037188,0.03552,0.02392,0.00086624,0.0042826,-0.019525,-0.0054735
"217.0172577",-0.032605,0.031769,-0.0054604,-0.0025651,-0.030421,0.019237,0.0023086,0.0019866
"217.0190277",-0.001585,-0.042864,0.032976,0.0097841,-0.011348,0.018002,-0.013396,0.012396
"217.1023865",-0.013186,-0.042971,0.028495,-0.014634,-0.0052215,0.0061557,0.01453,-0.016695
"218.1047668",-0.0020169,-0.046048,0.030683,0.0031042,-0.0076965,0.0018947,0.0038371,0.0059462
"219.105484",-0.0084775,-0.050002,0.016185,0.016514,-0.0062182,-0.018757,0.0022917,-0.0020748
"222.1118164",-0.043523,-0.002657,-0.008035,0.031668,-0.0098263,-0.023826,-0.014287,-0.0026665
"223.1513977",0.024623,0.032302,-0.0071554,0.032077,-0.033836,0.023769,0.0073682,-0.012642
"226.9495697",-0.039118,0.00086922,0.0024374,0.0017897,0.011545,-0.04339,0.034169,-0.0035864
"230.9788361",-0.00067229,-0.041597,-0.0015001,-0.0059112,0.0023604,-0.033711,-0.0064706,0.0077679
"231.0792694",-0.010012,-0.050173,0.018721,-0.016631,0.016362,-0.008343,-0.010229,0.0024585
"231.1162872",-0.023615,-0.033041,0.012832,0.020835,-0.025496,-0.018616,0.010986,-0.049649
"232.121933",-0.017066,-0.043613,0.01682,0.029067,-0.022667,-0.010312,0.0010492,-0.0020585
"236.9955139",-0.013316,-0.050485,0.0048187,0.010652,0.0091129,0.0042526,0.010442,0.046258
"236.9955139.1",-0.016094,0.015773,0.023883,-0.057034,-0.0043973,0.00652,-0.022971,-0.023389
"236.9955139.2",-0.032332,0.022465,-0.0087007,-0.02041,0.014806,0.02498,-0.040166,0.026667
