"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"14R",-26.861,-15.76,-4.6855,9.655,8.858,18.43,2.581,-4.9623
"17L",-18.382,-15.853,0.075625,-1.345,-7.7604,-8.1793,13.414,3.1666
"19R",-27.517,-10.236,8.0304,-2.3387,6.5399,-8.503,-3.0075,2.5151
"20L",-25.562,-8.3922,4.5005,-0.71896,-2.5125,-8.3082,-12.389,-0.35649
"30R",-4.2653,6.6549,-43.639,-14.817,-12.921,5.1839,-0.98277,-0.45871
"23R",8.9741,3.0134,15.603,13.771,-28.396,3.0579,0.38646,-0.7289
"25L",2.1567,25.429,-3.1398,4.7825,3.5763,-0.48257,11.834,10.485
"26R",4.2208,26.95,0.20266,1.4827,-4.7267,-7.4435,-2.0133,-12.371
"28L",2.1699,22.214,-11.15,10.481,20.642,-1.3044,-6.4466,1.9318
"41L",0.76721,14.964,34.744,-16.685,0.24073,10.994,-4.4443,3.4756
"42R",34.159,-22.114,-8.7943,5.1612,-2.8761,1.3763,-10.123,5.726
"43L",27.961,-14.959,1.0784,-4.9505,8.1948,-3.4995,1.1708,0.61231
"44L",22.177,-11.912,7.1739,-4.4776,11.142,-1.3213,10.02,-9.0353
