"","V1","mz","103.9528122","103.9530487","105.9515762","105.9515762.1","118.0855179","121.0861588","123.0534821","123.0882111"
"1","14R","Injured",156747.4026,297235.7509,52153.72571,108377.0965,116790.1309,259934.2303,136491.433,1920069.569
"2","17L","Injured",155588.0743,305842.867,59955.93511,135517.5792,306709.7822,251389.7592,1444098.188,349798.2857
"3","19R","Injured",288571.6108,266376.231,67557.49788,98382.30583,821430.6403,365455.1682,349233.6522,611260.039
"4","20L","Injured",144173.2055,267801.572,66005.23698,93269.79966,326463.9806,321684.4094,246508.9815,760814.6402
"5","30R","Injured",803605.8266,1222455.107,210058.7297,394242.2507,320272.6267,2370.338355,296066.8628,57934.366
"6","23R","Sham-Injured",759368.6665,1213323.555,271861.97,462622.749,312905.5266,6012.167327,181083.5603,48341.93283
"7","25L","Sham-Injured",681195.8673,1876407.484,303258.9708,388153.5147,928759.5474,3463.185261,202077.425,70820.53143
"8","26R","Sham-Injured",937421.0869,764667.7057,364365.6215,403737.0092,620069.9333,3858.460967,181250.815,81313.77385
"9","28L","Sham-Injured",882492.0546,1946508.963,366222.1788,446420.1024,251448.275,1616.457826,78617.47183,75844.94613
"10","41L","Sham-Injured",896257.5975,2495560.134,317227.6894,1146414.785,142793.6325,4948.75326,50548.55573,53610.33948
"11","42R","Sham-Injured",1037310.89,1407403.932,435565.749,201360.9837,42281.91299,10439.29842,57536.25144,75048.00998
"12","43L","Sham-Injured",683061.1169,2786175.002,309091.1949,525530.1099,151951.6671,4944.147287,39547.18988,49786.40311
"13","44L","Sham-Injured",793027.971,2573724.712,268836.0903,1025159.709,36379.60004,3762.83715,79951.11436,54725.04583
