p.value,m.z,t.score,pos_inx
0.04,763.4310333,0,1
0.04,1427.852311,0,1
0.04,1426.850391,0,1
0.04,1425.846088,0,1
0.04,1422.76447,0,1
0.04,1421.789673,0,1
0.04,1420.789322,0,1
0.04,797.4049683,0,1
0.04,1405.392935,0,1
0.04,1398.816735,0,1
0.04,1397.815186,0,1
0.04,1395.96936,0,1
0.04,1395.967722,0,1
0.04,1395.762934,0,1
0.04,1428.05727,0,1
0.04,1394.965251,0,1
0.04,563.2662964,0,1
0.04,559.9729614,0,1
0.04,559.9611206,0,1
0.04,559.7967529,0,1
0.04,559.3806152,0,1
0.04,559.2949219,0,1
0.04,395.2143555,0,1
0.04,396.2166138,0,1
0.04,558.793335,0,1
0.04,558.7930908,0,1
0.04,804.989502,0,1
0.04,402.2003479,0,1
0.04,1428.390908,0,1
0.04,942.5211054,0,1
0.04,732.4082642,0,1
0.04,731.9609985,0,1
0.04,949.512447,0,1
0.04,949.4813839,0,1
0.04,730.9595947,0,1
0.04,1471.878476,0,1
0.04,1470.876709,0,1
0.04,730.9574742,0,1
0.04,730.8655396,0,1
0.04,942.0186525,0,1
0.04,730.8626571,0,1
0.04,1469.49707,0,1
0.04,730.3585888,0,1
0.04,729.8780597,0,1
0.04,945.9698486,0,1
0.04,944.9646606,0,1
0.04,944.5477295,0,1
0.04,730.8091431,0,1
0.04,1480.489624,0,1
0.04,402.2309265,0,1
0.04,810.9458008,0,1
0.04,686.9926147,0,1
0.04,686.8339425,0,1
0.04,685.3498947,0,1
0.04,685.3485718,0,1
0.04,685.3212891,0,1
0.04,684.8548662,0,1
0.04,684.3510798,0,1
0.04,683.3777697,0,1
0.04,683.29426,0,1
0.04,891.4772339,0,1
0.04,857.0001831,0,1
0.04,857.0387243,0,1
0.04,890.0137329,0,1
0.04,1147.985229,0,1
0.04,1148.484692,0,1
0.04,1148.484906,0,1
0.04,1148.485228,0,1
0.04,1148.486084,0,1
0.04,873.4923537,0,1
0.04,873.829895,0,1
0.04,874.0988637,0,1
0.04,1157.805746,0,1
0.04,403.1564331,0,1
0.04,686.9935201,0,1
0.04,686.9969471,0,1
0.04,811.3805607,0,1
0.04,811.4453735,0,1
0.04,557.2157593,0,1
0.04,556.805603,0,1
0.04,556.3051147,0,1
0.04,556.2722778,0,1
0.04,555.8130493,0,1
0.04,555.2860291,0,1
0.04,554.9852295,0,1
0.04,554.6411743,0,1
0.04,554.2808838,0,1
0.04,686.9943,0,1
0.04,553.9386029,0,1
0.04,553.7733154,0,1
0.04,553.6066203,0,1
0.04,553.292671,0,1
0.04,553.274231,0,1
0.04,819.4157104,0,1
0.04,699.3677368,0,1
0.04,1266.479535,0,1
0.04,903.1450806,0,1
0.04,901.5048828,0,1
0.04,687.9971071,0,1
0.04,553.795934,0,1
0.04,1480.987861,0,1
0.04,605.3346558,0,1
0.04,755.4299316,0,1
0.04,767.4193726,0,1
0.04,613.3356934,0,1
0.04,767.3519287,0,1
0.04,597.3012085,0,1
0.04,767.3284912,0,1
0.04,604.8335571,0,1
0.04,774.8902588,0,1
0.04,586.833313,0,1
0.04,604.3510742,0,1
0.04,1674.915548,0,1
0.04,605.9936754,0,1
0.04,785.9120483,0,1
0.04,609.3028564,0,1
0.04,1001.865889,0,1
0.04,215.0132751,0,1
0.04,1024.552002,0,1
0.04,606.3276367,0,1
0.04,581.8092574,0,1
0.04,1859.643072,0,1
0.04,767.4194624,0,1
0.04,768.4464111,0,1
0.04,1675.920416,0,1
0.04,954.3447351,0,1
0.04,753.3754883,0,1
0.04,758.4235751,0,1
0.04,604.4365845,0,1
0.04,1655.681694,0,1
0.04,216.0173798,0,1
0.04,217.1023865,0,1
0.04,217.0190277,0,1
0.04,774.9199174,0,1
0.04,578.3184683,0,1
0.04,217.016983,0,1
0.04,737.3525391,0,1
0.04,737.3528442,0,1
0.04,738.4348755,0,1
0.04,738.9358521,0,1
0.04,739.4407961,0,1
0.04,217.0172577,0,1
0.04,601.9719238,0,1
1,903.0055022,0,1
1,903.0061273,0,1
1,902.0270996,0,1
1,902.0061646,0,1
1,901.50488283,0,1
1,901.0037842,0,1
1,901.0245054,0,1
1,901.4541626,0,1
1,903.0070989,0,1
1,901.5258179,0,1
1,903.0092163,0,1
1,953.8434917,0,1
1,907.822937,0,1
1,908.5192261,0,1
1,908.824936,0,1
1,909.020282,0,1
1,911.9939391,0,1
1,911.9939848,0,1
1,911.9939904,0,1
1,907.7650757,0,1
1,911.9942268,0,1
1,911.9947633,0,1
1,911.995943,0,1
1,912.493968,0,1
1,912.4941508,0,1
1,986.4788818,0,1
1,912.4948338,0,1
1,912.4950716,0,1
1,911.9946373,0,1
1,907.5011324,0,1
1,907.3230715,0,1
1,906.8187866,0,1
1,903.14508063,0,1
1,903.1454926,0,1
1,903.1455401,0,1
1,903.9082031,0,1
1,904.4101563,0,1
1,904.9749756,0,1
1,905.4526419,0,1
1,905.4859396,0,1
1,905.875,0,1
1,906.4558105,0,1
1,901.0020844,0,1
1,897.9939575,0,1
1,899.8349609,0,1
1,881.0249634,0,1
1,881.0253296,0,1
1,881.0264476,0,1
1,989.5786743,0,1
1,881.9282304,0,1
1,882.4270483,0,1
1,989.4315597,0,1
1,989.0755005,0,1
1,988.9332886,0,1
1,988.930852,0,1
1,988.9308281,0,1
1,882.9931641,0,1
1,883.4065552,0,1
1,883.9958496,0,1
1,881.0230332,0,1
1,880.0239258,0,1
1,989.9325248,0,1
1,879.0189209,0,1
1,879.0191808,0,1
1,879.0203247,0,1
1,879.5029203,0,1
1,884.527832,0,1
1,879.513916,0,1
1,879.8695679,0,1
1,993.5045166,0,1
1,880.0237573,0,1
1,992.534729,0,1
1,879.7354736,0,1
1,885.0286448,0,1
1,885.8580933,0,1
1,886.3574754,0,1
1,894.5038631,0,1
1,895.0053711,0,1
1,895.4812761,0,1
1,895.5071689,0,1
1,897.4242405,0,1
1,897.4891968,0,1
1,897.4913385,0,1
1,988.928493,0,1
1,894.4807129,0,1
1,897.9934943,0,1
1,898.4951053,0,1
1,898.4974149,0,1
1,898.8858643,0,1
1,898.9982721,0,1
1,988.5743419,0,1
1,988.3385849,0,1
1,987.8379909,0,1
1,912.4951693,0,1
1,900.5236206,0,1
1,893.4824219,0,1
1,893.34729,0,1
1,886.507761,0,1
1,887.0074463,0,1
1,887.4425049,0,1
1,887.5092163,0,1
1,889.4388002,0,1
1,889.545014,0,1
1,988.929344,0,1
1,988.9292517,0,1
1,893.4200439,0,1
1,988.9291388,0,1
1,890.4437256,0,1
1,988.9285499,0,1
1,891.5544434,0,1
1,892.4743652,0,1
1,892.846415,0,1
1,892.8466103,0,1
1,892.9164413,0,1
1,893.0270972,0,1
1,988.929107,0,1
1,912.861145,0,1
1,917.4888306,0,1
1,912.9962158,0,1
1,967.564209,0,1
1,967.5503498,0,1
1,967.0632756,0,1
1,966.9476929,0,1
1,936.5058594,0,1
1,937.0528315,0,1
1,938.5077515,0,1
1,938.5305476,0,1
1,939.0315118,0,1
1,939.5095215,0,1
1,939.8662083,0,1
1,940.8151855,0,1
1,937.5065308,0,1
1,966.9468819,0,1
1,935.4986087,0,1
1,934.4767841,0,1
1,926.837529,0,1
1,926.8379234,0,1
1,927.4336953,0,1
1,930.5341187,0,1
1,931.0337002,0,1
1,932.880127,0,1
1,933.4718857,0,1
1,933.5707397,0,1
1,935.4967041,0,1
1,933.8257446,0,1
1,933.9745483,0,1
1,934.4712359,0,1
1,926.390686,0,1
1,966.9462494,0,1
1,966.5490168,0,1
1,961.8327593,0,1
1,945.96984862,0,1
1,961.5127563,0,1
1,961.5109863,0,1
1,961.3339769,0,1
1,960.831665,0,1
1,946.8555227,0,1
1,947.8564541,0,1
1,959.8832397,0,1
1,959.4614556,0,1
1,950.4819785,0,1
1,951.4718693,0,1
1,955.9567715,0,1
1,955.9565844,0,1
1,951.5274261,0,1
1,946.8563002,0,1
1,966.5606362,0,1
1,965.5484009,0,1
1,965.520752,0,1
1,941.3165894,0,1
1,941.4506226,0,1
1,941.5169629,0,1
1,941.8175606,0,1
1,964.5220337,0,1
1,964.0340423,0,1
1,963.5216236,0,1
1,963.5182929,0,1
1,962.5170037,0,1
1,962.5167103,0,1
1,962.5153961,0,1
1,944.96466066,0,1
1,945.0501709,0,1
1,945.5527344,0,1
1,963.5192892,0,1
1,925.889743,0,1
1,924.9896232,0,1
1,920.0082397,0,1
1,920.4970601,0,1
1,920.5086349,0,1
1,921.0106201,0,1
1,921.4962158,0,1
1,985.5458374,0,1
1,921.517334,0,1
1,922.5221558,0,1
1,922.5357666,0,1
1,983.5379639,0,1
1,922.9853516,0,1
1,982.53479,0,1
1,981.5321655,0,1
1,981.3504905,0,1
1,980.8482909,0,1
1,980.5299683,0,1
1,919.8500366,0,1
1,919.50354,0,1
1,914.5361328,0,1
1,914.899231,0,1
1,915.0405884,0,1
1,915.4014569,0,1
1,915.435791,0,1
1,915.539769,0,1
1,916.5175975,0,1
1,919.5050481,0,1
1,917.0191481,0,1
1,917.5202517,0,1
1,918.4898682,0,1
1,919.4932631,0,1
1,919.4953391,0,1
1,952.5299625,0,1
1,924.9912162,0,1
1,923.4862039,0,1
1,923.4864534,0,1
1,923.4864922,0,1
1,923.4866624,0,1
1,923.524292,0,1
1,923.5394897,0,1
1,923.9877931,0,1
1,923.9881444,0,1
1,923.485991,0,1
1,923.9893799,0,1
1,967.8190918,0,1
1,924.0389367,0,1
1,924.5286255,0,1
1,924.9858227,0,1
1,923.4855297,0,1
1,879.0131226,0,1
1,979.5283813,0,1
1,978.600672,0,1
1,978.5054932,0,1
1,978.4401855,0,1
1,977.9398804,0,1
1,977.5966187,0,1
1,967.9489746,0,1
1,923.0377,0,1
1,975.8093872,0,1
1,975.3096924,0,1
1,974.8101807,0,1
1,973.8606159,0,1
1,971.4589926,0,1
1,971.024292,0,1
1,970.5217423,0,1
1,967.9502589,0,1
1,977.5048828,0,1
1,878.8654324,0,1
1,860.9568604,0,1
1,878.4976807,0,1
1,796.5389209,0,1
1,796.9042358,0,1
1,797.40496835,0,1
1,797.8529732,0,1
1,797.8544602,0,1
1,797.9059448,0,1
1,798.4561768,0,1
1,798.9573975,0,1
1,799.3900146,0,1
1,799.4588623,0,1
1,799.9597147,0,1
1,800.3933105,0,1
1,801.3873291,0,1
1,801.4947123,0,1
1,801.4956665,0,1
1,796.4764791,0,1
1,795.9172363,0,1
1,795.4148445,0,1
1,795.3538208,0,1
1,790.4573364,0,1
1,790.9596407,0,1
1,791.4451904,0,1
1,791.4488723,0,1
1,791.4595947,0,1
1,791.9626556,0,1
1,792.4519813,0,1
1,792.4525405,0,1
1,794.0008545,0,1
1,802.3894718,0,1
1,794.5007324,0,1
1,795.0007324,0,1
1,790.4475708,0,1
1,802.5002441,0,1
1,802.939641,0,1
1,806.4536293,0,1
1,806.9539185,0,1
1,807.4249268,0,1
1,807.4535522,0,1
1,807.9259687,0,1
1,807.9576416,0,1
1,809.3718872,0,1
1,809.4411621,0,1
1,809.9423622,0,1
1,809.9458618,0,1
1,810.3736831,0,1
1,810.4417725,0,1
1,810.8807983,0,1
1,811.8832934,0,1
1,812.4716797,0,1
1,812.9717407,0,1
1,806.4312148,0,1
1,806.4307861,0,1
1,806.4228163,0,1
1,805.4924927,0,1
1,803.4210205,0,1
1,803.4976132,0,1
1,803.4990142,0,1
1,803.8916043,0,1
1,804.4234619,0,1
1,804.4238499,0,1
1,804.8411255,0,1
1,804.9749756,0,1
1,804.9891357,0,1
1,804.9893188,0,1
1,804.9895024,0,1
1,805.3419235,0,1
1,805.426774,0,1
1,805.489817,0,1
1,805.4904327,0,1
1,805.4905633,0,1
1,805.4910562,0,1
1,813.4038086,0,1
1,789.5580444,0,1
1,771.8514655,0,1
1,771.8533325,0,1
1,772.4041748,0,1
1,772.8503705,0,1
1,772.9068604,0,1
1,773.4000854,0,1
1,773.9030762,0,1
1,774.3869019,0,1
1,774.89025886,0,1
1,775.3886108,0,1
1,775.3915423,0,1
1,775.4259867,0,1
1,775.9264526,0,1
1,776.4400024,0,1
1,776.8865815,0,1
1,776.9439697,0,1
1,777.4430348,0,1
1,777.9468765,0,1
1,781.1840279,0,1
1,782.4598389,0,1
1,782.9606323,0,1
1,771.4476318,0,1
1,770.8488159,0,1
1,770.3799438,0,1
1,769.9490256,0,1
1,763.858915,0,1
1,763.8994094,0,1
1,763.9301565,0,1
1,763.9315796,0,1
1,764.432251,0,1
1,765.3452148,0,1
