"","m.z","p.value"
"1",707.3619977,0.04
"2",612.3283691,0.04
"3",697.8916743,0.04
"4",697.9867368,0.04
"5",1254.987183,0.04
"6",1254.987183,0.04
"7",1252.796376,0.04
"8",801.4956665,0.04
"9",826.4853836,0.04
"10",846.9666264,0.04
"11",362.1880493,0.04
"12",237.999588,0.04
"13",1576.500165,0.04
"14",1586.691528,0.04
"15",1586.989746,0.04
"16",777.9468765,0.04
"17",362.1880493,0.04
"18",319.1317139,0.04
"19",362.6912537,0.04
"20",362.6912537,0.04
"21",966.5490168,0.04
"22",966.5606362,0.04
"23",850.4572842,0.04
"24",462.5549927,0.04
"25",463.2164307,0.04
"26",463.5503235,0.04
"27",612.8276367,0.04
"28",464.5610962,0.04
"29",1136.839672,0.04
"30",839.840271,0.04
"31",527.2900391,0.04
"32",527.2902832,0.04
"33",528.2615356,0.04
"34",652.8700562,0.04
"35",528.2935181,0.04
"36",530.2617188,0.04
"37",530.6061401,0.04
"38",1302.688825,0.04
"39",1306.807739,0.04
"40",1307.755424,0.04
"41",1307.756247,0.04
"42",898.9982721,0.04
"43",1309.942537,0.04
"44",1310.443604,0.04
"45",1312.846451,0.04
"46",614.7835083,0.04
"47",623.2845459,0.04
"48",623.30511,0.04
"49",623.3450317,0.04
"50",707.1644576,0.04
"51",623.3557677,0.04
"52",623.803404,0.04
"53",623.9543085,0.04
"54",1490.977051,0.04
"55",839.4454424,0.04
"56",1136.992394,0.04
"57",465.1916199,0.04
"58",1244.997437,0.04
"59",465.2441101,0.04
"60",878.50885,0.04
"61",465.229126,0.04
"62",666.3713379,0.04
"63",987.8379909,0.04
"64",666.377086,0.04
"65",666.3777615,0.04
"66",1214.430611,0.04
"67",878.8654324,0.04
"68",666.8725519,0.04
"69",666.8763583,0.04
"70",666.8779907,0.04
"71",138.9992065,0.04
"72",667.0178833,0.04
"73",667.0178833,0.04
"74",667.0178833,0.04
"75",706.8650513,0.04
"76",666.8742065,0.04
"77",879.0131226,0.04
"78",831.4557495,0.04
"79",921.0106201,0.04
"80",215.0132751,0.04
"81",920.0082397,0.04
"82",920.4970601,0.04
"83",921.4962158,0.04
"84",920.5086349,0.04
"85",901.4541626,1
"86",903.1450806,1
"87",903.1450806,1
"88",903.1450806,1
"89",904.4101563,1
"90",907.7650757,1
"91",903.1450806,1
"92",903.1450806,1
"93",901.5048828,1
"94",903.1450806,1
"95",901.5048828,1
"96",903.1450806,1
"97",901.0245054,1
"98",907.822937,1
"99",901.5048828,1
"100",903.1450806,1
