m.z,p.value
700.8780034,0.04
436.7203064,0.04
581.3616333,0.04
437.2333679,0.04
1469.49707,0.04
322.8828125,0.04
437.2333679,0.04
580.8081665,0.04
580.6158876,0.04
437.3497314,0.04
438.2375183,0.04
438.2375183,0.04
436.2231445,0.04
439.2383728,0.04
649.3014687,0.04
579.3173828,0.04
579.2755127,0.04
649.2989502,0.04
701.3688965,0.04
648.8596802,0.04
648.3767154,0.04
440.2419434,0.04
442.2070313,0.04
442.5581665,0.04
901.0037842,0.04
649.8005687,0.04
436.2223816,0.04
797.8544602,0.04
436.12146,0.04
743.3902588,0.04
587.3305664,0.04
587.3256836,0.04
587.2967529,0.04
587.2936687,0.04
493.3130188,0.04
493.254364,0.04
1158.973022,0.04
821.469809,0.04
964.5220337,0.04
294.9372559,0.04
297.1513062,0.04
964.0340423,0.04
837.9636388,0.04
700.3798218,0.04
963.5182929,0.04
700.3798218,0.04
584.2924816,0.04
584.2918701,0.04
583.8231908,0.04
305.1539612,0.04
305.1539612,0.04
583.3674927,0.04
741.3864136,0.04
700.3706055,0.04
443.2315063,0.04
587.7960028,0.04
444.1911926,0.04
831.4456787,0.04
633.8394775,0.04
634.338623,0.04
845.5184326,0.04
846.4163221,0.04
1137.494386,0.04
1137.494179,0.04
1136.994263,0.04
1136.994263,0.04
1136.994263,0.04
1136.994263,0.04
636.8761037,0.04
885.0286448,0.04
815.9794922,0.04
846.4616812,0.04
846.5233115,0.04
563.2662964,0.04
846.5255737,0.04
563.9595947,0.04
657.4694897,0.04
641.3220242,0.04
641.3301392,0.04
641.3302612,0.04
641.8234253,0.04
821.9709473,0.04
1136.994263,0.04
663.340332,0.04
1244.68396,0.04
663.8372192,0.04
1233.507807,0.04
444.5643616,0.04
446.256134,0.04
447.1794128,0.04
447.87835689999997,0.04
830.4431763,0.04
842.4829102,0.04
349.2860413,0.04
350.1835938,0.04
351.186554,0.04
699.3769531,0.04
1289.715576,0.04
1289.713977,0.04
699.3769531,0.04
630.3245239,0.04
665.0115356,0.04
664.822937,0.04
664.4604492,0.04
1244.497318,0.04
664.4565608,0.04
631.3203735,0.04
1244.497666,0.04
631.3589478,0.04
807.9259687,0.04
664.3259888,0.04
831.4456787,0.04
743.3933058,0.04
1158.972987,0.04
1496.042751,0.04
1009.804932,0.04
1010.573853,0.04
1010.910889,0.04
762.3943481,0.04
761.3946763,0.04
760.9492188,0.04
1010.910889,0.04
1011.414246,0.04
1011.579762,0.04
1011.911987,0.04
512.2462158,0.04
1014.843372,0.04
510.2567139,0.04
509.7729492,0.04
509.7493896,0.04
611.8223384,0.04
509.267334,0.04
216.0173798,0.04
743.3997192,0.04
785.4102783,0.04
509.2511902,0.04
509.2197876,0.04
702.3953373,0.04
1159.976563,0.04
700.877071,0.04
1009.570068,0.04
512.2776489,0.04
1009.302795,0.04
512.750061,0.04
103.9530487,0.04
885.8580933,0.04
886.3574754,0.04
701.3833618,0.04
1893.134929,0.04
1892.634268,0.04
995.500061,0.04
701.3925781,0.04
701.3925781,0.04
701.3925781,0.04
881.0249634,0.04
881.0249634,0.04
912.4950716,0.04
773.9030762,0.04
880.0239258,0.04
880.0239258,0.04
880.0239258,0.04
880.0239258,0.04
765.4125977,0.04
765.4125977,0.04
775.3915423,0.04
701.5002194,0.04
701.5003298,0.04
1159.976563,0.04
1159.976563,0.04
701.8808594,0.04
881.0230332,0.04
912.4951693,0.04
509.2516174,0.04
1159.476926,0.04
1024.552002,0.04
912.861145,0.04
496.2405701,0.04
788.9327393,0.04
495.3156738,0.04
495.2692566,0.04
495.2382813,0.04
495.2382813,0.04
967.564209,0.04
495.2382813,0.04
494.9674377,0.04
1564.365578,0.04
494.9674377,0.04
618.3154297,0.04
494.9674377,0.04
494.9674377,0.04
494.9674377,0.04
494.7662964,0.04
494.2667236,0.04
493.9079895,0.04
792.4519813,0.04
493.7565613,0.04
743.9020386,0.04
743.4047852,0.04
617.34729,0.04
497.2215881,0.04
1558.927612,0.04
820.9694214,0.04
236.9955139,0.04
236.9955139,0.04
236.9955139,0.04
236.9955139,0.04
237.99777219999999,0.04
497.725769,0.04
501.2577209,0.04
501.2545471,0.04
500.2460022,0.04
499.2709961,0.04
787.4174539,0.04
