Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
587.3256836,C03428,M+H[1+],0.000392866769971079
587.3256836,C01079,M+H2O+H[1+],0.00280713323013515
493.254364,C00695,M+HCOOK[1+],0.00181246676999081
297.1513062,C04555,M-C3H4O2+H[1+],0.00057026677001204
563.2662964,C02191,M+H[1+],0.00101993322994076
447.1794128,C00735,M+HCOOK[1+],0.00153633323003532
447.1794128,C05469,M+HCOOK[1+],0.00153633323003532
447.1794128,C05473,M+HCOOK[1+],0.00153633323003532
1159.476926,C06506,M-CO+H[1+],0.00264953322994188
501.2545471,C05859,M-H2O+H[1+],0.00164063323006758
499.2709961,C05122,M-NH3+H[1+],0.00148036677001073
499.2321472,C11061,M+Na[1+],0.00187073323002096
893.34729,C05787,M-CO2+H[1+],0.0021135332300446
988.3385849,C00154,M-H2O+H[1+],0.00299156677010615
809.3718872,C15670,M-CO2+H[1+],0.000489266770046015
871.0142738,C04392,M+H[1+],0.000897333230000186
843.4153834,G13044,M+H2O+H[1+],0.00209306676993037
843.4153834,G00100,M+H2O+H[1+],0.00209306676993037
843.4153834,G00883,M+H2O+H[1+],0.00209306676993037
843.4153834,G00474,M+H2O+H[1+],0.00209306676993037
843.4153834,G13341,M+H2O+H[1+],0.00209306676993037
843.4157946,G13044,M+H2O+H[1+],0.0016818667698999
843.4157946,G00100,M+H2O+H[1+],0.0016818667698999
843.4157946,G00883,M+H2O+H[1+],0.0016818667698999
843.4157946,G00474,M+H2O+H[1+],0.0016818667698999
843.4157946,G13341,M+H2O+H[1+],0.0016818667698999
848.9557495,C06198,M+NaCl[1+],0.00392696676999549
843.4149998,G13044,M+H2O+H[1+],0.00247666676989411
843.4149998,G00100,M+H2O+H[1+],0.00247666676989411
843.4149998,G00883,M+H2O+H[1+],0.00247666676989411
843.4149998,G00474,M+H2O+H[1+],0.00247666676989411
843.4149998,G13341,M+H2O+H[1+],0.00247666676989411
843.4147081,G13044,M+H2O+H[1+],0.00276836676994208
843.4147081,G00100,M+H2O+H[1+],0.00276836676994208
843.4147081,G00883,M+H2O+H[1+],0.00276836676994208
843.4147081,G00474,M+H2O+H[1+],0.00276836676994208
843.4147081,G13341,M+H2O+H[1+],0.00276836676994208
841.5645752,C17432,M-H2O+H[1+],0.00130126677004228
1225.419839,C06506,M+K[1+],0.00493746677011586
1214.430611,C05467,M+H[1+],0.00493453322997084
1022.332275,C05259,M(S34)+H[1+],0.00509853322989784
1022.332275,C05259,M(Cl37)+H[1+],0.00369853322990821
1156.632813,C06508,M-HCOOK+H[1+],0.00313653322996288
1156.632202,C06508,M-HCOOK+H[1+],0.00252553323002758
537.3354047,C03313,M+HCOOK[1+],0.00142823322994445
539.2628373,C00486,M-HCOOH+H[1+],0.00253916677002053
539.2628373,C00500,M-CO2+H[1+],0.00243916677004563
539.2644043,C00486,M-HCOOH+H[1+],0.000972166769997784
539.2644043,C00500,M-CO2+H[1+],0.000872166770022886
535.2502441,C11135,M+HCOONa[1+],0.00113236676997985
535.2502441,C11136,M+HCOONa[1+],0.00113236676997985
549.2486572,C00486,M-H4O2+H[1+],0.000919266769983551
550.2753682,C01921,M+HCOOK[1+],0.00220826677002606
551.2636719,C16641,M-H4O2+H[1+],0.00150456676999511
551.264431,C16641,M-H4O2+H[1+],0.000745466770013081
543.298584,C16641,M-CO2+H[1+],0.00200753323008485
483.2642822,C00828,M+K[1+],0.00132479476997105
515.2685547,C00500,M-HCOONa+H[1+],0.000878233229968828
524.2723999,C01921,M+NaCl[1+],0.00247656677004215
525.2762451,C18043,M+NaCl[1+],0.00133136677004586
479.2435913,C11061,M(S34)+H[1+],0.000485166769976786
479.2435913,C11061,M(Cl37)+H[1+],0.00188516677002326
579.7778931,C02465,M-C3H4O2+H[1+],0.00171663323010307
580.3054199,C02166,M-HCOOH+H[1+],0.000243433229911716
582.3179932,C02166,M-CO2+H[1+],0.00278326676993856
576.9758911,C00081,M+HCOONa[1+],0.00141463322995605
571.317688,C05770,M-HCOOK+H[1+],0.00271153322989903
574.2890015,C05791,M-NH3+H[1+],0.00217496676987139
574.2891846,C05791,M-NH3+H[1+],0.00199186676991303
576.9759521,C00081,M+HCOONa[1+],0.00147563322991573
590.981306,C22443,M+HCOOK[1+],0.00102953323005295
591.3154907,C05791,M+H[1+],0.00218576676991233
591.9838257,C00044,M+HCOONa[1+],0.00155076676992394
591.9838257,C21310,M+HCOONa[1+],0.00155076676992394
593.3366928,C03263,M-HCOONa+H[1+],0.000916333229952215
593.3366928,C05768,M-HCOONa+H[1+],0.000916333229952215
590.9810791,C22443,M+HCOOK[1+],0.000802633230023275
590.980835,C22443,M+HCOOK[1+],0.000558533229991554
586.2774658,C16641,M[1+],0.00163420000001224
590.3095703,C05791,M[1+],0.000829699999940203
590.3131104,C05791,M[1+],0.00271040000006906
559.9729614,C01228,M-CO2+H[1+],0.00151506677002544
552.906189,C01284,M-CO+H[1+],0.00108746676994542
563.26629649,C02191,M+H[1+],0.00102002322989847
569.3112183,C01079,M+H[1+],0.00105816677000803
570.315704,C01079,M(C13)+H[1+],2.75332299679576e-05
319.1317139,C04352,M-HCOOK+H[1+],0.000462566770011108
323.166626,C04555,M-HCOOH+H[1+],0.000950466770007097
326.2159729,C19691,M+H[1+],0.00109643322997499
327.1966248,C00735,M-H4O2+H[1+],0.00124833323002349
327.1966248,C05469,M-H4O2+H[1+],0.00124833323002349
327.1966248,C05473,M-H4O2+H[1+],0.00124833323002349
