m.z,p.value,r.t
740.3924561,0.04,8.148466666667
1139.624029,0.04,6.62901666666683
951.5274261,0.04,6.30531666666633
1139.897064,0.04,4.64821666666667
1140.398982,0.04,4.681333333333
1141.648202,0.04,6.794416666667
1142.652513,0.04,6.80070833333333
902.0270996,0.04,6.40978333333333
903.0055022,0.04,1.181283333333
558.2919312,0.04,6.807083333333
783.0072261,0.04,2.443916666667
1117.013407,0.04,1.63183333333333
557.8270874,0.04,6.66668333333367
557.7661743,0.04,6.4375083333335
557.3062744,0.04,6.70668333333367
557.2652588,0.04,6.4397
576.9759521,0.04,8.630933854167
1117.011596,0.04,1.15427499999983
1116.821974,0.04,4.9994833333335
1116.014222,0.04,4.28986666666683
1149.654311,0.04,4.29464973958333
1150.673462,0.04,6.8443583333335
578.8191686,0.04,6.84496666666633
740.3924561,0.04,7.78294999999967
740.411377,0.04,5.97776666666667
741.3849732,0.04,3.589783333333
658.8817668,0.04,4.51401666666667
658.8820801,0.04,5.08306666666667
659.3693237,0.04,4.00334166666683
659.3693237,0.04,4.84472500000017
950.4819785,0.04,5.83083333333333
903.1450806,0.04,14.89665
1139.000366,0.04,4.36034999999983
830.1826172,0.04,3.32795000000033
1270.088379,0.04,5.60183333333333
1269.883911,0.04,4.66698333333333
1269.754456,0.04,5.56708333333367
1269.419473,0.04,5.589116666667
1268.88069,0.04,4.60579166666667
688.3477836,0.04,7.18752499999983
794.0008545,0.04,1.163816666667
562.9543499,0.04,6.33930000000017
1428.725106,0.04,5.54571666666667
1428.438604,0.04,4.568158333333
692.3847885,0.04,7.5631
692.4024715,0.04,4.0922166666665
692.4880876,0.04,1.02898333333317
1419.784058,0.04,7.97183333333367
685.430542,0.04,0.843733333333
685.357666,0.04,2.44525000000033
685.3573886,0.04,6.87228333333333
1417.226629,0.04,5.56647500000033
291.1389771,0.04,2.44033333333367
1416.941895,0.04,4.59371666666667
1416.725147,0.04,5.61966666666683
1414.81269,0.04,5.82976666666683
1484.711416,0.04,5.61880833333333
1413.809744,0.04,5.8288
1408.787228,0.04,4.840833333333
1406.062148,0.04,5.503691666667
1405.729104,0.04,5.57475833333317
890.4437256,0.04,5.76674999999967
830.4431763,0.04,5.64479999999967
902.0061646,0.04,1.182933333333
903.1450806,0.04,15.4673333333337
1273.763365,0.04,5.86125
903.1450806,0.04,11.6442833333333
1109.583922,0.04,6.47176666666683
591.6511881,0.04,8.78878333333317
135.0003815,0.04,0.185616666667
591.650153,0.04,9.17084999999967
591.3539322,0.04,3.77453333333333
1107.42627,0.04,4.6056416666665
1106.926007,0.04,4.57225
755.3814087,0.04,7.63184166666683
1005.538696,0.04,6.5154666666665
591.3154907,0.04,8.93445
1004.491333,0.04,6.14905
1003.488525,0.04,6.14939999999967
903.1450806,0.04,15.8728583333332
809.4411621,0.04,9.05650833333367
591.3154907,0.04,6.83834166666667
597.3047485,0.04,2.045500130208
597.3011475,0.04,6.84445000000033
995.5501222,0.04,6.45128333333367
995.3277271,0.04,5.11226666666667
994.8259888,0.04,5.992016666667
404.1975708,0.04,4.6781
594.8303223,0.04,6.02114166666633
135.0003815,0.04,0.72
1109.834839,0.04,4.84905000000033
1110.588013,0.04,6.47398333333333
594.2996826,0.04,6.649216666667
1111.283569,0.04,5.62336666666667
591.8160681,0.04,6.83375000000033
754.4265747,0.04,5.90207499999983
1110.785034,0.04,5.58944166666667
754.932251,0.04,5.90081666666633
974.8101807,0.04,5.591483333333
755.3623047,0.04,3.5977333333335
975.3096924,0.04,5.56585
754.4221838,0.04,7.942083333333
975.8093872,0.04,5.586833333333
1115.008179,0.04,2.44603333333367
903.1450806,0.04,17.306883333333
1111.784668,0.04,5.586483333333
699.3677368,0.04,4.76425833333333
1111.607436,0.04,6.964075
1111.603146,0.04,6.70959999999983
903.1450806,0.04,10.9795833333337
911.9939848,1.0,2.894333333333
902.0061646,1.0,2.04214173177083
911.9939391,1.0,1.68249166666683
902.0061646,1.0,2.464516666667
911.9942268,1.0,2.03929999999983
901.4541626,1.0,5.81673333333333
911.9939904,1.0,3.524816666667
901.0245054,1.0,6.47128333333367
901.5048828,1.0,3.44476666666667
901.5048828,1.0,4.25546666666683
902.0061646,1.0,1.68489166666667
902.0061646,1.0,3.45354999999967
902.0061646,1.0,4.310833333333
901.5258179,1.0,6.45127500000017
901.5048828,1.0,2.04480000000033
901.5048828,1.0,1.17118333333333
901.5048828,1.0,2.65202500000017
901.0037842,1.0,1.16379166666667
901.5048828,1.0,1.70525833333333
902.0061646,1.0,2.932725
908.824936,1.0,5.5783
903.1454926,1.0,16.8073166666667
903.1455401,1.0,16.265416666667
903.1450806,1.0,12.2177833333333
903.1450806,1.0,12.7255333333333
903.1450806,1.0,14.079266666667
903.1450806,1.0,13.5570833333337
903.9082031,1.0,4.648375
903.1450806,1.0,13.19395
904.4101563,1.0,4.665566666667
901.0037842,1.0,2.030550065104
904.9749756,1.0,1.42608333333367
905.4526419,1.0,5.7019833333335
903.0092163,1.0,2.91243333333333
905.4859396,1.0,5.94250000000033
903.0092163,1.0,2.457833333333
903.0092163,1.0,4.24456666666667
903.0092163,1.0,3.44750000000033
903.0070989,1.0,2.04480000000033
903.0061273,1.0,1.638575
905.875,1.0,4.799925
906.4558105,1.0,5.714825
906.8187866,1.0,5.56988333333367
907.3230715,1.0,5.60589999999967
907.5011324,1.0,6.15263333333367
907.7650757,1.0,21.8889750000002
907.822937,1.0,5.56329999999967
908.5192261,1.0,6.59479999999983
909.020282,1.0,6.59023333333367
,1.0,
893.4824219,1.0,6.02854166666667
901.0037842,1.0,1.66917499999967
879.0189209,1.0,1.68399166666667
879.0189209,1.0,1.16291666666683
879.0191808,1.0,2.44033333333367
879.0203247,1.0,3.431366666667
879.0203247,1.0,2.0312583333335
879.0203247,1.0,2.89275833333333
879.5029203,1.0,5.915233333333
879.513916,1.0,6.29228333333367
879.7354736,1.0,21.8662499999997
879.8695679,1.0,4.88328333333367
880.0237573,1.0,4.27845846354167
880.0239258,1.0,3.46370000000017
880.0239258,1.0,1.68506666666633
880.0239258,1.0,2.46029166666667
880.0239258,1.0,2.03522500000033
880.0239258,1.0,2.93323333333333
880.0239258,1.0,1.16841666666633
881.0230332,1.0,1.16041666666633
881.0249634,1.0,1.68465000000033
881.0249634,1.0,2.4615
881.0253296,1.0,3.4408833333335
879.0189209,1.0,4.287766666667
881.0253296,1.0,2.06903339843783
879.0131226,1.0,6.307075
878.50885,1.0,6.31047499999967
873.4923537,1.0,6.62455
873.829895,1.0,5.796641666667
873.9958997,1.0,6.61019166666667
874.0988637,1.0,1.593633333333
874.4674072,1.0,5.77523333333367
874.4674072,1.0,5.41564999999967
874.4674072,1.0,6.06149166666667
874.4674072,1.0,4.69495
875.4665527,1.0,5.75269999999967
875.468776,1.0,6.06178333333333
875.4768492,1.0,8.799783333333
875.4784913,1.0,9.17230833333333
875.9797974,1.0,8.7940916666665
875.9797974,1.0,9.19426666666667
876.473938,1.0,5.77523333333367
876.4842529,1.0,8.80004999999967
876.4842529,1.0,9.21212500000017
876.9834595,1.0,9.19853333333367
876.9842735,1.0,8.81092499999983
877.4935913,1.0,5.9141416666665
878.4976807,1.0,5.923016666667
878.8654324,1.0,4.83846666666633
881.0253296,1.0,2.94350833333367
881.0264476,1.0,4.29883333333333
881.9282304,1.0,4.6303916666665
