Gene,log2FC,pvalue,FDR
COX1,2.6178230934508995,1.81835613842193e-19,5.621348173390479e-19
Hba-a1,6.946883934042334,0.0,0.0
COX3,2.779094788143842,2.4906779744575582e-21,8.077191064558419e-21
ATP6,2.794244023524576,3.854609059170233e-21,1.2437962278829726e-20
Hbb,6.913857437529783,1.5542409781552497e-261,9.928920124587641e-260
CYTB,2.5110061997525213,2.55210628025836e-17,7.452761814007941e-17
COX2,2.7009497917592524,1.2469891865701962e-20,3.9748316707500783e-20
ND4,2.3039762181724552,9.344930270151837e-15,2.5185361970444127e-14
Csn1s1,2.7428035418138594,0.00018358799585074912,0.00031412639718591634
Ca3,-4.456483675582181,2.907030922939773e-105,4.340864176118934e-104
ND2,2.339296904008834,1.3589795154536908e-15,3.762921657527164e-15
Hba-a2,6.777827971909151,0.0,0.0
ND1,2.553130249021779,4.082241645497638e-18,1.2199313161279048e-17
ND5,2.6010405029841293,3.6551589379544134e-19,1.1219840022844936e-18
mt-Rnr2,4.625812456539547,3.2456486801049107e-55,2.2436152032695365e-54
Fasn,-3.5672346235865176,2.2678840980976504e-103,3.3082536064060686e-102
Eef1a1,-0.07532928247987195,0.1737672710794963,0.22099856732394155
Gsn,-5.2735414827793194,0.0,0.0
Fabp4,-4.007004881296243,4.833656268539926e-180,1.5710230882626435e-178
Lpl,-5.760395466793684,0.0,0.0
Actb,0.7555531816864078,7.910194471024794e-28,3.045813969174283e-27
Adipoq,-4.804220863718266,8.976214340718566e-180,2.9004653524910255e-178
Fth1,-0.0035680673130885692,0.9726554559428782,0.977934167849656
Sparc,-3.852579071034747,2.8425204043871614e-139,6.289076394706594e-138
Cfd,-3.514201315360631,6.3023162374922156e-139,1.3888585719561553e-137
Tf,2.3762447017507102,1.584269241146009e-24,5.5926394743656565e-24
Tmsb4x,0.8874077088453493,3.572560326701915e-27,1.351087083814909e-26
ND3,2.540854928091924,3.9776583922127755e-19,1.2197654939439508e-18
mt-Rnr1,4.0086519648948675,4.1409873502276024e-42,2.2095602433846938e-41
Eef2,0.07836165655104303,0.13928223217433866,0.18028384880025605
Sncg,-5.263998338840112,1.595439904491709e-182,5.354550664966195e-181
B2m,-0.4530333453765871,5.76580001828307e-10,1.303814929677502e-09
LOC120097382,-1.909906659030689,9.204107233135965e-69,8.063459517705401e-68
Thrsp,-3.8101481112305695,9.946973578057349e-143,2.271293744951813e-141
Acsl1,-3.5452744592349363,2.9092111205845198e-267,1.9387066625880865e-265
Csn2,4.940384640240038,3.2909992376313085e-06,6.273396749522324e-06
Ftl1,0.6772061975777357,1.6132779922764895e-10,3.7371942420282904e-10
Tpt1,1.0261699319331434,1.2254113188783447e-50,7.774647292308293e-50
Txnip,-2.0413778025459774,3.417261049354685e-86,3.887116958678565e-85
Tmsb10,-2.6310075639778097,4.353522672499964e-141,9.811844407631914e-140
Lyz2,3.8066145554837054,6.280590226244151e-89,7.367299358256594e-88
ND4L,1.9606070758547178,2.4278642122215548e-11,5.800698013362978e-11
Ahnak,-3.5578580962358006,4.004106581097549e-180,1.3029287796501144e-178
Plin1,-4.991868663639316,7.1626597286240665e-165,2.0125697795625298e-163
Psap,-0.12441175802511151,0.021757910367128642,0.031311785147184766
Vim,-2.1313406121753284,6.351411640072266e-92,7.820087641380957e-91
Retsat,-5.199373463217267,0.0,0.0
Aoc3,-5.219281672145522,1.9679416860086686e-229,9.835815020232894e-228
Lalba,1.5190014258612488,0.010861122748370125,0.01608675727824632
Col3a1,-4.791492974229462,1.1248604277486607e-125,2.1439469428468813e-124
Apoe,-0.48149174059718125,0.05096359197631264,0.0703261126938997
-,5.1512917976319486,4.255315139823532e-42,2.2692564271839595e-41
Ctsb,0.14862725357072284,0.10815601165486921,0.14259844417503253
Gpd1,-3.94018023960342,5.510639652734831e-101,7.753679256194846e-100
Glul,-0.16038338686125678,0.11690378341718978,0.15328108131453652
ND6,2.780796744115628,8.598323714240744e-22,2.826340403300639e-21
S100a9,12.131239365231924,0.0,0.0
Sptbn1,-3.44391624437271,2.5556671236722122e-180,8.335614284005528e-179
Atp5f1b,-0.4286957192390102,3.550338056511697e-08,7.45056216979335e-08
Nedd4,-1.6968189827802307,2.887068271395371e-188,1.0285735922282815e-186
Mfge8,-1.9581223081478083,1.8675717409796462e-74,1.798889119933566e-73
Pnpla2,-4.427275323560258,0.0,0.0
Ccdc80,-5.007621902912047,2.8189835249532883e-300,2.283869771863759e-298
Col4a1,-4.528091874581911,1.4111694754026726e-228,6.990194037783398e-227
Aldoa,-0.225816864909506,0.3293556914284512,0.39638221347359165
Slc4a1,11.930697083370845,0.0,0.0
Rps3a,0.8139224676863842,1.0285932883571416e-44,5.80259417177357e-44
Anxa1,-0.663161172840771,0.00010714200677922133,0.00018633013495136
Gm2a,-2.3098498381343457,6.5761020331319645e-87,7.545140355024945e-86
Pck1,-5.383230431153408,1.0339034267115373e-164,2.8962845085571484e-163
Ces1d,-6.183552919957223,0.0,0.0
LOC103692723,4.883483852909125,2.9064725363593302e-27,1.101581632745355e-26
Selenop,-1.7707978519393803,3.6763509141072803e-60,2.789028543601616e-59
Itm2b,-0.532074390708946,1.6950298133440132e-25,6.136423069699946e-25
Alb,-1.6580687734599515,0.0006383664219667673,0.0010504242361460503
Alas2,8.225795323682691,0.0,0.0
Rpl41,1.0737532669101357,7.472583253645586e-67,6.346443032871552e-66
Rplp0,1.3832574111802283,5.751185883165498e-109,8.963528014990804e-108
Ctsd,-0.4438424385646375,2.6589658893698393e-12,6.580283471341924e-12
Acta1,4.138914500637314,1.1591086409749838e-07,2.370683007584737e-07
Pabpc1,1.8592361407245983,8.335787640602956e-111,1.330518108815138e-109
S100b,-4.447338323689057,9.913073047579352e-98,1.3263090366835948e-96
Srrm2,-0.7850294631457807,2.8577627206177456e-29,1.1400282549992323e-28
Rpsa,0.9872750151149283,2.7192300017728967e-54,1.844390591146376e-53
Scd,-2.464354012179343,8.653568080550622e-14,2.2607314411057745e-13
Gnas,-0.3562747321139549,3.154141582892064e-07,6.32535472663546e-07
Rpl13a,0.8978958629476206,6.3320619570116404e-46,3.6628157727601266e-45
Fn1,0.048961171617773545,0.8348340922248596,0.8693399006533997
Csn3,4.3529206007958265,3.799329309981504e-06,7.2201027282415385e-06
Ybx3,4.577425309109967,0.0,0.0
Rpl4,0.904331598360641,6.613650848033378e-69,5.806848133206937e-68
Aplp2,-2.73486894277079,9.093167583713449e-287,6.684921533963308e-285
Ddx5,-0.42178241361097624,8.194994523779413e-15,2.2137717781793145e-14
Myh9,0.1298993478374138,0.24918612546265295,0.3083095832805727
S100a8,12.725692816702558,0.0,0.0
Hsp90ab1,0.10880275323289434,0.04850952547218351,0.06709627212913781
Mgll,-2.6863567812802125,9.84355081017137e-153,2.471024692537057e-151
Col4a2,-4.546399933908608,1.2075988869438738e-218,5.510339157517785e-217
Col1a1,-2.605021133800846,5.80312788545361e-51,3.702091845933663e-50
Rps6,1.0899755195080882,6.198817694732477e-83,6.755252741918464e-82
Hspg2,-4.528347593289415,3.0613376271663717e-215,1.3482014472476435e-213
Hbb-b1,6.872062044932643,0.0,0.0
C4b,-4.634527556344786,7.819768263305165e-273,5.326067163455569e-271
Flna,-0.3135966980897586,0.049939519515127914,0.06897804601649633
Car2,7.180146976766739,0.0,0.0
Tns1,-3.1364628545219877,4.511192911982338e-219,2.078964176303104e-217
Rpl7,0.7156174631409933,1.0426895072701373e-34,4.738397173757948e-34
Rpl3,0.8245806130133103,1.2195413947927786e-45,7.006374988607922e-45
C4a,-4.059102628249329,5.376884255665354e-73,5.044504948706432e-72
Ubb,1.229827165454386,1.7169785512567834e-46,1.0076687848125608e-45
Ucp2,4.0321618153608325,4.8546871627970446e-251,2.882626101858271e-249
Rps16,0.8687775455529804,2.1967362062405606e-47,1.3111061519591696e-46
Gda,-0.6512965505420114,7.993261695402647e-10,1.7978530898708548e-09
Rplp1,0.8374591993047913,5.06223111685222e-34,2.2656521260461644e-33
Igha,6.35377989092178,4.2752052481602954e-51,2.733632734494396e-50
Ptma,1.5161340180256995,1.8146572249188706e-184,6.225618472008703e-183
Qsox1,-0.179411095926189,0.1257268615956032,0.16396000548501652
Nnat,-6.563918264158962,9.337596354174398e-157,2.4364550712314773e-155
Lipe,-4.374551426954816,2.3076857850375705e-205,9.514581643977602e-204
Rpl5,0.624269729681717,1.3407137142942854e-36,6.337318150454821e-36
Atp2a1,3.443777460350773,2.2541936574060272e-07,4.5481585381293896e-07
Lrp1,-2.456954979911053,9.843635409745547e-122,1.8020078023808894e-120
Actg1,0.7105921256220402,3.213760228662626e-20,1.0137024176425166e-19
Rps8,1.1757896785587563,2.1168953552661836e-69,1.878237708412898e-68
Cav1,-5.1888414612646665,9.246874928712228e-164,2.5696140739398415e-162
Hnrnpa2b1,0.8874158276655219,5.5180755639457515e-89,6.483797118244757e-88
Gpx1,3.0311086232968196,1.0787007225547262e-215,4.765662063445673e-214
Gpx3,-2.9264720547582397,2.5070543021274746e-166,7.160178006353585e-165
App,-2.5811944699169866,8.258880985963035e-157,2.1570116890876578e-155
Cst3,-1.2985058952756503,5.0134324206037255e-36,2.3426647643544126e-35
Cd74,-0.2528780714067851,0.06446846342825695,0.08784515691908562
Cidec,-5.702284590724628,0.0,0.0
Col5a3,-5.181703300768353,1.002904226801112e-250,5.942367922937335e-249
Plin4,-5.060964192684943,1.9033458216162467e-128,3.7326801014039436e-127
