Gene,log2FC,pvalue,FDR
COX1,2.617822274845576,1.8184025745521363e-19,5.620866423162327e-19
Hba-a1,6.9468836628243205,0.0,0.0
COX3,2.779094005812103,2.4907412177325965e-21,8.076453640556723e-21
ATP6,2.794243225939194,3.854707598350416e-21,1.2436836114078685e-20
Hbb,6.913857116592823,1.5424009786441476e-261,9.853282941503958e-260
CYTB,2.5110054228745318,2.552163381245279e-17,7.451362492269915e-17
COX2,2.700949052826101,1.2470187994033031e-20,3.974470170503313e-20
ND4,2.3039754434141617,9.34512126790617e-15,2.518587672522981e-14
Csn1s1,2.742802371781882,0.00018358917093970595,0.00031412840781007873
Ca3,-4.456484001121686,2.893476105711295e-105,4.3206237238909824e-104
ND2,2.3392961694711842,1.3590069725396226e-15,3.7626227717349385e-15
Hba-a2,6.777827728644158,0.0,0.0
ND1,2.5531295137777987,4.0823307086602144e-18,1.2198267533651474e-17
ND5,2.601039818630934,3.655236074532444e-19,1.1218837560766743e-18
mt-Rnr2,4.625811772522602,3.245765455413842e-55,2.2436959263804792e-54
Fasn,-3.5672347854518183,2.2677882626979846e-103,3.3081138074600677e-102
Eef1a1,-0.07532930627148884,0.17376707351273835,0.22099831605700165
Gsn,-5.273541612951716,0.0,0.0
Fabp4,-4.007005022320449,4.833277904431671e-180,1.5709001132894936e-178
Lpl,-5.76039558874926,0.0,0.0
Actb,0.7555531457602329,7.910122636512681e-28,3.046208397256803e-27
Adipoq,-4.804221055992541,8.97559710480857e-180,2.900265906343318e-178
Fth1,-0.003568147495905812,0.9726548393426574,0.9779335479030756
Sparc,-3.8525792332522886,2.8423518164165784e-139,6.28870339382168e-138
Cfd,-3.514201452234528,6.301924860153643e-139,1.3887723230674828e-137
Tf,2.3762443436336773,1.5842914013911337e-24,5.592717702395607e-24
Tmsb4x,0.8874076593151403,3.5725388075761614e-27,1.3510789456142345e-26
ND3,2.5408543278887246,3.97773305377272e-19,1.2196537993080671e-18
mt-Rnr1,4.0086513315988395,4.1411076244922395e-42,2.2096244196815446e-41
Eef2,0.0783583337046062,0.13366230222749903,0.17355115020091444
Sncg,-5.26399855439939,1.5927426368801317e-182,5.345498204862557e-181
B2m,-0.4530333837236192,5.765754093598803e-10,1.3038045447718866e-09
LOC120097382,-1.9099067403040169,9.203754912551527e-69,8.063150859549002e-68
Thrsp,-3.8101482496984276,9.94639307137439e-143,2.2711611919508868e-141
Acsl1,-3.545274528649216,2.908828434988952e-267,1.9384516398059466e-265
Csn2,4.940384045277459,3.2910375827414665e-06,6.27303953541413e-06
Ftl1,0.6772061157960021,1.613280458914708e-10,3.736888444842946e-10
Tpt1,1.0261698986684884,1.2253861843880083e-50,7.774487826017891e-50
Txnip,-2.0413778752345566,3.417099700998062e-86,3.888525126578016e-85
Tmsb10,-2.6310076377850646,4.3532051376814205e-141,9.811128756774452e-140
Lyz2,3.806614310257665,6.280667623699577e-89,7.367390147530077e-88
ND4L,1.9606064453653294,2.4278995587992912e-11,5.800782464059282e-11
Ahnak,-3.5578581971165386,4.003783092125947e-180,1.3028235169448235e-178
Plin1,-4.991868873551921,7.152687652801716e-165,2.0097678178332346e-163
Psap,-0.12441177905065788,0.021757728026820303,0.03130990130688775
Vim,-2.131340687087336,6.351094915241077e-92,7.819697678317869e-91
Retsat,-5.199373561244792,0.0,0.0
Aoc3,-5.219281833748038,1.9677796595566264e-229,9.835005208528614e-228
Lalba,1.519001193996253,0.010861143537199656,0.01608678806924855
Col3a1,-4.791493220221762,1.1248087208190497e-125,2.1438483911413285e-124
Apoe,-0.48149214541970753,0.05096339389531457,0.0703223473338744
-,5.151290880062362,4.255466326853306e-42,2.2693370515625892e-41
Ctsb,0.1486271935091596,0.10815612021069136,0.1425918220198739
Gpd1,-3.9401804581897615,5.5104094658499164e-101,7.757283112791455e-100
Glul,-0.16038345696356124,0.11690359153184515,0.15327359778619698
ND6,2.7807961507107053,8.598492125585359e-22,2.826061474605459e-21
S100a9,12.131239170819294,0.0,0.0
Sptbn1,-3.4439163376399127,2.5554572566421435e-180,8.334929777562033e-179
Atp5f1b,-0.4286957611708101,3.550314718355865e-08,7.449950593399617e-08
Nedd4,-1.696819005375689,2.8866902030127045e-188,1.0284388980964108e-186
Mfge8,-1.9581223681584066,1.8675526545238826e-74,1.7988707354095033e-73
Pnpla2,-4.4272753878752,0.0,0.0
Ccdc80,-5.007622013713294,2.8186548099240336e-300,2.283603455188891e-298
Col4a1,-4.528091995519703,1.4110424123401974e-228,6.989564633961095e-227
Aldoa,-0.2258172269285697,0.3293549071914207,0.396381269638042
Slc4a1,11.930696843368192,0.0,0.0
Rps3a,0.8139224455475349,1.0292287958142115e-44,5.806179254340464e-44
Anxa1,-0.663161370872607,0.00010714255917544763,0.00018633109562090958
Gm2a,-2.3098499253778746,6.575810682209027e-87,7.54480607134214e-86
Pck1,-5.383230664256505,1.0338458247690043e-164,2.896123147631639e-163
Ces1d,-6.183553072907214,0.0,0.0
LOC103692723,4.883482566880561,2.9065631667760482e-27,1.1016159825632788e-26
Selenop,-1.7707979289804654,3.676226775339511e-60,2.788934366909901e-59
Itm2b,-0.5320744078171789,1.6949956305739728e-25,6.1362993197003825e-25
Alb,-1.658070301499161,0.0006383590564333644,0.0010504121162498083
Alas2,8.225795125659953,0.0,0.0
Rpl41,1.0737532410571238,7.472340570557744e-67,6.346236922837077e-66
Rplp0,1.3832573850177843,5.750864547668109e-109,8.963027196587161e-108
Ctsd,-0.4438424643268565,2.6589408270358143e-12,6.5802214482588155e-12
Acta1,4.13890260899216,1.1592227824451885e-07,2.370916457008121e-07
Pabpc1,1.8592360941182078,8.335449644554852e-111,1.3312287940950276e-109
S100b,-4.447338599698575,9.912691837212329e-98,1.3262580330490776e-96
Srrm2,-0.7850294939630534,2.8571659697451407e-29,1.1397901971468234e-28
Rpsa,0.9872749877634346,2.7189883983105736e-54,1.8442267171260076e-53
Scd,-2.4643547315633674,8.653427711563167e-14,2.2606947699222416e-13
Gnas,-0.35627476474014685,3.1541233312352793e-07,6.324861686513001e-07
Rpl13a,0.8978958362485832,6.3319312596287526e-46,3.661977893315784e-45
Fn1,0.04896079493579419,0.8348353417963751,0.8693412018728722
Csn3,4.352919923020551,3.7993678039572702e-06,7.219682159748946e-06
Ybx3,4.577425213925809,0.0,0.0
Rpl4,0.9043315806300875,6.613384451485116e-69,5.806614234512477e-68
Aplp2,-2.7348689794246646,9.091638368054793e-287,6.683797317721551e-285
Ddx5,-0.4217824327615402,8.194898746434788e-15,2.2137459051684293e-14
Myh9,0.1298992636979221,0.24918639490652483,0.30830991665438195
S100a8,12.725692588913496,0.0,0.0
Hsp90ab1,0.10880273311162511,0.0485095347336328,0.06709294548640862
Mgll,-2.68635684803093,9.84278312050533e-153,2.470831979545823e-151
Col4a2,-4.546400057966616,1.2074970142654865e-218,5.5098743069661095e-217
Col1a1,-2.605021313870458,5.803833093872977e-51,3.7025417319934837e-50
Rps6,1.0899754983754113,6.1985351190795414e-83,6.754944800945152e-82
Hspg2,-4.52834771834546,3.0610812090725007e-215,1.3459554702360081e-213
Hbb-b1,6.872061862626604,0.0,0.0
C4b,-4.634527653937128,7.818921154286288e-273,5.325490195011315e-271
Flna,-0.3135968673617691,0.04993938497148482,0.06897443185748468
Car2,7.180146909295927,0.0,0.0
Tns1,-3.136462915848655,4.510698863480723e-219,2.0787364961403947e-217
Rpl7,0.7156174409374092,1.0426695271135177e-34,4.73830637595381e-34
Rpl3,0.8245805907765691,1.2195138216154104e-45,7.004768414400712e-45
C4a,-4.059102929356873,5.376717411029574e-73,5.044348417795436e-72
Ubb,1.2298271159133882,1.7169563877062534e-46,1.0074430122037389e-45
Ucp2,4.032161725461017,4.8544010606536835e-251,2.8824562195407096e-249
Rps16,0.8687775218854439,2.196686136062897e-47,1.3107947398550965e-46
Gda,-0.6512966252191101,7.993200231733468e-10,1.797839265395721e-09
Rplp1,0.8374591683143465,5.062166177601003e-34,2.265623061835308e-33
Igha,6.353778850489948,4.2753650544075913e-51,2.733734917094629e-50
Ptma,1.5161340001108903,1.8144486905098116e-184,6.2249030445156985e-183
Qsox1,-0.17941115847299197,0.12572670220445123,0.1639521035926558
Nnat,-6.56391859577488,9.337167087064924e-157,2.436343062745983e-155
Lipe,-4.374551548959053,2.307492685609272e-205,9.513785495607723e-204
Rpl5,0.6242697146412615,1.3410011839662482e-36,6.33867696908285e-36
Atp2a1,3.4437837745768993,2.2540791530937821e-07,4.5479275092807016e-07
Lrp1,-2.456955048945996,9.843020739023497e-122,1.8018952787662977e-120
Actg1,0.7105920868016177,3.213744197682697e-20,1.0135823119896091e-19
Rps8,1.175789649736594,2.116828512666787e-69,1.8781784016123034e-68
Cav1,-5.188841667547272,9.246368266950283e-164,2.5694732777028143e-162
Hnrnpa2b1,0.8874158149340591,5.517743769602039e-89,6.483407256383555e-88
Gpx1,3.03110856222495,1.0786241817509265e-215,4.757759902647063e-214
Gpx3,-2.926472124523846,2.5068504103852093e-166,7.159595689023081e-165
App,-2.58119452805809,8.258204541737871e-157,2.1568350188943015e-155
Cst3,-1.298505962849749,5.013323076954556e-36,2.3426136705143794e-35
Cd74,-0.25287818903749587,0.06446832286699156,0.0878363514488541
Cidec,-5.702284697043804,0.0,0.0
Col5a3,-5.181703435643291,1.0028145166599476e-250,5.941836376004965e-249
Plin4,-5.060964446707823,1.903261447877647e-128,3.73251463479689e-127
Cdo1,-3.687156098918804,3.345078267089288e-118,5.8426385898267896e-117
Hmgcs2,-3.7177826913619003,1.0272799864256804e-29,4.137258484461338e-29
Lep,-7.260106463555517,5.538787036256133e-280,3.916472085255005e-278
Tmbim6,-1.1684722123787095,6.552369672054712e-75,6.368793312932088e-74
Xdh,-1.3856322739280331,1.9892398182236673e-34,8.989914670453326e-34
Cxcl12,1.8886503971460886,5.881990695487934e-78,5.989543401865673e-77
Trarg1,-4.755692041787125,6.039878867813892e-219,2.7696731659683206e-217
Rps3,0.8456269699871394,1.9431945692310695e-55,1.347291264579895e-54
Rpl19,0.7519213664295807,3.718127800673823e-50,2.339213345096782e-49
Rps4x,0.628730231655786,2.642858544944536e-25,9.525602607712542e-25
Rpl8,1.1766516143503656,5.28065413211579e-91,6.3885110003206665e-90
Olah,1.528085295869265,4.120363874170666e-08,8.618153823523155e-08
Myh4,0.9830907202921905,0.33312842433453294,0.4004024993007066
RT1-A1,0.15535279946836905,0.024568005209431525,0.03515733543256051
Igf1,-3.389118113014099,7.527859207757145e-181,2.466883013259001e-179
Ghr,-4.062953634262314,1.9745257234376853e-116,3.387042921519126e-115
Ckm,4.094807352400299,1.2434409724938304e-07,2.537748324370671e-07
Srsf5,0.1482868944199603,0.015930087558075238,0.023246400417547275
Hbb-bs,7.23560072734473,0.0,0.0
Rpl10,0.6048492160777788,5.5485371600364e-38,2.7107647528173614e-37
LOC100911498,-0.7458395412696581,0.24909842770280244,0.30821480063374046
Eif4g2,-0.2580453325440789,1.1672515098748803e-13,3.0354437776448667e-13
Rpl6,0.7963650654304688,9.527864924285338e-62,7.433179067404977e-61
Rpl13,1.3249071669442682,1.9754519544525594e-115,3.333080410581795e-114
Aldh2,-1.859006177437072,7.835888446944474e-174,2.3928736709026374e-172
Hspa8,0.19955963763769408,0.00024966041207769946,0.0004231147887556986
Atp5f1a,-0.26329666875487084,0.004058874406737203,0.0062644513163945285
Rack1,1.3033572519085446,3.791146916362162e-108,5.86593439080112e-107
LOC684327,-4.903661997309883,7.250484470795589e-188,2.5699453183538087e-186
Rpl37a-ps1,0.6510488097810734,1.626545706355574e-27,6.206244491818625e-27
Rps7,1.0482568157112842,1.8285805977326186e-89,2.1660028231198522e-88
Calm1,-0.414464649735498,3.2410833639831172e-09,7.10415409384184e-09
Rps23,1.0578065176673077,8.77011600204373e-87,1.0041728618903717e-85
Aqp1,1.7991998332797534,6.35490570712338e-55,4.361483692152423e-54
Tpm1,1.47479347728912,1.9127852268395534e-05,3.49125705541178e-05
Rpl18a,1.4043860413350016,2.46616128888737e-134,5.152793688488055e-133
Snrnp70,-0.08255891483547048,0.19216836157320538,0.24272920310391108
Mgst1,-2.565323876484996,1.500461958446089e-98,2.036948576612524e-97
Rpl26,0.6612543133419831,2.351345883754756e-37,1.1334180531424271e-36
Col1a2,-2.6253336329926036,7.150086548341798e-66,5.990164458603262e-65
Thbs1,-0.9157311444365527,1.3295816826673461e-05,2.4517415646743785e-05
Dst,-3.2720717422948247,1.7359089821577053e-99,2.3892607580574778e-98
Ehd2,-4.112310002844838,6.223065139917071e-189,2.2400616214139312e-187
Rpl14,0.5546309012955669,6.1582955990525765e-25,2.1973918387528512e-24
Lamp1,-1.3589679843488127,3.8971179901341883e-91,4.72500051604882e-90
Tubb5,2.240301007016094,6.141254543499522e-214,2.6458809691365616e-212
Dcn,-3.1982029101663434,6.839860459147302e-66,5.733721939645381e-65
Calr,-0.06979113924821728,0.24887274093031952,0.3079629780341386
Rhoa,-0.1221070094360855,0.004946848148047578,0.007573157954280198
Rps15,1.1108109009310296,3.347084921621664e-112,5.426612770533514e-111
Myl6,-0.3357762587000226,2.5383172954722048e-08,5.358755551460693e-08
Fads1,0.11008184902196076,0.1553648553967706,0.19941958275385027
Tuba1b,1.3179226418341818,9.505664529450537e-97,1.2525031370739734e-95
Lgals1,-3.254249677178291,3.841550691246508e-144,8.896071013254102e-143
